"","FishID","PITID","TL","Weight","ConditionFactor","InfectionScore","Sex","Date","TimeLoaded","TimeInitiated","TrialType","TrialDay","TrialRound","ArenaID","UniqueID","TankID","emergelat","emergelat.bin","endpointlat","endpointlat.bin","endpointspeed","refugereturnlat","Notes"
"75","G36",2126,15.6,52,1.36971290817445,1,"m","09-07-2020","15:00","15:10","EXPL","trial 2","7","A","EXPL2_7A","D",4,1,10,1,6,54,""
"76","G36",2126,15.6,53,1.39605354102396,1,"m","16-07-2020","12:20","12:30","EXPL","trial 3","3","D","EXPL3_3D","D",1,1,6,1,5,34,""
"77","G38",1313,11.7,24,1.49848933543871,2,"m","02-07-2020","14:20","14:30","EXPL","trial 1","6","A","EXPL1_6A","C",3,1,29,1,26,58,""
"78","G38",1313,11.7,25,1.56092639108199,2,"m","09-07-2020","11:48","11:58","EXPL","trial 2","4","C","EXPL2_4C","C",1,1,23,1,22,54,""
"79","G38",1313,11.7,25,1.56092639108199,2,"m","16-07-2020","15:33","15:43","EXPL","trial 3","6","A","EXPL3_6A","C",12,1,25,1,13,49,""
"80","G39",2112,12.9,32,1.49066772131408,1,"m","02-07-2020","13:15","13:25","EXPL","trial 1","5","D","EXPL1_5D","C",1,1,28,1,27,70,""
"82","G40",2101,12.8,28,1.33514404296875,1,"m","02-07-2020","14:20","14:30","EXPL","trial 1","6","D","EXPL1_6D","C",2,1,25,1,23,142,""
"96","G49",2040,13.2,35,1.52176030275204,2,"m","02-07-2020","12:13","12:23","EXPL","trial 1","4","D","EXPL1_4D","C",1,1,54,1,53,82,""
"97","G49",2040,13.2,35,1.52176030275204,2,"m","09-07-2020","12:52","13:02","EXPL","trial 2","5","C","EXPL2_5C","C",11,1,31,1,20,88,""
"98","G49",2040,13.2,36,1.56523916854495,2,"m","16-07-2020","16:40","16:50","EXPL","trial 3","7","D","EXPL3_7D","C",1,1,28,1,27,219,""
"103","G52",1384,12.5,27,1.3824,1,"m","09-07-2020","10:43","10:53","EXPL","trial 2","3","D","EXPL2_3D","C",1,1,17,1,16,34,""
"104","G52",1384,12.5,26,1.3312,1,"m","16-07-2020","15:33","15:43","EXPL","trial 3","6","E","EXPL3_6E","C",6,1,42,1,36,18,""
"106","G53",1395,14.3,41,1.40208952375806,1,"m","09-07-2020","10:43","10:53","EXPL","trial 2","3","C","EXPL2_3C","C",2,1,17,1,15,36,""
"109","G54",1260,9.5,11,1.28298585799679,2,"m","09-07-2020","12:52","13:02","EXPL","trial 2","5","B","EXPL2_5B","C",46,1,65,1,19,34,""
"110","G54",1260,9.5,10,1.16635077999708,2,"m","16-07-2020","16:40","16:50","EXPL","trial 3","7","C","EXPL3_7C","C",31,1,137,1,106,13,""
"13","G07",2220,14.3,34,1.16270838555547,1,"m","16-07-2020","12:20","12:30","EXPL","trial 3","3","A","EXPL3_3A","E",61,0,85,1,24,52,""
"28","G13",1286,13.8,35,1.33177477633794,3,"m","16-07-2020","10:11","10:21","EXPL","trial 3","1","C","EXPL3_1C","E",85,0,92,1,7,44,""
"81","G39",2112,12.9,32,1.49066772131408,1,"m","09-07-2020","10:43","10:53","EXPL","trial 2","3","E","EXPL2_3E","C",154,0,178,1,24,36,""
"89","G44",2009,10.5,13,1.12298887809092,2,"m","09-07-2020","11:48","11:58","EXPL","trial 2","4","B","EXPL2_4B","C",117,0,160,1,43,77,""
"108","G54",1260,9.5,11,1.28298585799679,2,"m","02-07-2020","15:23","15:33","EXPL","trial 1","7","A","EXPL1_7A","C",72,0,85,1,13,35,""
"37","G18",2216,13.3,27,1.14764836224203,1,"m","16-07-2020","13:25","13:35","EXPL","trial 3","4","C","EXPL3_4C","D",16,1,233,0,217,86,""
"39","G19",2019,13.4,38,1.57931660476854,3,"m","09-07-2020","09:38","09:48","EXPL","trial 2","2","A","EXPL2_2A","E",25,1,202,0,177,72,""
"60","G28",2110,14.9,45,1.36035954605104,1,"m","16-07-2020","14:29","14:39","EXPL","trial 3","5","C","EXPL3_5C","D",2,1,2700,0,NA,36,""
"107","G53",1395,14.3,41,1.40208952375806,1,"m","16-07-2020","16:40","16:50","EXPL","trial 3","7","B","EXPL3_7B","C",39,1,2700,0,NA,10,""
"112","G55",2065,11.3,24,1.66332038946647,3,"m","09-07-2020","12:52","13:02","EXPL","trial 2","5","A","EXPL2_5A","C",55,1,2700,0,NA,7,""
"4","G04",2060,15.4,52,1.42377440404089,1,"m","02-07-2020","18:30","18:40","EXPL","trial 1","10","C","EXPL1_10C","E",2700,0,2700,0,NA,NA,""
"5","G04",2060,15.4,52,1.42377440404089,1,"m","09-07-2020","08:34","08:44","EXPL","trial 2","1","E","EXPL2_1E","E",597,0,1475,0,878,32,""
"6","G04",2060,15.4,52,1.42377440404089,1,"m","16-07-2020","11:15","11:25","EXPL","trial 3","2","C","EXPL3_2C","E",135,0,348,0,213,19,""
"11","G07",2220,14.3,35,1.19690569101298,1,"m","02-07-2020","16:25","16:35","EXPL","trial 1","8","A","EXPL1_8A","E",85,0,229,0,144,161,""
"20","G11",2233,13.5,37,1.50383579738861,2,"m","02-07-2020","17:27","17:37","EXPL","trial 1","9","B","EXPL1_9B","E",237,0,2700,0,NA,75,""
"21","G11",2233,13.5,37,1.50383579738861,2,"m","09-07-2020","09:38","09:48","EXPL","trial 2","2","D","EXPL2_2D","E",2700,0,2700,0,NA,NA,""
"22","G11",2233,13.5,36,1.46319158664838,2,"m","16-07-2020","11:15","11:25","EXPL","trial 3","2","E","EXPL3_2E","E",346,0,2700,0,NA,95,""
"23","G12",2099,13.4,30,1.24682889850148,2,"m","02-07-2020","18:30","18:40","EXPL","trial 1","10","D","EXPL1_10D","E",1971,0,2700,0,NA,20,""
"24","G12",2099,13.4,30,1.24682889850148,2,"m","09-07-2020","08:34","08:44","EXPL","trial 2","1","A","EXPL2_1A","E",2700,0,2700,0,NA,NA,""
"25","G12",2099,13.4,32,1.32995082506824,2,"m","16-07-2020","11:15","11:25","EXPL","trial 3","2","B","EXPL3_2B","E",2700,0,2700,0,NA,NA,""
"26","G13",1286,13.8,36,1.36982548423331,3,"m","02-07-2020","17:27","17:37","EXPL","trial 1","9","A","EXPL1_9A","E",1134,0,2700,0,NA,5,""
"27","G13",1286,13.8,36,1.36982548423331,3,"m","09-07-2020","09:38","09:48","EXPL","trial 2","2","C","EXPL2_2C","E",257,0,2700,0,NA,25,""
"29","G14",2045,16.3,58,1.33926087116149,2,"m","02-07-2020","17:27","17:37","EXPL","trial 1","9","C","EXPL1_9C","E",2700,0,2700,0,NA,NA,""
"30","G14",2045,16.3,58,1.33926087116149,2,"m","09-07-2020","08:34","08:44","EXPL","trial 2","1","B","EXPL2_1B","E",2700,0,2700,0,NA,NA,""
"31","G14",2045,16.3,59,1.36235157583669,2,"m","16-07-2020","10:11","10:21","EXPL","trial 3","1","E","EXPL3_1E","E",2700,0,2700,0,NA,NA,""
"32","G17",2028,14.9,45,1.36035954605104,2,"m","02-07-2020","08:42","08:52","EXPL","trial 1","1","E","EXPL1_1E","D",2700,0,2700,0,NA,NA,""
"33","G17",2028,14.9,45,1.36035954605104,2,"m","09-07-2020","16:02","16:12","EXPL","trial 2","8","A","EXPL2_8A","D",860,0,2700,0,NA,11,""
"34","G17",2028,14.9,46,1.39058975818551,2,"m","16-07-2020","14:29","14:39","EXPL","trial 3","5","A","EXPL3_5A","D",2700,0,2700,0,NA,NA,""
"38","G19",2019,13.4,37,1.53775564148516,3,"m","02-07-2020","16:25","16:35","EXPL","trial 1","8","C","EXPL1_8C","E",70,0,810,0,740,70,""
"41","G20",2213,13.8,31,1.17957194475646,2,"m","02-07-2020","12:13","12:23","EXPL","trial 1","4","B","EXPL1_4B","D",2700,0,2700,0,NA,NA,""
"43","G22",2030,13.3,31,1.31767034183344,2,"f","02-07-2020","11:07","11:17","EXPL","trial 1","3","B","EXPL1_3B","D",2700,0,2700,0,NA,NA,""
"44","G22",2030,13.3,32,1.36017583673129,2,"f","09-07-2020","13:56","14:06","EXPL","trial 2","6","B","EXPL2_6B","D",2700,0,2700,0,NA,NA,""
"45","G22",2030,13.3,32,1.36017583673129,2,"f","16-07-2020","12:20","12:30","EXPL","trial 3","3","E","EXPL3_3E","D",2700,0,2700,0,NA,NA,""
"53","G26",2147,13,31,1.41101502048248,3,"f","09-07-2020","15:00","15:10","EXPL","trial 2","7","D","EXPL2_7D","D",246,0,288,0,42,4,""
"54","G26",2147,13,32,1.45653163404643,3,"f","16-07-2020","14:29","14:39","EXPL","trial 3","5","B","EXPL3_5B","D",134,0,221,0,87,17,""
"57","G27",2116,13.4,27,1.12214600865133,1,"m","16-07-2020","13:25","13:35","EXPL","trial 3","4","E","EXPL3_4E","D",2700,0,2700,0,NA,NA,""
"66","G31",2089,13.7,39,1.51671124112481,1,"m","02-07-2020","08:42","08:52","EXPL","trial 1","1","D","EXPL1_1D","D",2700,0,2700,0,NA,NA,""
"67","G31",2089,13.7,39,1.51671124112481,1,"m","09-07-2020","15:00","15:10","EXPL","trial 2","7","C","EXPL2_7C","D",2700,0,2700,0,NA,NA,""
"70","G34",2119,15.4,53,1.45115468104168,2,"f","16-07-2020","12:20","12:30","EXPL","trial 3","3","C","EXPL3_3C","D",1719,0,2700,0,NA,34,""
"71","G35",2021,15.6,46,1.2116691110774,1,"m","02-07-2020","08:42","08:52","EXPL","trial 1","1","B","EXPL1_1B","D",670,0,2700,0,NA,183,""
"72","G35",2021,15.6,47,1.2380097439269,1,"m","09-07-2020","12:52","13:02","EXPL","trial 2","5","E","EXPL2_5E","D",2700,0,2700,0,NA,NA,""
