 ,Area,Mean,Min,Max,Angle,Length
1,257,148.731,100.451,164.000,-91.343,256.156
2,259,148.829,143.000,162.601,-90.888,258.088
3,255,147.460,142.333,163.000,-90.000,254.118
4,250,137.423,56.515,158.613,-88.390,249.288
5,266,145.867,132.408,155.578,-88.055,265.100
6,266,137.915,29.369,158.000,-88.055,265.100
7,259,144.804,131.757,157.000,-89.556,258.065
8,255,142.660,73.532,158.000,-89.323,254.135
9,163,148.507,133.669,161.000,1.768,161.607
10,180,149.097,131.518,159.000,-179.363,179.272
11,176,143.555,90.776,152.109,-0.327,175.324
12,159,142.493,130.268,156.000,0.000,157.592
13,165,144.222,129.296,156.000,-0.699,163.514
14,183,144.336,130.197,152.000,-179.687,182.219
15,176,143.683,130.458,152.000,1.953,175.421
16,160,143.192,122.959,157.000,1.081,158.605
