 ,Area,Mean,Min,Max,Angle,Length
1,258,150.524,146.000,163.000,-92.673,257.280
2,260,147.811,142.000,163.000,-91.327,259.069
3,257,147.001,142.000,162.000,-90.448,256.008
4,254,142.070,136.333,156.333,-90.226,253.002
5,265,146.771,131.000,158.000,-88.698,264.068
6,264,144.227,134.000,156.000,-89.564,263.008
7,263,144.921,135.000,157.000,-90.000,262.000
8,258,140.487,63.817,155.000,-90.446,257.008
9,165,148.140,108.333,158.000,-179.651,164.003
10,181,135.507,64.333,148.356,-179.682,180.003
11,174,145.121,137.000,153.000,0.331,173.003
12,160,127.872,33.459,151.333,-1.441,159.050
13,168,145.116,117.333,157.000,178.628,167.048
14,180,143.617,134.000,150.000,0.000,179.000
15,176,143.803,132.000,151.080,0.655,175.011
16,158,140.266,109.000,155.000,3.644,157.318
