 ,Area,Mean,Min,Max,Angle,Length
1,255,148.483,143.333,162.000,-91.128,254.049
2,258,148.404,142.333,162.333,-90.446,257.008
3,258,147.185,141.333,164.000,-88.217,257.124
4,255,143.006,137.333,157.333,-87.520,254.238
5,265,141.893,124.000,152.000,-89.132,264.030
6,266,139.671,129.000,153.000,-88.919,265.047
7,266,139.985,124.000,152.333,-89.568,265.008
8,256,141.538,130.000,153.000,-90.225,255.002
9,163,148.366,68.000,159.000,-179.293,162.012
10,175,147.761,135.000,153.000,0.329,174.003
11,175,145.139,133.333,151.333,0.000,174.000
12,163,141.448,80.000,155.333,-0.707,162.012
13,165,140.959,124.000,155.000,178.254,164.076
14,182,138.903,123.000,149.000,179.683,181.003
15,177,139.761,128.000,148.864,-178.698,176.045
16,160,140.676,126.491,152.333,1.801,159.079
