"","FishID","PITID","TL","Weight","ConditionFactor","InfectionScore","Sex","avespeed_tot.ACTT1","avespeed_mob.ACTT1","aveacceler.ACTT1","propmoving.ACTT1","dist.ACTT1","frozenevents.ACTT1","timefrozen_tot.ACTT1","centrescore.ACTT1","centretime50.ACTT1","centretime75.ACTT1","centretime100.ACTT1","emergelat.bin.EXPLT1","endpointlat.bin.EXPLT1","endpointspeed.EXPLT1","refugereturnlat.EXPLT1","avespeed_tot.MEAN","avespeed_mob.MEAN","aveacceler.MEAN","propmoving.MEAN","dist.MEAN","frozenevents.MEAN","timefrozen_tot.MEAN","centrescore.MEAN","centretime50.MEAN","centretime75.MEAN","centretime100.MEAN","emergelat.bin.MEAN","endpointlat.bin.MEAN","endpointspeed.MEAN","refugereturnlat.MEAN","avespeed_tot.COEF","avespeed_mob.COEF","aveacceler.COEF","propmoving.invlog.COEF","dist.COEF","frozenevents.sqrt.COEF","timefrozen_tot.sqrt.COEF","centrescore.COEF","centretime50.sqrt.COEF","centretime75.sqrt.COEF","centretime100.sqrt.COEF","emergelat.bin.COEF","endpointlat.bin.COEF","endpointspeed.ln.COEF","refugereturnlat.ln.COEF"
"26","G34",2119,15.4,55,1.50591523504325,2,"f",28.053,43.709,104.991,0.622,36700,49,338,2.03599587663333,202,91.3333333333333,40.4333333333333,1,1,25,64,17.483,29.8366666666667,72.2036666666667,0.432666666666667,23408.6666666667,36.6666666666667,657.666666666667,1.75248383844639,92.9888888888889,34.7555555555555,15.3888888888889,0.666666666666667,0.666666666666667,NA,36,14.7787246490769,30.6329260700835,59.0179720732179,-0.445917205162405,19522.7113413819,6.72933593439889,26.75231589536,1.80712814916228,8.37107042635991,5.00095717799783,3.62987965762645,0.0876604332247672,0.870464840429089,3.43056404015001,3.71551293571406
"27","G35",2021,15.6,46,1.2116691110774,1,"m",34.861,55.515,116.111,0.609,44162,40,382,2.44788566294154,456.6,240.7,74.9666666666667,0,0,NA,183,22.5976666666667,41.127,83.349,0.487,29721,45.3333333333333,561.333333333333,2.22646083727689,278.555555555555,125.944444444444,39.3222222222222,0,0,NA,NA,12.5593418190401,32.6125252659879,49.788460977316,-0.375176686546378,17040.5020340672,7.09411902732053,28.5936521606562,1.93838935301966,12.7733853483472,8.07617958941675,3.84138382155165,-3.17185678645063,-2.99895035140224,NA,4.04783223660411
"28","G36",2126,15.6,52,1.36971290817445,1,"m",43.301,49.732,166.225,0.863,56389,7,37,2.0852371110987,244.366666666667,58.7333333333333,13.6,1,1,13,39,34.0016666666667,42.936,128.577,0.769333333333333,43864,25.6666666666667,169.333333333333,2.1718396545765,278.866666666667,55.7111111111111,20.7111111111111,1,1,8,42.3333333333333,17.7123016662639,32.8266100967657,69.994609426014,-0.799500996115756,23151.8972209864,6.48888942590187,23.8860118671669,1.95339619461682,13.5001567999705,6.16351367199464,3.0538922185269,0.783111341218136,1.54359335172062,2.68310923954171,3.95213128754656
"29","G38",1313,11.7,24,1.49848933543871,2,"m",40.405,51.446,127.309,0.77,50711,13,55,1.68879798615481,105.833333333333,52.7333333333333,24.4,1,1,26,58,38.631,47.623,139.655666666667,0.799,49496.6666666667,16.6666666666667,77,1.67797462712747,115.066666666667,56.6333333333333,30.2111111111111,1,1,20.3333333333333,53.6666666666667,21.4036938181731,34.639699633734,84.0595941242647,-0.913770387532744,28339.6799452938,6.09882224804154,21.6025619334983,1.75306715735434,10.9754025456163,6.35708377023616,3.22196190433778,0.790939261760299,0.643174750749336,2.9707134282472,4.08471079545524
"30","G39",2112,12.9,32,1.49066772131408,1,"m",45.09,56.531,153.373,0.784,57730,11,47,2.06694978053925,261.933333333333,77.8333333333333,29.6,1,1,27,70,33.844,49.3046666666667,114.562666666667,0.651666666666667,43236,38,261.666666666667,2.1102091161513,247.022222222222,84.9,33,NA,NA,NA,NA,15.5813467787304,35.3735062880465,58.8982957749482,-0.460719088973525,20614.8107610584,6.95846805365727,26.901588124372,1.9882672480381,14.1097786482127,7.60047269424295,3.38075922288773,-2.50817791012948,0.440384938182203,3.28731112446879,3.97592912422659
"31","G40",2101,12.8,28,1.33514404296875,1,"m",31.545,44.586,111.336,0.686,40335,15,65,1.85647795548786,135.933333333333,50.1666666666667,29.5333333333333,1,1,23,142,15.115,28.7953333333333,56.7743333333333,0.350666666666667,19848,25.6666666666667,684.333333333333,2.04939079997743,134.055555555555,52.1444444444446,29.1111111111111,0.333333333333333,0.333333333333333,NA,NA,5.22797240132446,22.7590727439644,29.8802379541393,-0.205966094897394,7939.54413645871,5.83959589819053,30.3197513362303,1.94200307344833,9.28438504814185,5.45719455435408,2.78239682944675,-2.10298572560512,-2.33933916148911,3.42857695859342,4.11152025220465
"32","G41",2133,14.2,32,1.11759627393402,1,"m",11.277,38.916,43.268,0.259,14882,37,871,1.28822222222222,66.4666666666667,21.5,5.33333333333333,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.16331882973455,29.0031399310697,30.5886627836426,-0.174526263981914,9874.35861939191,6.93359740875218,30.4997525296683,1.81692973577792,11.8148624291318,7.43028843486161,4.19987190943595,-2.08685951594161,-2.4355019473141,NA,NA
"33","G42",2014,15.5,45,1.20841864992783,2,"m",34.051,47.351,132.177,0.703,44165,39,272,2.06326662362815,170.133333333333,88.8666666666667,63.5666666666667,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.7299378935953,33.4626280917175,72.6739104756471,-0.609157865703724,23510.6206346269,6.88965623521618,25.7340091378619,1.87916117503031,11.104081734022,7.20542584406455,4.34207189669741,-1.26209237469021,-1.11668382861292,NA,NA
"34","G44",2009,10.5,14,1.20937263794407,2,"m",27.756,47.342,90.517,0.569,36218,45,318,1.81880555555556,197.733333333333,77.5,37.0666666666667,0,0,NA,54,21.4753333333333,43.1426666666667,77.8573333333333,0.466666666666667,27720.6666666667,79.6666666666667,563.666666666667,2.01411408321904,263.766666666667,99.6999999999999,60.6444444444445,0,0.333333333333333,NA,57,15.0451911446107,34.1681075544718,55.8405247814027,-0.406816733201447,20160.4446547249,7.90755919186709,27.6734258030611,2.00869058722121,14.8780573592668,8.20607213651976,4.33286500736179,-2.17477338611887,-1.36838621450184,3.53365050552648,3.96360743236782
"35","G45",2070,11,18,1.35236664162284,3,"f",24.925,44.991,89.595,0.504,32740,46,456,1.84085303495157,135.3,29.3,11.8666666666667,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.2787300291017,30.0152139981335,71.4745298638239,-0.621457909695974,23492.6912340913,5.69892160566795,25.5201127588504,1.71309380865716,10.6206227312596,4.82387274324296,2.77153643704621,-1.19956897000249,-1.98938418715835,NA,NA
"36","G46",2024,16.3,50,1.1545352337599,1,"m",38.857,55.023,126.245,0.686,54420,30,222,2.54767807473697,433.833333333333,161.933333333333,87.4666666666667,0,0,NA,631,34.3603333333333,48.882,120.585,0.682666666666667,47373.6666666667,33.3333333333333,235,2.45392855698469,378.311111111111,135.077777777778,59.7,0,0,NA,NA,23.1587404693506,38.4855267049056,79.2543481102982,-0.778459968711039,32318.6637607616,6.65238263624514,21.8243948347712,2.02789964342982,14.7393949437113,8.7710072688411,4.73683610990512,-2.35581556176824,-2.38363069602518,NA,4.4678681432615
"37","G48",2084,9.8,12,1.27497896284711,3,"f",5.679,36.981,20.485,0.121,8170,29,1097,1.28025,14.1666666666667,5.2,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1724631198679,34.8642708927868,58.1728798189572,-0.531935054934748,19688.7192531376,5.61236991561156,27.0286894392029,1.82525051768624,9.001040366624,5.10424429126276,2.90113005499835,-1.11489864508671,-1.36170051971243,NA,NA
"38","G49",2040,13.2,35,1.52176030275204,2,"m",52.752,62.524,141.071,0.816,66431,11,45,2.32902039133606,319.666666666667,122.333333333333,52.8333333333333,1,1,53,82,47.3463333333333,57.0096666666667,147.49,0.810666666666667,59723.3333333333,15.3333333333333,82,1.96617698474889,199.411111111111,83.111111111111,40.9666666666667,1,1,33.3333333333333,129.666666666667,29.8436706635397,41.4742482284218,95.6430431282241,-1.01664444484923,38321.3287383106,6.12261582285535,20.5410826327146,1.90570649584916,12.5058157840553,7.22030693023417,4.08302367824888,1.0225085289311,1.79303049953787,3.28717176380943,4.5584297004581
"39","G51",2044,14,35,1.27551020408163,2,"m",25.575,55.631,76.054,0.442,32310,34,597,1.28997222222222,4.06666666666667,1.03333333333333,0.766666666666667,0,0,NA,NA,16.319,33.602,57.344,0.337,21474,24,750,1.64352150650168,17.4,1.68888888888889,0.522222222222222,0,0,NA,NA,9.72181994025547,27.3275887001409,39.0958147654825,-0.295062431802663,13682.6838813289,5.98720685600995,29.8589665372211,1.5962782980906,3.60146997324594,1.65514507686145,0.680578714621232,-2.20488702524412,-2.70275250893937,NA,NA
"40","G52",1384,12.5,27,1.3824,1,"m",52.989,71.965,132.417,0.729,64741,12,51,2.02377777777778,238.833333333333,123,79.4333333333333,0,0,972,26,45.861,60.8663333333333,142.08,0.743,57324.3333333333,15.3333333333333,82,2.05351236073093,248.322222222222,132.288888888889,82.6222222222222,0.666666666666667,0.666666666666667,341.333333333333,26,28.3214020680447,44.3548151874384,87.3085251698256,-0.735158043443651,35811.2164396452,5.70811333014383,21.0214278507821,2.00472005520579,14.3096790494962,9.28745753264483,5.43735373226896,-1.26982583939409,-1.74063001068362,4.0080357225126,3.55820148499791
"41","G53",1395,14.3,41,1.40208952375806,1,"m",51.604,59.202,169.916,0.868,66134,3,34,1.93837123991196,146,58.4666666666667,27.8666666666667,0,0,83,150,41.3486666666667,52.0966666666667,150.369666666667,0.776333333333333,53405.3333333333,17,165.666666666667,1.90858954415186,168,65.3777777777778,33.1888888888889,0.666666666666667,0.333333333333333,NA,65.3333333333333,23.1062996817609,38.270671433166,82.670008116753,-0.751944419829125,30024.4812139106,5.9497558298942,24.469569931153,1.87295027138121,11.4578074008689,6.75502944046347,3.805247238581,-1.14299013583731,-2.73010352153795,3.45780482299183,3.79317160868509
"42","G54",1260,9.5,11,1.28298585799679,2,"m",32.554,56.68,95.042,0.561,40585,68,477,2.09502777777778,249.7,78.7,32.9333333333333,0,1,13,35,29.0803333333333,49.5053333333333,93.507,0.561333333333333,36306.3333333333,62.3333333333333,454,2.46825786036414,421.822222222222,224.777777777778,123.744444444444,0.666666666666667,1,46,27.3333333333333,21.6918276609198,37.6998844081893,76.950097026126,-0.65434854683289,28182.3010990516,7.4029372114219,25.7308470188062,2.3362238967399,18.5879284793573,11.5120998312412,6.18054078600726,0.285505974067767,0.760832491459874,3.40296722440718,3.72960178529896
