"","PITID","FishID","TL","InfectionScore","Sex","Date","TimeLoaded","TrialType","TrialDay","TrialRound","ArenaID","TankID","Weight","avespeed_tot","avespeed_mob","aveacceler","propmoving","dist","timefrozen_tot","timefrozen_ave","centretime","Notes","UniqueID","timefrozen_tot.ln","propmoving.exp","centretime.lnplus1"
"111",2216,"G18",13.3,1,"m","14-07-2020","09:42","ACT",3,1,"C","D","27",33.80050659,64.06497192,117.9078598,0.487418771,42766.59375,299,6.6,42,"","ACT3_1C",5.70044357339069,1.62810827116735,3.76120011569356
"112",2216,"G18",13.3,1,"m","30-06-2020","11:28","ACT",1,3,"B","D","26",42.5052948,64.97161865,149.891861,0.61008954,53995.90234,70.8,4.2,33.8,"","ACT1_3B",4.25985900069967,1.84059619838705,3.54961738678043
"113",2217,"G10",13.6,2,"m","30-06-2020","14:40","ACT",1,6,"E","E","32",47.73799515,62.24736023,170.9520569,0.748515189,59690.48047,13.4,4.5,135.7,"","ACT1_6E",2.59525470695687,2.11385900418298,4.9177887437299
"114",2217,"G10",13.6,2,"m","07-07-2020","12:50","ACT",2,4,"A","E","32",46.47907257,63.44868851,166.0714722,0.71306175,58011.85938,108,8.3,153.9,"","ACT2_4A",4.68213122712422,2.04022837475565,5.04277974742282
"115",2217,"G10",13.6,2,"m","14-07-2020","10:40","ACT",3,2,"F","E","32",45.39306641,64.00636292,148.194931,0.67295897,56828.22656,117.8,5.4,56.5,"","ACT3_2F",4.76898827121749,1.9600284138508,4.0517849478033
"116",2220,"G07",14.3,1,"m","07-07-2020","12:50","ACT",2,4,"E","E","36",34.46004486,55.12825394,131.2836914,0.597037375,44280.88672,153.5,5.5,42.1,"","ACT2_4E",5.03370056702725,1.81672853429065,3.7635229971097
"117",2220,"G07",14.3,1,"m","14-07-2020","11:36","ACT",3,3,"E","E","34",27.27675247,51.57026291,101.5214996,0.494577318,34994.01953,312.9,7.6,22,"","ACT3_3E",5.74588365067484,1.63980497650549,3.13549421592915
"118",2220,"G07",14.3,1,"m","30-06-2020","13:34","ACT",1,5,"D","E","35",35.05659103,55.09522629,137.5100403,0.607826769,45726.67578,47.4,4.7,24.5,"","ACT1_5D",3.85862222870103,1.83643605918284,3.23867845216438
"119",2228,"G24",15.5,1,"m","14-07-2020","09:42","ACT",3,1,"B","D","51",24.03099823,54.25101852,90.10153961,0.385199636,32713.41992,484.1,11,253.9,"","ACT3_1B",6.18229149694565,1.46990773865316,5.54087131138207
"120",2228,"G24",15.5,1,"m","07-07-2020","14:50","ACT",2,6,"E","D","48",29.34024429,54.95696259,122.3347092,0.503341913,38267.62891,206.7,12.7,36,"","ACT2_6E",5.33126846668772,1.65424037078761,3.61091791264422
"121",2228,"G24",15.5,1,"m","30-06-2020","12:27","ACT",1,4,"G","D","46",19.96536446,46.75128937,80.5796814,0.384250998,26236.44141,342.4,6.7,115.1,"","ACT1_4G",5.83597964426759,1.46851398950201,4.75445188870385
"122",2233,"G11",13.5,2,"m","07-07-2020","12:50","ACT",2,4,"C","E","37",3.328862906,50.65876007,14.42383194,0.032503612,5028.974121,1134.1,226.8,8.1,"","ACT2_4C",7.03359466382128,1.03303762446913,2.2082744135228
"123",2233,"G11",13.5,2,"m","14-07-2020","11:36","ACT",3,3,"A","E","36",9.287032127,45.91150284,37.36274719,0.159795538,12601.42676,903.3,29.1,66.4,"","ACT3_3A",6.8060547241558,1.17327095713957,4.21064501791826
"124",2233,"G11",13.5,2,"m","30-06-2020","13:34","ACT",1,5,"H","E","37",39.07988358,59.86493683,147.0727997,0.624978542,50045.89844,78.8,7.2,41.6,"","ACT1_5H",4.36691299686383,1.86820586904058,3.75185425327532
