"","PITID","FishID","TL","InfectionScore","Sex","Date","TimeLoaded","TrialType","TrialDay","TrialRound","ArenaID","TankID","Weight","avespeed_tot","avespeed_mob","aveacceler","propmoving","dist","timefrozen_tot","timefrozen_ave","centretime","Notes","UniqueID","timefrozen_tot.ln","propmoving.exp","centretime.lnplus1"
"59",2065,"G55",11.3,3,"m","30-06-2020","10:27","ACT",1,2,"E","C","23",40.4336853,80.41731262,108.9354401,0.48516503,49684.91797,206.3,4.9,54.7,"","ACT1_2E",5.32933142007721,1.62444306856428,4.01998014693324
"60",2070,"G45",11,3,"f","30-06-2020","09:17","ACT",1,1,"B","C","18",27.43066406,56.53570557,97.45061493,0.428502411,36302.03906,399.9,9.3,23,"","ACT1_1B",5.99121451585277,1.53495706659032,3.17805383034795
"61",2070,"G45",11,3,"f","07-07-2020","09:52","ACT",2,1,"C","C","18",3.723870754,37.54680634,22.28316879,0.040587842,5668.289551,1167,41.7,0.5,"heavy skin infections","ACT2_1C",7.06219163228656,1.04142278634511,0.405465108108164
"62",2084,"G48",9.8,3,"f","30-06-2020","09:17","ACT",1,1,"G","C","12",7.048670769,52.91149139,28.56866837,0.086426273,10702.05371,639.3,8.6,3.7,"","ACT1_1G",6.46037382777268,1.09027098234581,1.54756250871601
"63",2084,"G48",9.8,3,"f","07-07-2020","09:52","ACT",2,1,"G","C","11",7.177793026,81.7110672,29.01316452,0.066312924,9578.140625,1119,36.1,14.1,"heavy skin infections","ACT2_1G",7.02019070831193,1.06856104324984,2.71469474382088
"64",2089,"G31",13.7,1,"m","30-06-2020","12:27","ACT",1,4,"E","D","39",39.09820557,58.62684631,133.9951782,0.641833425,49132.30078,18,4.5,32,"","ACT1_4E",2.89037175789616,1.89996112417017,3.49650756146648
"65",2089,"G31",13.7,1,"m","07-07-2020","14:50","ACT",2,6,"A","D","39",42.17656326,56.17679596,164.0066376,0.729414403,52801.19531,17.7,4.4,23.1,"","ACT2_6A",2.87356463957978,2.07386580242338,3.18221184049661
"66",2099,"G12",13.4,2,"m","14-07-2020","10:40","ACT",3,2,"E","E","32",20.3107338,58.79472351,74.04272461,0.313840419,26023.45117,635.9,21.2,24.5,"","ACT3_2E",6.45504131827336,1.36867130518354,3.23867845216438
"67",2099,"G12",13.4,2,"m","30-06-2020","13:34","ACT",1,5,"B","E","30",36.90002823,76.80284119,127.0428085,0.456312031,46231.17969,234.2,11.7,24.1,"","ACT1_5B",5.45617545116362,1.57824272859982,3.22286784613774
"68",2099,"G12",13.4,2,"m","07-07-2020","12:50","ACT",2,4,"D","E","30",25.7948494,56.14007187,100.2844238,0.417452574,32937.01172,266.4,7.4,31.4,"","ACT2_4D",5.58499893866623,1.51808940528306,3.47815842279828
"69",2101,"G40",12.8,1,"m","30-06-2020","09:17","ACT",1,1,"E","C","28",32.94677734,55.33686066,116.3058548,0.560580134,42090.96094,45.7,4.2,36.6,"","ACT1_1E",3.82209829790016,1.75168841959256,3.62700405039585
"70",2101,"G40",12.8,1,"m","14-07-2020","12:34","ACT",3,4,"G","C","28",2.308203459,11.62896729,12.74443436,0.004028225,4267.463379,1196.7,99.7,0,"","ACT3_4G",7.08732304757947,1.00403634920337,0
"71",2101,"G40",12.8,1,"m","07-07-2020","10:56","ACT",2,2,"B","C","27",12.09745121,50.99975967,48.68787003,0.198966548,15800.65234,727.6,12.5,79.8,"","ACT2_2B",6.58975144664397,1.22014114905546,4.39197696552705
"72",2110,"G28",14.9,1,"m","30-06-2020","12:27","ACT",1,4,"C","D","43",24.91535759,59.92234802,89.60579681,0.411757618,31803.21875,480.9,15.5,71.1,"","ACT1_4C",6.17565934828362,1.50946852398547,4.2780540442909
"73",2110,"G28",14.9,1,"m","14-07-2020","09:42","ACT",3,1,"D","D","45",35.23678207,55.53258896,128.8289795,0.60304445,44635.66797,156.7,8.7,224.5,"","ACT3_1D",5.05433314936197,1.82767460286253,5.41832015894273
"74",2110,"G28",14.9,1,"m","07-07-2020","13:45","ACT",2,5,"F","D","44",27.6168251,62.41623688,103.3243179,0.417351931,34374.39063,514.2,13.2,169.9,"","ACT2_5F",6.24261229483179,1.51793662789916,5.14107859012155
"75",2112,"G39",12.9,1,"m","07-07-2020","10:56","ACT",2,2,"A","C","32",36.86471176,60.9798851,123.1084137,0.57379663,46989.29297,55.5,5.5,40.3,"","ACT2_2A",4.01638302075239,1.77499326756667,3.72086249996699
"76",2112,"G39",12.9,1,"m","30-06-2020","09:17","ACT",1,1,"D","C","32",45.77867508,65.9125824,156.6507263,0.670799017,58592.18359,42.7,4.7,50.4,"","ACT1_1D",3.75419892023458,1.95579941346342,3.93963817246112
"77",2112,"G39",12.9,1,"m","14-07-2020","13:26","ACT",3,5,"B","C","33",21.20429993,54.10448837,73.09890747,0.354606181,27153.66992,463.8,7.5,56.7,"","ACT3_5B",6.13945342482143,1.42561910782348,4.05525717351405
