Date,TimeLoaded,TrialType,TrialDay,TrialRound,ArenaID,TankID,PITID,Weight,avespeed_tot,avespeed_mob,aveacceler,propmoving,dist,timefrozen_tot,timefrozen_ave,centretime,Notes
30-06-2020,13:34,ACT,1,5,C,E,2191,24,3.036140203,14.87127876,18.75889397,0.040893432,5583.802734,859.9,13.9,0,Possible right fin damage EXCLUDED
30-06-2020,13:34,ACT,1,5,D,E,2220,35,35.05659103,55.09522629,137.5100403,0.607826769,45726.67578,47.4,4.7,24.5,
30-06-2020,13:34,ACT,1,5,E,E,2019,37,30.91571426,48.84003448,111.9288559,0.599492908,40521.02734,153,9,51.6,
30-06-2020,13:34,ACT,1,5,F,E,2016,35,27.89889336,68.00580597,91.5513916,0.383931547,35069.96484,375.7,6.6,38.5,
30-06-2020,13:34,ACT,1,5,G,E,2060,52,47.70784378,73.29097748,166.8454437,0.627853632,59720.80859,162.3,9.5,12,
30-06-2020,13:34,ACT,1,5,H,E,2233,37,39.07988358,59.86493683,147.0727997,0.624978542,50045.89844,78.8,7.2,41.6,
30-06-2020,14:40,ACT,1,6,A,E,2182,37,38.30709839,55.19351578,134.6135864,0.667976618,48767.42578,18.7,4.7,82.3,
30-06-2020,14:40,ACT,1,6,B,E,2156,60,35.35190201,64.68862152,115.8107376,0.515849769,45533.46094,120.8,6,54.8,
30-06-2020,14:40,ACT,1,6,C,E,2026,19,32.16679764,62.98014832,100.8072968,0.482353956,40663.9375,198.6,6.8,11.7,
30-06-2020,14:40,ACT,1,6,D,E,2153,29,61.23959732,77.69376373,201.8768311,0.771707356,77516.76563,18.3,4.6,63.6,
30-06-2020,14:40,ACT,1,6,E,E,2217,32,47.73799515,62.24736023,170.9520569,0.748515189,59690.48047,13.4,4.5,135.7,
30-06-2020,14:40,ACT,1,6,F,E,2045,58,31.05964088,58.23539734,113.2615356,0.492878139,40758.18359,228.2,8.8,26.3,
30-06-2020,14:40,ACT,1,6,G,E,1286,36,50.22652817,72.70973969,145.9354248,0.674317002,61992.20313,53.2,4.8,56.4,
30-06-2020,14:40,ACT,1,6,H,NOFISH,NOFISH,NOFISH,NA,NA,NA,NA,NA,NA,NA,NA,
