"","PITID","FishID","TL","InfectionScore","Sex","Date","TimeLoaded","TimeInitiated","TrialType","TrialDay","TrialRound","ArenaID","TankID","emergetime","emergelat","endpointtime","endpointlat","endpointspeed","refugereturntime","refugereturnlat","Notes","UniqueID","emergelat.bin.A","emergelat.bin.B","endpointlat.bin.A","endpointlat.bin.B","endpointspeed.ln","refugereturnlat.ln"
"39",2034,"G30",13,2,"m","02-07-2020","09:58","10:08","EXPL",1,2,"E","D","00:01",1,"00:23",23,22,"00:53",52,"","EXPL1_2E",1,1,1,1,3.09104245335832,3.95124371858143
"40",2034,"G30",13,2,"m","09-07-2020","13:56","14:06","EXPL",2,6,"C","D","00:07",7,"01:16",76,69,"02:27",140,"","EXPL2_6C",1,1,1,1,4.23410650459726,4.9416424226093
"41",2038,"G21",17.3,3,"m","02-07-2020","11:07","11:17","EXPL",1,3,"D","D","00:35",35,"01:01",61,26,"01:32",57,"","EXPL1_3D",1,1,1,1,3.25809653802148,4.04305126783455
"42",2040,"G49",13.2,2,"m","09-07-2020","12:52","13:02","EXPL",2,5,"C","C","00:11",11,"00:31",31,20,"01:39",88,"","EXPL2_5C",1,1,1,1,2.99573227355399,4.47733681447821
"43",2040,"G49",13.2,2,"m","02-07-2020","12:13","12:23","EXPL",1,4,"D","C","00:01",1,"00:54",54,53,"01:23",82,"","EXPL1_4D",1,1,1,1,3.97029191355212,4.40671924726425
"44",2040,"G49",13.2,2,"m","16-07-2020","16:40","16:50","EXPL",3,7,"D","C","00:01",1,"00:28",28,27,"03:40",219,"","EXPL3_7D",1,1,1,1,3.29583686600433,5.3890717298165
"66",2101,"G40",12.8,1,"m","02-07-2020","14:20","14:30","EXPL",1,6,"D","C","00:02",2,"00:25",25,23,"02:24",142,"","EXPL1_6D",1,1,1,1,3.13549421592915,4.95582705760126
"67",2110,"G28",14.9,1,"m","09-07-2020","15:00","15:10","EXPL",2,7,"B","D","00:07",7,"01:35",95,88,"00:26",19,"","EXPL2_7B",1,1,1,1,4.47733681447821,2.94443897916644
"68",2110,"G28",14.9,1,"m","02-07-2020","09:58","10:08","EXPL",1,2,"A","D","00:22",22,"00:37",37,15,"01:13",51,"","EXPL1_2A",1,1,1,1,2.70805020110221,3.93182563272433
"70",2112,"G39",12.9,1,"m","02-07-2020","13:15","13:25","EXPL",1,5,"D","C","00:01",1,"00:28",28,27,"01:11",70,"","EXPL1_5D",1,1,1,1,3.29583686600433,4.24849524204936
"72",2116,"G27",13.4,1,"m","09-07-2020","15:00","15:10","EXPL",2,7,"E","D","00:24",24,"00:40",40,16,"01:01",37,"","EXPL2_7E",1,1,1,1,2.77258872223978,3.61091791264422
"74",2116,"G27",13.4,1,"m","02-07-2020","08:42","08:52","EXPL",1,1,"C","D","00:08",8,"00:24",24,16,"03:27",199,"","EXPL1_1C",1,1,1,1,2.77258872223978,5.29330482472449
"76",2119,"G34",15.4,2,"f","09-07-2020","16:02","16:12","EXPL",2,8,"B","D","00:49",49,"02:17",137,88,"00:59",10,"","EXPL2_8B",1,1,1,1,4.47733681447821,2.30258509299405
"77",2119,"G34",15.4,2,"f","02-07-2020","09:58","10:08","EXPL",1,2,"C","D","00:13",13,"00:38",38,25,"01:17",64,"","EXPL1_2C",1,1,1,1,3.2188758248682,4.15888308335967
"78",2122,"G25",13.7,1,"m","16-07-2020","13:25","13:35","EXPL",3,4,"A","D","00:17",17,"00:39",39,22,"01:09",52,"","EXPL3_4A",1,1,1,1,3.09104245335832,3.95124371858143
"79",2122,"G25",13.7,1,"m","09-07-2020","13:56","14:06","EXPL",2,6,"A","D","00:04",4,"00:16",16,12,"00:40",36,"","EXPL2_6A",1,1,1,1,2.484906649788,3.58351893845611
"80",2122,"G25",13.7,1,"m","02-07-2020","09:58","10:08","EXPL",1,2,"B","D","00:21",21,"00:43",43,22,"01:27",66,"","EXPL1_2B",1,1,1,1,3.09104245335832,4.18965474202643
"81",2126,"G36",15.6,1,"m","02-07-2020","12:13","12:23","EXPL",1,4,"A","D","00:19",19,"00:32",32,13,"00:58",39,"","EXPL1_4A",1,1,1,1,2.56494935746154,3.66356164612965
"82",2126,"G36",15.6,1,"m","16-07-2020","12:20","12:30","EXPL",3,3,"D","D","00:01",1,"00:06",6,5,"00:35",34,"","EXPL3_3D",1,1,1,1,1.6094379124341,3.52636052461616
"83",2126,"G36",15.6,1,"m","09-07-2020","15:00","15:10","EXPL",2,7,"A","D","00:04",4,"00:10",10,6,"00:58",54,"","EXPL2_7A",1,1,1,1,1.79175946922805,3.98898404656427
"87",2147,"G26",13,3,"f","02-07-2020","08:42","08:52","EXPL",1,1,"A","D","00:14",14,"00:45",45,31,"08:23",489,"","EXPL1_1A",1,1,1,1,3.43398720448515,6.19236248947487
"89",2153,"G06",13.2,1,"m","09-07-2020","09:38","09:48","EXPL",2,2,"E","E","00:04",4,"00:14",14,10,"00:29",25,"","EXPL2_2E",1,1,1,1,2.30258509299405,3.2188758248682
"90",2153,"G06",13.2,1,"m","02-07-2020","16:25","16:35","EXPL",1,8,"D","E","00:11",11,"00:21",21,10,"00:39",28,"","EXPL1_8D",1,1,1,1,2.30258509299405,3.3322045101752
"91",2153,"G06",13.2,1,"m","16-07-2020","11:15","11:25","EXPL",3,2,"A","E","00:01",1,"00:26",26,25,"01:21",80,"","EXPL3_2A",1,1,1,1,3.2188758248682,4.38202663467388
"93",2156,"G29",16.7,1,"m","09-07-2020","10:43","10:53","EXPL",2,3,"B","E","00:02",2,"00:07",7,5,"00:46",44,"","EXPL2_3B",1,1,1,1,1.6094379124341,3.78418963391826
"94",2156,"G29",16.7,1,"m","02-07-2020","16:25","16:35","EXPL",1,8,"E","E","00:01",1,"00:13",13,12,"00:56",55,"","EXPL1_8E",1,1,1,1,2.484906649788,4.00733318523247
"95",2156,"G29",16.7,1,"m","16-07-2020","12:20","12:30","EXPL",3,3,"B","E","00:06",6,"00:41",41,35,"00:52",46,"","EXPL3_3B",1,1,1,1,3.55534806148941,3.8286413964891
"97",2182,"G02",14.2,1,"m","09-07-2020","09:38","09:48","EXPL",2,2,"B","E","00:02",2,"00:16",16,14,"02:38",156,"","EXPL2_2B",1,1,1,1,2.63905732961526,5.04985600724954
"98",2182,"G02",14.2,1,"m","02-07-2020","18:30","18:40","EXPL",1,10,"A","E","00:04",4,"00:24",24,20,"00:53",49,"","EXPL1_10A",1,1,1,1,2.99573227355399,3.89182029811063
"99",2182,"G02",14.2,1,"m","16-07-2020","10:11","10:21","EXPL",3,1,"A","E","00:04",4,"00:21",21,17,"02:36",152,"","EXPL3_1A",1,1,1,1,2.83321334405622,5.02388052084628
"102",2216,"G18",13.3,1,"m","09-07-2020","13:56","14:06","EXPL",2,6,"D","D","00:13",13,"00:26",26,13,"00:36",23,"","EXPL2_6D",1,1,1,1,2.56494935746154,3.13549421592915
"104",2216,"G18",13.3,1,"m","02-07-2020","09:58","10:08","EXPL",1,2,"D","D","00:05",5,"00:18",18,13,"02:42",157,"","EXPL1_2D",1,1,1,1,2.56494935746154,5.05624580534831
"105",2217,"G10",13.6,2,"m","16-07-2020","10:11","10:21","EXPL",3,1,"B","E","00:13",13,"00:30",30,17,"03:12",179,"","EXPL3_1B",1,1,1,1,2.83321334405622,5.18738580584075
"106",2217,"G10",13.6,2,"m","09-07-2020","10:43","10:53","EXPL",2,3,"A","E","00:01",1,"00:09",9,8,"02:34",153,"","EXPL2_3A",1,1,1,1,2.07944154167984,5.03043792139244
"107",2217,"G10",13.6,2,"m","02-07-2020","17:27","17:37","EXPL",1,9,"E","E","00:14",14,"00:36",36,22,"00:56",42,"","EXPL1_9E",1,1,1,1,3.09104245335832,3.73766961828337
"108",2220,"G07",14.3,1,"m","09-07-2020","08:34","08:44","EXPL",2,1,"C","E","00:22",22,"00:30",30,8,"02:17",115,"","EXPL2_1C",1,1,1,1,2.07944154167984,4.74493212836325
"111",2228,"G24",15.5,1,"m","16-07-2020","13:25","13:35","EXPL",3,4,"B","D","00:04",4,"00:41",41,37,"00:22",18,"","EXPL3_4B",1,1,1,1,3.61091791264422,2.89037175789616
"112",2228,"G24",15.5,1,"m","02-07-2020","11:07","11:17","EXPL",1,3,"E","D","00:12",12,"00:26",26,14,"00:41",29,"","EXPL1_3E",1,1,1,1,2.63905732961526,3.36729582998647
"113",2228,"G24",15.5,1,"m","09-07-2020","13:56","14:06","EXPL",2,6,"E","D","00:27",27,"00:37",37,10,"00:58",31,"","EXPL2_6E",1,1,1,1,2.30258509299405,3.43398720448515
"2",1260,"G54",9.5,2,"m(j)","02-07-2020","15:23","15:33","EXPL",1,7,"A","C","01:12",72,"01:25",85,13,"01:47",35,"","EXPL1_7A",1,0,1,1,2.56494935746154,3.55534806148941
"4",1286,"G13",13.8,3,"m","16-07-2020","10:11","10:21","EXPL",3,1,"C","E","01:25",85,"01:32",92,7,"02:09",44,"","EXPL3_1C",1,0,1,1,1.94591014905531,3.78418963391826
"18",2009,"G44",10.5,2,"m","09-07-2020","11:48","11:58","EXPL",2,4,"B","C","01:57",117,"02:40",160,43,"03:14",77,"","EXPL2_4B",1,0,1,1,3.76120011569356,4.34380542185368
"71",2112,"G39",12.9,1,"m","09-07-2020","10:43","10:53","EXPL",2,3,"E","C","02:34",154,"02:58",178,24,"03:10",36,"","EXPL2_3E",1,0,1,1,3.17805383034795,3.58351893845611
