"","Mean","SD","2.5%","5%","25%","50%","75%","95%","97.5%","text"
"p.G35.P05",0.037,0.048,0,0,0.005,0.019,0.051,0.136,0.179,"3.7% [0%, 17.9%]"
"p.G36.P05",0.059,0.068,0,0.001,0.007,0.031,0.092,0.204,0.24,"5.9% [0%, 24%]"
"p.G37.P05",0.025,0.042,0,0,0.002,0.009,0.032,0.098,0.139,"2.5% [0%, 13.9%]"
"p.G38.P05",0.023,0.027,0,0,0.003,0.013,0.035,0.08,0.093,"2.3% [0%, 9.3%]"
"p.G39.P05",0.023,0.036,0,0,0.002,0.008,0.028,0.093,0.112,"2.3% [0%, 11.2%]"
"p.G40.P05",0.015,0.02,0,0,0.002,0.006,0.02,0.059,0.073,"1.5% [0%, 7.3%]"
"p.G41.P05",0.016,0.019,0,0,0.002,0.009,0.023,0.055,0.065,"1.6% [0%, 6.5%]"
"p.G42.P05",0.023,0.035,0,0,0.003,0.01,0.029,0.096,0.131,"2.3% [0%, 13.1%]"
"p.G43.P05",0.032,0.036,0,0.001,0.006,0.018,0.048,0.108,0.125,"3.2% [0%, 12.5%]"
"p.G44.P05",0.063,0.073,0,0.001,0.007,0.032,0.096,0.224,0.247,"6.3% [0%, 24.7%]"
"p.G45.P05",0.024,0.029,0,0,0.004,0.013,0.034,0.085,0.105,"2.4% [0%, 10.5%]"
"p.G46.P05",0.131,0.111,0,0.001,0.033,0.104,0.215,0.336,0.366,"13.1% [0%, 36.6%]"
"p.G47.P05",0.167,0.081,0.01,0.031,0.115,0.161,0.215,0.315,0.355,"16.7% [1%, 35.5%]"
"p.G48.P05",0.006,0.009,0,0,0.001,0.002,0.007,0.021,0.029,"0.6% [0%, 2.9%]"
"p.G49.P05",0.023,0.026,0,0,0.004,0.014,0.035,0.079,0.093,"2.3% [0%, 9.3%]"
"p.G50.P05",0.012,0.014,0,0,0.002,0.008,0.018,0.041,0.05,"1.2% [0%, 5%]"
"p.G51.P05",0.04,0.047,0,0,0.005,0.02,0.058,0.141,0.163,"4% [0%, 16.3%]"
"p.G52.P05",0.035,0.041,0,0,0.004,0.017,0.052,0.126,0.148,"3.5% [0%, 14.8%]"
"p.G53.P05",0.074,0.089,0,0,0.007,0.035,0.113,0.275,0.309,"7.4% [0%, 30.9%]"
"p.G54.P05",0.057,0.063,0,0,0.005,0.038,0.092,0.17,0.211,"5.7% [0%, 21.1%]"
"p.G55.P05",0.035,0.04,0,0,0.005,0.018,0.052,0.121,0.142,"3.5% [0%, 14.2%]"
