"","Mean","SD","2.5%","5%","25%","50%","75%","95%","97.5%","text"
"p.G34.P02",0.061,0.068,0.001,0.002,0.014,0.037,0.083,0.213,0.256,"6.1% [0.1%, 25.6%]"
"p.G35.P02",0.135,0.08,0.006,0.013,0.069,0.135,0.193,0.267,0.293,"13.5% [0.6%, 29.3%]"
"p.G36.P02",0.126,0.097,0.003,0.007,0.047,0.107,0.183,0.316,0.351,"12.6% [0.3%, 35.1%]"
"p.G37.P02",0.034,0.034,0,0.001,0.008,0.023,0.052,0.105,0.123,"3.4% [0%, 12.3%]"
"p.G38.P02",0.773,0.096,0.579,0.618,0.715,0.778,0.839,0.919,0.945,"77.3% [57.9%, 94.5%]"
"p.G39.P02",0.046,0.045,0.001,0.002,0.011,0.033,0.068,0.138,0.161,"4.6% [0.1%, 16.1%]"
"p.G40.P02",0.87,0.089,0.682,0.719,0.822,0.882,0.935,0.986,0.992,"87% [68.2%, 99.2%]"
"p.G41.P02",0.723,0.098,0.526,0.559,0.664,0.728,0.785,0.872,0.906,"72.3% [52.6%, 90.6%]"
"p.G42.P02",0.129,0.085,0.004,0.008,0.055,0.119,0.196,0.273,0.298,"12.9% [0.4%, 29.8%]"
"p.G43.P02",0.624,0.114,0.38,0.429,0.558,0.631,0.7,0.796,0.822,"62.4% [38%, 82.2%]"
"p.G44.P02",0.26,0.162,0.009,0.023,0.14,0.242,0.35,0.571,0.631,"26% [0.9%, 63.1%]"
"p.G45.P02",0.207,0.135,0.005,0.012,0.097,0.201,0.301,0.446,0.495,"20.7% [0.5%, 49.5%]"
"p.G46.P02",0.121,0.138,0.002,0.003,0.02,0.063,0.182,0.427,0.488,"12.1% [0.2%, 48.8%]"
"p.G47.P02",0.061,0.058,0.001,0.003,0.016,0.043,0.088,0.181,0.213,"6.1% [0.1%, 21.3%]"
"p.G48.P02",0.915,0.087,0.687,0.747,0.885,0.941,0.975,0.994,0.997,"91.5% [68.7%, 99.7%]"
"p.G49.P02",0.595,0.112,0.333,0.387,0.53,0.611,0.673,0.747,0.772,"59.5% [33.3%, 77.2%]"
"p.G50.P02",0.531,0.109,0.311,0.353,0.466,0.53,0.599,0.711,0.747,"53.1% [31.1%, 74.7%]"
"p.G51.P02",0.56,0.123,0.303,0.366,0.489,0.558,0.634,0.768,0.8,"56% [30.3%, 80%]"
