"","Mean","SD","2.5%","5%","25%","50%","75%","95%","97.5%","text"
"p.G50.P02",0.386,0.199,0.016,0.031,0.241,0.398,0.534,0.708,0.745,"38.6% [1.6%, 74.5%]"
"p.G51.P02",0.098,0.09,0.003,0.005,0.027,0.071,0.149,0.283,0.317,"9.8% [0.3%, 31.7%]"
"p.G52.P02",0.084,0.083,0.002,0.004,0.022,0.059,0.124,0.252,0.288,"8.4% [0.2%, 28.8%]"
"p.G53.P02",0.067,0.063,0.002,0.004,0.021,0.05,0.095,0.191,0.23,"6.7% [0.2%, 23%]"
"p.G54.P02",0.047,0.045,0.002,0.003,0.014,0.033,0.065,0.138,0.166,"4.7% [0.2%, 16.6%]"
"p.G55.P02",0.093,0.089,0.002,0.004,0.023,0.065,0.14,0.273,0.314,"9.3% [0.2%, 31.4%]"
"p.G01.P03",0.801,0.098,0.59,0.627,0.74,0.808,0.873,0.948,0.965,"80.1% [59%, 96.5%]"
"p.G02.P03",0.543,0.132,0.223,0.295,0.474,0.559,0.628,0.738,0.767,"54.3% [22.3%, 76.7%]"
"p.G03.P03",0.449,0.147,0.087,0.147,0.377,0.476,0.551,0.635,0.664,"44.9% [8.7%, 66.4%]"
"p.G04.P03",0.591,0.138,0.21,0.33,0.533,0.606,0.676,0.772,0.815,"59.1% [21%, 81.5%]"
"p.G05.P03",0.1,0.076,0.006,0.01,0.039,0.083,0.143,0.249,0.273,"10% [0.6%, 27.3%]"
"p.G06.P03",0.8,0.091,0.615,0.647,0.739,0.802,0.866,0.947,0.965,"80% [61.5%, 96.5%]"
"p.G07.P03",0.634,0.144,0.317,0.396,0.549,0.641,0.728,0.854,0.903,"63.4% [31.7%, 90.3%]"
"p.G08.P03",0.045,0.035,0.003,0.005,0.018,0.035,0.063,0.116,0.134,"4.5% [0.3%, 13.4%]"
"p.G09.P03",0.363,0.112,0.085,0.144,0.303,0.375,0.438,0.525,0.552,"36.3% [8.5%, 55.2%]"
"p.G10.P03",0.078,0.051,0.007,0.012,0.038,0.07,0.11,0.175,0.198,"7.8% [0.7%, 19.8%]"
"p.G11.P03",0.319,0.118,0.043,0.083,0.248,0.337,0.401,0.485,0.514,"31.9% [4.3%, 51.4%]"
"p.G12.P03",0.159,0.091,0.013,0.022,0.08,0.159,0.228,0.308,0.333,"15.9% [1.3%, 33.3%]"
"p.G13.P03",0.483,0.151,0.112,0.195,0.397,0.499,0.586,0.703,0.738,"48.3% [11.2%, 73.8%]"
"p.G14.P03",0.243,0.1,0.037,0.064,0.176,0.251,0.316,0.395,0.42,"24.3% [3.7%, 42%]"
"p.G15.P03",0.176,0.103,0.012,0.02,0.089,0.173,0.257,0.345,0.373,"17.6% [1.2%, 37.3%]"
"p.G16.P03",0.2,0.138,0.008,0.015,0.084,0.181,0.296,0.456,0.497,"20% [0.8%, 49.7%]"
"p.G17.P03",0.622,0.13,0.35,0.398,0.549,0.631,0.708,0.822,0.851,"62.2% [35%, 85.1%]"
"p.G18.P03",0.052,0.037,0.004,0.007,0.024,0.044,0.073,0.126,0.142,"5.2% [0.4%, 14.2%]"
"p.G19.P03",0.411,0.154,0.042,0.082,0.338,0.449,0.517,0.607,0.633,"41.1% [4.2%, 63.3%]"
"p.G20.P03",0.437,0.136,0.133,0.192,0.356,0.45,0.526,0.642,0.676,"43.7% [13.3%, 67.6%]"
"p.G21.P03",0.082,0.06,0.005,0.008,0.035,0.07,0.117,0.202,0.231,"8.2% [0.5%, 23.1%]"
"p.G22.P03",0.104,0.068,0.007,0.013,0.047,0.093,0.15,0.233,0.262,"10.4% [0.7%, 26.2%]"
"p.G23.P03",0.096,0.061,0.008,0.013,0.047,0.087,0.134,0.208,0.233,"9.6% [0.8%, 23.3%]"
"p.G24.P03",0.437,0.115,0.133,0.211,0.383,0.451,0.511,0.593,0.623,"43.7% [13.3%, 62.3%]"
"p.G25.P03",0.69,0.105,0.478,0.517,0.623,0.693,0.761,0.857,0.888,"69% [47.8%, 88.8%]"
"p.G26.P03",0.567,0.07,0.414,0.448,0.53,0.574,0.614,0.663,0.678,"56.7% [41.4%, 67.8%]"
"p.G27.P03",0.228,0.099,0.03,0.051,0.16,0.24,0.3,0.379,0.41,"22.8% [3%, 41%]"
"p.G28.P03",0.433,0.102,0.201,0.247,0.377,0.442,0.5,0.584,0.607,"43.3% [20.1%, 60.7%]"
"p.G29.P03",0.198,0.091,0.02,0.038,0.132,0.203,0.265,0.343,0.367,"19.8% [2%, 36.7%]"
"p.G30.P03",0.803,0.126,0.536,0.578,0.721,0.819,0.905,0.971,0.983,"80.3% [53.6%, 98.3%]"
"p.G31.P03",0.122,0.066,0.015,0.022,0.07,0.117,0.169,0.236,0.256,"12.2% [1.5%, 25.6%]"
"p.G32.P03",0.622,0.093,0.432,0.463,0.564,0.627,0.686,0.764,0.79,"62.2% [43.2%, 79%]"
"p.G33.P03",0.433,0.135,0.106,0.172,0.357,0.447,0.526,0.632,0.652,"43.3% [10.6%, 65.2%]"
"p.G34.P03",0.025,0.022,0.002,0.002,0.009,0.019,0.034,0.07,0.083,"2.5% [0.2%, 8.3%]"
"p.G35.P03",0.142,0.073,0.017,0.026,0.086,0.142,0.193,0.266,0.285,"14.2% [1.7%, 28.5%]"
"p.G36.P03",0.221,0.093,0.029,0.053,0.158,0.228,0.288,0.362,0.387,"22.1% [2.9%, 38.7%]"
"p.G37.P03",0.053,0.036,0.005,0.008,0.024,0.045,0.074,0.122,0.14,"5.3% [0.5%, 14%]"
"p.G38.P03",0.636,0.128,0.365,0.411,0.56,0.644,0.72,0.832,0.877,"63.6% [36.5%, 87.7%]"
"p.G39.P03",0.066,0.045,0.006,0.008,0.03,0.057,0.092,0.154,0.172,"6.6% [0.6%, 17.2%]"
"p.G40.P03",0.684,0.143,0.379,0.448,0.595,0.687,0.781,0.913,0.941,"68.4% [37.9%, 94.1%]"
"p.G41.P03",0.408,0.168,0.046,0.084,0.304,0.432,0.533,0.646,0.679,"40.8% [4.6%, 67.9%]"
"p.G42.P03",0.113,0.065,0.011,0.02,0.061,0.107,0.159,0.229,0.252,"11.3% [1.1%, 25.2%]"
"p.G43.P03",0.585,0.117,0.336,0.383,0.516,0.593,0.663,0.76,0.798,"58.5% [33.6%, 79.8%]"
"p.G44.P03",0.498,0.106,0.254,0.315,0.438,0.507,0.566,0.652,0.682,"49.8% [25.4%, 68.2%]"
"p.G45.P03",0.184,0.105,0.018,0.027,0.098,0.18,0.26,0.367,0.395,"18.4% [1.8%, 39.5%]"
"p.G46.P03",0.366,0.1,0.127,0.19,0.308,0.375,0.434,0.516,0.538,"36.6% [12.7%, 53.8%]"
"p.G47.P03",0.101,0.058,0.011,0.017,0.054,0.096,0.14,0.204,0.229,"10.1% [1.1%, 22.9%]"
"p.G48.P03",0.172,0.132,0.006,0.012,0.063,0.145,0.257,0.413,0.47,"17.2% [0.6%, 47%]"
"p.G49.P03",0.426,0.13,0.114,0.178,0.354,0.44,0.517,0.613,0.642,"42.6% [11.4%, 64.2%]"
"p.G50.P03",0.249,0.126,0.023,0.044,0.152,0.251,0.343,0.455,0.488,"24.9% [2.3%, 48.8%]"
"p.G51.P03",0.652,0.109,0.433,0.471,0.584,0.654,0.726,0.83,0.86,"65.2% [43.3%, 86%]"
"p.G52.P03",0.704,0.107,0.488,0.528,0.636,0.705,0.776,0.873,0.909,"70.4% [48.8%, 90.9%]"
"p.G53.P03",0.516,0.089,0.321,0.361,0.464,0.521,0.576,0.648,0.669,"51.6% [32.1%, 66.9%]"
"p.G54.P03",0.046,0.033,0.004,0.007,0.021,0.039,0.064,0.109,0.126,"4.6% [0.4%, 12.6%]"
"p.G55.P03",0.711,0.112,0.468,0.518,0.639,0.715,0.789,0.891,0.918,"71.1% [46.8%, 91.8%]"
"p.G01.P04",0.017,0.027,0,0,0.002,0.006,0.02,0.07,0.096,"1.7% [0%, 9.6%]"
"p.G02.P04",0.038,0.058,0,0,0.003,0.012,0.046,0.173,0.216,"3.8% [0%, 21.6%]"
"p.G03.P04",0.039,0.064,0,0,0.003,0.012,0.041,0.184,0.24,"3.9% [0%, 24%]"
"p.G04.P04",0.031,0.048,0,0,0.003,0.01,0.037,0.132,0.175,"3.1% [0%, 17.5%]"
"p.G05.P04",0.134,0.21,0,0,0.003,0.019,0.173,0.612,0.678,"13.4% [0%, 67.8%]"
"p.G06.P04",0.015,0.025,0,0,0.001,0.006,0.017,0.063,0.09,"1.5% [0%, 9%]"
"p.G07.P04",0.033,0.052,0,0,0.002,0.01,0.038,0.142,0.189,"3.3% [0%, 18.9%]"
"p.G08.P04",0.034,0.092,0,0,0.002,0.006,0.024,0.136,0.427,"3.4% [0%, 42.7%]"
