"","Mean","SD","2.5%","5%","25%","50%","75%","95%","97.5%","text"
"p.G08.P05",0.146,0.074,0.01,0.023,0.096,0.147,0.192,0.26,0.309,"14.6% [1%, 30.9%]"
"p.G09.P05",0.333,0.052,0.236,0.25,0.298,0.331,0.366,0.419,0.439,"33.3% [23.6%, 43.9%]"
"p.G10.P05",0.444,0.055,0.336,0.354,0.409,0.444,0.482,0.533,0.552,"44.4% [33.6%, 55.2%]"
"p.G11.P05",0.323,0.055,0.221,0.237,0.285,0.322,0.36,0.418,0.437,"32.3% [22.1%, 43.7%]"
"p.G12.P05",0.349,0.067,0.219,0.241,0.301,0.349,0.399,0.454,0.47,"34.9% [21.9%, 47%]"
"p.G13.P05",0.052,0.038,0.004,0.006,0.022,0.045,0.074,0.125,0.143,"5.2% [0.4%, 14.3%]"
"p.G14.P05",0.282,0.058,0.17,0.188,0.242,0.281,0.323,0.377,0.395,"28.2% [17%, 39.5%]"
"p.G15.P05",0.272,0.078,0.125,0.149,0.215,0.274,0.332,0.395,0.41,"27.2% [12.5%, 41%]"
"p.G16.P05",0.027,0.022,0.002,0.003,0.011,0.022,0.037,0.07,0.082,"2.7% [0.2%, 8.2%]"
"p.G17.P05",0.057,0.039,0.003,0.006,0.025,0.051,0.083,0.128,0.141,"5.7% [0.3%, 14.1%]"
"p.G18.P05",0.246,0.067,0.107,0.135,0.206,0.247,0.286,0.356,0.389,"24.6% [10.7%, 38.9%]"
"p.G19.P05",0.223,0.067,0.104,0.121,0.174,0.218,0.269,0.341,0.363,"22.3% [10.4%, 36.3%]"
"p.G20.P05",0.031,0.024,0.002,0.004,0.013,0.025,0.044,0.078,0.09,"3.1% [0.2%, 9%]"
"p.G21.P05",0.048,0.046,0.002,0.004,0.015,0.034,0.066,0.14,0.18,"4.8% [0.2%, 18%]"
"p.G22.P05",0.049,0.047,0.002,0.003,0.016,0.035,0.066,0.144,0.187,"4.9% [0.2%, 18.7%]"
"p.G23.P05",0.089,0.063,0.004,0.007,0.038,0.082,0.127,0.203,0.242,"8.9% [0.4%, 24.2%]"
"p.G24.P05",0.298,0.049,0.205,0.221,0.264,0.296,0.328,0.381,0.399,"29.8% [20.5%, 39.9%]"
"p.G25.P05",0.117,0.045,0.025,0.037,0.086,0.119,0.149,0.189,0.201,"11.7% [2.5%, 20.1%]"
"p.G26.P05",0.358,0.046,0.276,0.289,0.328,0.356,0.385,0.435,0.457,"35.8% [27.6%, 45.7%]"
"p.G27.P05",0.345,0.057,0.238,0.254,0.306,0.346,0.384,0.441,0.455,"34.5% [23.8%, 45.5%]"
"p.G28.P05",0.333,0.046,0.247,0.263,0.302,0.331,0.362,0.41,0.431,"33.3% [24.7%, 43.1%]"
"p.G29.P05",0.204,0.068,0.07,0.09,0.159,0.201,0.252,0.317,0.334,"20.4% [7%, 33.4%]"
"p.G30.P05",0.016,0.014,0.001,0.001,0.006,0.012,0.022,0.044,0.054,"1.6% [0.1%, 5.4%]"
"p.G31.P05",0.216,0.067,0.082,0.11,0.175,0.215,0.258,0.331,0.358,"21.6% [8.2%, 35.8%]"
"p.G32.P05",0.215,0.043,0.128,0.145,0.187,0.217,0.245,0.283,0.296,"21.5% [12.8%, 29.6%]"
"p.G33.P05",0.066,0.046,0.004,0.007,0.03,0.058,0.096,0.153,0.172,"6.6% [0.4%, 17.2%]"
"p.G34.P05",0.912,0.049,0.795,0.818,0.884,0.918,0.948,0.98,0.986,"91.2% [79.5%, 98.6%]"
"p.G35.P05",0.255,0.065,0.126,0.148,0.211,0.254,0.298,0.363,0.381,"25.5% [12.6%, 38.1%]"
"p.G36.P05",0.309,0.057,0.201,0.219,0.271,0.307,0.349,0.4,0.42,"30.9% [20.1%, 42%]"
"p.G37.P05",0.273,0.065,0.14,0.172,0.234,0.272,0.311,0.382,0.408,"27.3% [14%, 40.8%]"
"p.G38.P05",0.047,0.033,0.004,0.006,0.02,0.04,0.068,0.111,0.124,"4.7% [0.4%, 12.4%]"
"p.G39.P05",0.251,0.073,0.093,0.124,0.208,0.253,0.296,0.37,0.398,"25.1% [9.3%, 39.8%]"
"p.G40.P05",0.031,0.025,0.002,0.003,0.012,0.025,0.044,0.079,0.094,"3.1% [0.2%, 9.4%]"
"p.G41.P05",0.063,0.047,0.004,0.006,0.023,0.053,0.093,0.154,0.173,"6.3% [0.4%, 17.3%]"
"p.G42.P05",0.169,0.069,0.03,0.053,0.124,0.169,0.211,0.292,0.311,"16.9% [3%, 31.1%]"
"p.G43.P05",0.084,0.046,0.007,0.012,0.048,0.081,0.116,0.162,0.176,"8.4% [0.7%, 17.6%]"
"p.G44.P05",0.244,0.046,0.155,0.17,0.213,0.244,0.274,0.321,0.336,"24.4% [15.5%, 33.6%]"
"p.G45.P05",0.073,0.056,0.004,0.007,0.026,0.059,0.108,0.181,0.203,"7.3% [0.4%, 20.3%]"
"p.G46.P05",0.387,0.047,0.303,0.316,0.356,0.384,0.416,0.467,0.486,"38.7% [30.3%, 48.6%]"
"p.G47.P05",0.416,0.054,0.311,0.328,0.381,0.416,0.451,0.505,0.523,"41.6% [31.1%, 52.3%]"
"p.G48.P05",0.032,0.026,0.002,0.003,0.012,0.025,0.044,0.084,0.098,"3.2% [0.2%, 9.8%]"
"p.G49.P05",0.081,0.052,0.005,0.01,0.038,0.073,0.118,0.178,0.195,"8.1% [0.5%, 19.5%]"
"p.G50.P05",0.067,0.046,0.004,0.007,0.03,0.06,0.096,0.151,0.17,"6.7% [0.4%, 17%]"
"p.G51.P05",0.109,0.046,0.017,0.03,0.078,0.112,0.141,0.183,0.196,"10.9% [1.7%, 19.6%]"
"p.G52.P05",0.086,0.044,0.009,0.015,0.053,0.086,0.116,0.158,0.175,"8.6% [0.9%, 17.5%]"
"p.G53.P05",0.329,0.043,0.245,0.26,0.302,0.328,0.356,0.4,0.417,"32.9% [24.5%, 41.7%]"
"p.G54.P05",0.322,0.062,0.202,0.226,0.284,0.321,0.36,0.425,0.454,"32.2% [20.2%, 45.4%]"
"p.G55.P05",0.068,0.041,0.005,0.008,0.036,0.064,0.096,0.14,0.152,"6.8% [0.5%, 15.2%]"
