"","Mean","SD","2.5%","5%","25%","50%","75%","95%","97.5%","text"
"p.G22.P03",0.071,0.059,0.005,0.007,0.026,0.055,0.101,0.19,0.223,"7.1% [0.5%, 22.3%]"
"p.G23.P03",0.077,0.058,0.005,0.008,0.03,0.064,0.111,0.192,0.221,"7.7% [0.5%, 22.1%]"
"p.G24.P03",0.292,0.137,0.026,0.049,0.189,0.313,0.398,0.49,0.519,"29.2% [2.6%, 51.9%]"
"p.G25.P03",0.643,0.128,0.367,0.423,0.571,0.652,0.729,0.832,0.873,"64.3% [36.7%, 87.3%]"
"p.G26.P03",0.397,0.156,0.027,0.058,0.322,0.437,0.509,0.589,0.615,"39.7% [2.7%, 61.5%]"
"p.G27.P03",0.157,0.087,0.014,0.025,0.088,0.155,0.22,0.304,0.327,"15.7% [1.4%, 32.7%]"
"p.G28.P03",0.282,0.119,0.038,0.068,0.2,0.295,0.37,0.463,0.49,"28.2% [3.8%, 49%]"
"p.G29.P03",0.187,0.096,0.017,0.032,0.113,0.188,0.255,0.348,0.372,"18.7% [1.7%, 37.2%]"
"p.G30.P03",0.803,0.125,0.538,0.578,0.72,0.816,0.905,0.975,0.984,"80.3% [53.8%, 98.4%]"
"p.G31.P03",0.116,0.071,0.009,0.014,0.057,0.11,0.163,0.244,0.264,"11.6% [0.9%, 26.4%]"
"p.G32.P03",0.522,0.123,0.243,0.299,0.451,0.536,0.605,0.701,0.733,"52.2% [24.3%, 73.3%]"
"p.G33.P03",0.385,0.149,0.057,0.106,0.292,0.399,0.492,0.609,0.644,"38.5% [5.7%, 64.4%]"
"p.G35.P03",0.129,0.074,0.011,0.019,0.069,0.125,0.181,0.256,0.287,"12.9% [1.1%, 28.7%]"
"p.G36.P03",0.164,0.088,0.017,0.027,0.095,0.162,0.231,0.308,0.333,"16.4% [1.7%, 33.3%]"
"p.G37.P03",0.045,0.035,0.002,0.005,0.018,0.036,0.065,0.112,0.134,"4.5% [0.2%, 13.4%]"
"p.G38.P03",0.612,0.147,0.294,0.362,0.524,0.62,0.711,0.839,0.887,"61.2% [29.4%, 88.7%]"
"p.G39.P03",0.058,0.045,0.003,0.005,0.022,0.048,0.083,0.143,0.166,"5.8% [0.3%, 16.6%]"
"p.G40.P03",0.672,0.151,0.35,0.417,0.578,0.678,0.775,0.914,0.946,"67.2% [35%, 94.6%]"
"p.G41.P03",0.358,0.179,0.026,0.051,0.226,0.368,0.49,0.634,0.677,"35.8% [2.6%, 67.7%]"
"p.G42.P03",0.11,0.071,0.008,0.013,0.052,0.102,0.156,0.242,0.265,"11% [0.8%, 26.5%]"
"p.G43.P03",0.546,0.147,0.221,0.292,0.463,0.557,0.647,0.764,0.802,"54.6% [22.1%, 80.2%]"
"p.G44.P03",0.38,0.138,0.064,0.107,0.294,0.401,0.478,0.578,0.606,"38% [6.4%, 60.6%]"
"p.G45.P03",0.14,0.096,0.009,0.017,0.062,0.124,0.2,0.319,0.362,"14% [0.9%, 36.2%]"
"p.G46.P03",0.208,0.105,0.019,0.033,0.128,0.21,0.285,0.376,0.404,"20.8% [1.9%, 40.4%]"
"p.G47.P03",0.056,0.041,0.004,0.006,0.025,0.046,0.08,0.132,0.152,"5.6% [0.4%, 15.2%]"
"p.G48.P03",0.16,0.128,0.005,0.01,0.054,0.133,0.236,0.405,0.462,"16% [0.5%, 46.2%]"
"p.G49.P03",0.385,0.143,0.064,0.116,0.297,0.401,0.486,0.598,0.631,"38.5% [6.4%, 63.1%]"
"p.G50.P03",0.22,0.126,0.018,0.03,0.122,0.214,0.31,0.434,0.467,"22% [1.8%, 46.7%]"
"p.G51.P03",0.61,0.133,0.321,0.383,0.532,0.618,0.699,0.817,0.857,"61% [32.1%, 85.7%]"
"p.G52.P03",0.673,0.129,0.401,0.451,0.594,0.679,0.76,0.874,0.905,"67.3% [40.1%, 90.5%]"
"p.G53.P03",0.359,0.123,0.086,0.124,0.285,0.37,0.448,0.535,0.563,"35.9% [8.6%, 56.3%]"
"p.G54.P03",0.036,0.03,0.002,0.003,0.014,0.029,0.052,0.092,0.11,"3.6% [0.2%, 11%]"
"p.G55.P03",0.682,0.132,0.392,0.453,0.608,0.69,0.769,0.881,0.918,"68.2% [39.2%, 91.8%]"
"p.G01.P04",0.023,0.032,0,0,0.003,0.01,0.029,0.09,0.117,"2.3% [0%, 11.7%]"
"p.G02.P04",0.058,0.077,0,0.001,0.006,0.023,0.082,0.234,0.277,"5.8% [0%, 27.7%]"
"p.G03.P04",0.052,0.074,0,0.001,0.005,0.02,0.067,0.207,0.27,"5.2% [0%, 27%]"
"p.G04.P04",0.036,0.052,0,0.001,0.004,0.015,0.045,0.148,0.199,"3.6% [0%, 19.9%]"
"p.G05.P04",0.25,0.272,0,0.001,0.008,0.091,0.511,0.717,0.772,"25% [0%, 77.2%]"
"p.G06.P04",0.02,0.03,0,0,0.002,0.008,0.024,0.083,0.108,"2% [0%, 10.8%]"
"p.G07.P04",0.044,0.064,0,0,0.004,0.015,0.056,0.193,0.236,"4.4% [0%, 23.6%]"
"p.G08.P04",0.03,0.048,0,0,0.002,0.009,0.035,0.146,0.188,"3% [0%, 18.8%]"
"p.G09.P04",0.055,0.077,0,0.001,0.006,0.022,0.069,0.222,0.294,"5.5% [0%, 29.4%]"
"p.G10.P04",0.019,0.03,0,0,0.003,0.009,0.023,0.074,0.106,"1.9% [0%, 10.6%]"
"p.G11.P04",0.056,0.085,0,0.001,0.006,0.021,0.065,0.251,0.335,"5.6% [0%, 33.5%]"
"p.G12.P04",0.042,0.072,0,0.001,0.005,0.015,0.044,0.195,0.273,"4.2% [0%, 27.3%]"
"p.G13.P04",0.071,0.098,0,0.001,0.006,0.023,0.099,0.285,0.341,"7.1% [0%, 34.1%]"
"p.G14.P04",0.064,0.09,0,0.001,0.007,0.025,0.083,0.265,0.337,"6.4% [0%, 33.7%]"
"p.G15.P04",0.039,0.073,0,0.001,0.004,0.014,0.04,0.164,0.279,"3.9% [0%, 27.9%]"
"p.G16.P04",0.036,0.077,0,0,0.003,0.011,0.036,0.144,0.241,"3.6% [0%, 24.1%]"
"p.G17.P04",0.048,0.063,0,0.001,0.005,0.02,0.067,0.184,0.223,"4.8% [0%, 22.3%]"
"p.G18.P04",0.022,0.034,0,0,0.003,0.009,0.026,0.091,0.126,"2.2% [0%, 12.6%]"
"p.G19.P04",0.038,0.072,0,0.001,0.004,0.013,0.037,0.159,0.28,"3.8% [0%, 28%]"
