"","Mean","SD","2.5%","5%","25%","50%","75%","95%","97.5%","text"
"p.G17.P01",0.128,0.077,0.009,0.017,0.066,0.121,0.181,0.265,0.291,"12.8% [0.9%, 29.1%]"
"p.G18.P01",0.785,0.115,0.547,0.586,0.709,0.793,0.873,0.956,0.972,"78.5% [54.7%, 97.2%]"
"p.G19.P01",0.271,0.154,0.014,0.025,0.133,0.29,0.39,0.507,0.535,"27.1% [1.4%, 53.5%]"
"p.G20.P01",0.063,0.045,0.005,0.007,0.026,0.053,0.089,0.149,0.17,"6.3% [0.5%, 17%]"
"p.G21.P01",0.62,0.149,0.303,0.374,0.534,0.623,0.714,0.868,0.907,"62% [30.3%, 90.7%]"
"p.G22.P01",0.546,0.15,0.185,0.263,0.47,0.563,0.638,0.77,0.811,"54.6% [18.5%, 81.1%]"
"p.G23.P01",0.642,0.119,0.378,0.449,0.577,0.646,0.719,0.825,0.864,"64.2% [37.8%, 86.4%]"
"p.G24.P01",0.205,0.116,0.016,0.029,0.112,0.198,0.29,0.402,0.439,"20.5% [1.6%, 43.9%]"
"p.G25.P01",0.12,0.078,0.008,0.015,0.059,0.107,0.17,0.267,0.295,"12% [0.8%, 29.5%]"
"p.G26.P01",0.079,0.064,0.005,0.008,0.029,0.062,0.114,0.206,0.238,"7.9% [0.5%, 23.8%]"
"p.G27.P01",0.381,0.141,0.075,0.119,0.296,0.391,0.477,0.6,0.641,"38.1% [7.5%, 64.1%]"
"p.G28.P01",0.186,0.102,0.019,0.031,0.107,0.182,0.258,0.368,0.402,"18.6% [1.9%, 40.2%]"
"p.G29.P01",0.495,0.145,0.143,0.233,0.413,0.511,0.595,0.706,0.742,"49.5% [14.3%, 74.2%]"
"p.G30.P01",0.032,0.029,0.001,0.002,0.011,0.023,0.045,0.09,0.108,"3.2% [0.1%, 10.8%]"
"p.G31.P01",0.654,0.132,0.373,0.432,0.576,0.662,0.742,0.857,0.892,"65.4% [37.3%, 89.2%]"
"p.G32.P01",0.111,0.074,0.008,0.014,0.053,0.099,0.158,0.248,0.279,"11.1% [0.8%, 27.9%]"
"p.G33.P01",0.17,0.09,0.014,0.027,0.099,0.169,0.234,0.32,0.35,"17% [1.4%, 35%]"
"p.G35.P01",0.584,0.145,0.279,0.344,0.494,0.59,0.681,0.811,0.853,"58.4% [27.9%, 85.3%]"
"p.G36.P01",0.406,0.139,0.101,0.163,0.318,0.414,0.499,0.625,0.66,"40.6% [10.1%, 66%]"
"p.G37.P01",0.769,0.121,0.522,0.565,0.686,0.773,0.861,0.952,0.968,"76.9% [52.2%, 96.8%]"
"p.G38.P01",0.106,0.07,0.008,0.013,0.049,0.097,0.153,0.234,0.262,"10.6% [0.8%, 26.2%]"
"p.G39.P01",0.764,0.124,0.505,0.552,0.678,0.773,0.861,0.952,0.966,"76.4% [50.5%, 96.6%]"
"p.G40.P01",0.068,0.053,0.004,0.007,0.026,0.055,0.096,0.171,0.201,"6.8% [0.4%, 20.1%]"
"p.G41.P01",0.134,0.084,0.01,0.017,0.065,0.124,0.193,0.285,0.309,"13.4% [1%, 30.9%]"
"p.G42.P01",0.657,0.127,0.381,0.447,0.583,0.671,0.741,0.842,0.88,"65.7% [38.1%, 88%]"
"p.G43.P01",0.164,0.089,0.017,0.026,0.094,0.164,0.227,0.311,0.341,"16.4% [1.7%, 34.1%]"
"p.G44.P01",0.181,0.103,0.015,0.027,0.098,0.175,0.253,0.365,0.4,"18.1% [1.5%, 40%]"
"p.G45.P01",0.398,0.148,0.058,0.113,0.311,0.417,0.495,0.614,0.661,"39.8% [5.8%, 66.1%]"
"p.G46.P01",0.226,0.113,0.028,0.045,0.143,0.222,0.306,0.415,0.457,"22.6% [2.8%, 45.7%]"
"p.G47.P01",0.561,0.128,0.278,0.332,0.485,0.57,0.649,0.749,0.783,"56.1% [27.8%, 78.3%]"
"p.G48.P01",0.068,0.057,0.003,0.006,0.024,0.054,0.098,0.183,0.216,"6.8% [0.3%, 21.6%]"
"p.G49.P01",0.212,0.102,0.022,0.04,0.138,0.214,0.284,0.377,0.405,"21.2% [2.2%, 40.5%]"
"p.G50.P01",0.193,0.099,0.016,0.031,0.118,0.192,0.265,0.357,0.381,"19.3% [1.6%, 38.1%]"
"p.G51.P01",0.14,0.084,0.013,0.02,0.071,0.131,0.199,0.289,0.317,"14% [1.3%, 31.7%]"
"p.G52.P01",0.119,0.076,0.007,0.014,0.057,0.11,0.171,0.256,0.287,"11.9% [0.7%, 28.7%]"
"p.G53.P01",0.132,0.08,0.012,0.02,0.069,0.122,0.184,0.276,0.308,"13.2% [1.2%, 30.8%]"
"p.G54.P01",0.744,0.124,0.505,0.547,0.657,0.744,0.833,0.951,0.968,"74.4% [50.5%, 96.8%]"
"p.G55.P01",0.114,0.073,0.008,0.013,0.054,0.106,0.163,0.249,0.274,"11.4% [0.8%, 27.4%]"
"p.G01.P02",0.07,0.074,0.001,0.002,0.015,0.045,0.102,0.223,0.257,"7% [0.1%, 25.7%]"
"p.G02.P02",0.193,0.158,0.004,0.008,0.059,0.16,0.29,0.503,0.571,"19.3% [0.4%, 57.1%]"
"p.G03.P02",0.176,0.17,0.003,0.006,0.043,0.115,0.261,0.542,0.589,"17.6% [0.3%, 58.9%]"
"p.G04.P02",0.115,0.146,0.002,0.004,0.021,0.06,0.134,0.464,0.573,"11.5% [0.2%, 57.3%]"
"p.G05.P02",0.322,0.218,0.005,0.01,0.097,0.356,0.505,0.647,0.687,"32.2% [0.5%, 68.7%]"
"p.G06.P02",0.051,0.065,0.001,0.002,0.01,0.028,0.069,0.171,0.231,"5.1% [0.1%, 23.1%]"
"p.G07.P02",0.239,0.154,0.005,0.012,0.115,0.235,0.342,0.501,0.563,"23.9% [0.5%, 56.3%]"
"p.G08.P02",0.041,0.04,0.001,0.002,0.011,0.028,0.058,0.122,0.146,"4.1% [0.1%, 14.6%]"
"p.G09.P02",0.148,0.125,0.005,0.008,0.043,0.113,0.234,0.392,0.435,"14.8% [0.5%, 43.5%]"
"p.G10.P02",0.031,0.031,0.001,0.002,0.01,0.022,0.044,0.091,0.115,"3.1% [0.1%, 11.5%]"
"p.G11.P02",0.142,0.127,0.004,0.007,0.036,0.102,0.225,0.394,0.442,"14.2% [0.4%, 44.2%]"
"p.G12.P02",0.083,0.083,0.003,0.004,0.021,0.055,0.118,0.258,0.305,"8.3% [0.3%, 30.5%]"
"p.G13.P02",0.31,0.192,0.006,0.015,0.16,0.306,0.44,0.652,0.705,"31% [0.6%, 70.5%]"
"p.G14.P02",0.13,0.111,0.003,0.006,0.037,0.103,0.197,0.348,0.4,"13% [0.3%, 40%]"
"p.G15.P02",0.095,0.103,0.002,0.004,0.022,0.055,0.135,0.317,0.379,"9.5% [0.2%, 37.9%]"
"p.G16.P02",0.695,0.161,0.342,0.446,0.604,0.711,0.806,0.913,0.938,"69.5% [34.2%, 93.8%]"
"p.G17.P02",0.175,0.14,0.004,0.007,0.058,0.15,0.259,0.441,0.5,"17.5% [0.4%, 50%]"
"p.G18.P02",0.037,0.036,0.001,0.002,0.01,0.026,0.052,0.109,0.129,"3.7% [0.1%, 12.9%]"
"p.G19.P02",0.16,0.188,0.002,0.003,0.02,0.06,0.292,0.538,0.572,"16% [0.2%, 57.2%]"
"p.G20.P02",0.427,0.165,0.037,0.116,0.335,0.429,0.533,0.696,0.763,"42.7% [3.7%, 76.3%]"
"p.G21.P02",0.148,0.122,0.002,0.005,0.036,0.122,0.24,0.371,0.404,"14.8% [0.2%, 40.4%]"
"p.G22.P02",0.181,0.138,0.003,0.006,0.049,0.169,0.296,0.407,0.445,"18.1% [0.3%, 44.5%]"
"p.G23.P02",0.125,0.096,0.004,0.007,0.04,0.108,0.197,0.296,0.331,"12.5% [0.4%, 33.1%]"
"p.G24.P02",0.151,0.136,0.004,0.007,0.036,0.103,0.246,0.423,0.456,"15.1% [0.4%, 45.6%]"
"p.G25.P02",0.093,0.096,0.002,0.004,0.022,0.061,0.133,0.284,0.34,"9.3% [0.2%, 34%]"
"p.G26.P02",0.096,0.112,0.002,0.004,0.019,0.05,0.128,0.371,0.411,"9.6% [0.2%, 41.1%]"
