Vandområde;MarinReferenceKode;Lokalitetsnavn;ObservationsStedNr;ObservationsStedNavn;MC-stationsnr;Dato;Tid;MiljøcenterNavn;Dataleverandør;Antal delprøver (stk);Prøvenummer;Dybde (m);Prøvetagningsudstyr;Prøveredskabsareal (cm2);Maskevidde (um);Haps breddegrad;Haps længdegrad;Haps X_UTM;Haps Y_UTM;Artsrække;Artsnavn;Stadie;Antal (stk);Biomasse vådvægt (g);Biomasse tørvægt (g);Askevægt (g);Kontrol;Kvalitet;ObsSted_bredde;ObsSted_længde;ObsSted_X_UTM;ObsSted_Y_UTM
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250152";"625 Guldborg Sund";"BF Bredningen";"2013-05-21";"0";"Naturstyrelsen";"Naturstyrelsen";"42";"31";"2.00";"Haps";"143";"1000";"5442,032";"1150,709";"683328";"6065184";"Arthropoda";"Chironomidae indet.";"Ej oplyst";"2";"0,0047";"0,0002";"";"ElekK";"GODK";"5442,429";"1151,764";"684431";"6065966"
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250152";"625 Guldborg Sund";"BF Bredningen";"2013-05-21";"0";"Naturstyrelsen";"Naturstyrelsen";"42";"31";"2.00";"Haps";"143";"1000";"5442,032";"1150,709";"683328";"6065184";"Mollusca";"Hydrobia sp.";"Ej oplyst";"1";"0,0137";"0,0107";"";"ElekK";"GODK";"5442,429";"1151,764";"684431";"6065966"
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250152";"625 Guldborg Sund";"BF Bredningen";"2013-05-21";"0";"Naturstyrelsen";"Naturstyrelsen";"42";"32";"1.80";"Haps";"143";"1000";"5441,956";"1150,241";"682831";"6065023";"Nemertini";"Nemertini indet.";"Ej oplyst";"2";"0,0456";"0,0074";"";"ElekK";"GODK";"5442,429";"1151,764";"684431";"6065966"
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250152";"625 Guldborg Sund";"BF Bredningen";"2013-05-21";"0";"Naturstyrelsen";"Naturstyrelsen";"42";"32";"1.80";"Haps";"143";"1000";"5441,956";"1150,241";"682831";"6065023";"Annelida";"Oligochaeta indet.";"Ej oplyst";"9";"0,0099";"0,0046";"";"ElekK";"GODK";"5442,429";"1151,764";"684431";"6065966"
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250152";"625 Guldborg Sund";"BF Bredningen";"2013-05-21";"0";"Naturstyrelsen";"Naturstyrelsen";"42";"32";"1.80";"Haps";"143";"1000";"5441,956";"1150,241";"682831";"6065023";"Arthropoda";"Idotea balthica";"Ej oplyst";"3";"0,0365";"0,0074";"";"ElekK";"GODK";"5442,429";"1151,764";"684431";"6065966"
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250152";"625 Guldborg Sund";"BF Bredningen";"2013-05-21";"0";"Naturstyrelsen";"Naturstyrelsen";"42";"32";"1.80";"Haps";"143";"1000";"5441,956";"1150,241";"682831";"6065023";"Arthropoda";"Jaera albifrons";"Ej oplyst";"2";"0,0036";"0,0008";"";"ElekK";"GODK";"5442,429";"1151,764";"684431";"6065966"
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250152";"625 Guldborg Sund";"BF Bredningen";"2013-05-21";"0";"Naturstyrelsen";"Naturstyrelsen";"42";"32";"1.80";"Haps";"143";"1000";"5441,956";"1150,241";"682831";"6065023";"Arthropoda";"Chironomidae indet.";"Ej oplyst";"9";"0,0512";"0,007";"";"ElekK";"GODK";"5442,429";"1151,764";"684431";"6065966"
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250152";"625 Guldborg Sund";"BF Bredningen";"2013-05-21";"0";"Naturstyrelsen";"Naturstyrelsen";"42";"32";"1.80";"Haps";"143";"1000";"5441,956";"1150,241";"682831";"6065023";"Mollusca";"Theodoxus fluviatilis";"Ej oplyst";"1";"0,0576";"0,048";"";"ElekK";"GODK";"5442,429";"1151,764";"684431";"6065966"
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250152";"625 Guldborg Sund";"BF Bredningen";"2013-05-21";"0";"Naturstyrelsen";"Naturstyrelsen";"42";"32";"1.80";"Haps";"143";"1000";"5441,956";"1150,241";"682831";"6065023";"Mollusca";"Hydrobia sp.";"Ej oplyst";"9";"0,1181";"0,0763";"";"ElekK";"GODK";"5442,429";"1151,764";"684431";"6065966"
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250152";"625 Guldborg Sund";"BF Bredningen";"2013-05-21";"0";"Naturstyrelsen";"Naturstyrelsen";"42";"32";"1.80";"Haps";"143";"1000";"5441,956";"1150,241";"682831";"6065023";"Mollusca";"Pusillina sarsi";"Ej oplyst";"5";"0,0673";"0,0448";"";"ElekK";"GODK";"5442,429";"1151,764";"684431";"6065966"
