sourceID,sortID,rep,sampleID,date_packed,weight_packed (mg),rack,row,position,d15N,d13C,N_percentage,C_percentage,runline,runID,date_data,Notes
G20,fin,A,G20A,29-07-2020,0.6,1,C,10,10.37066667,-14.07833333,0.081176288,0.25939038,29,Nick Moran 2020 0417 201025 set 1,07-11-2020,
G20,fin,B,G20B,29-07-2020,0.54,1,C,11,10.47283333,-14.46033333,0.095747189,0.315873105,38,Nick Moran 2020 0417 201025 set 2,07-11-2020,
G20,fin,C,G20C,29-07-2020,0.56,1,C,12,10.29033333,-14.1528,0.100836203,0.342175888,13,Nick Moran 2020 0417 201107 set 3,07-11-2020,
G21,fin,A,G21A,29-07-2020,0.48,1,D,1,9.870666667,-15.97533333,0.115243688,0.370026143,30,Nick Moran 2020 0417 201025 set 1,07-11-2020,
G22,fin,A,G22A,29-07-2020,0.47,1,D,2,10.19366667,-16.37333333,0.105162968,0.351100197,31,Nick Moran 2020 0417 201025 set 1,07-11-2020,
G23,fin,A,G23A,29-07-2020,0.55,1,D,3,10.17166667,-16.87033333,0.103591101,0.347054358,32,Nick Moran 2020 0417 201025 set 1,07-11-2020,
G24,fin,A,G24A,29-07-2020,0.6,1,D,4,12.05566667,-16.81733333,0.119677065,0.407795125,33,Nick Moran 2020 0417 201025 set 1,07-11-2020,
G24,fin,B,G24B,29-07-2020,0.55,1,D,5,11.82233333,-17.0228,0.091332236,0.320953121,14,Nick Moran 2020 0417 201107 set 3,07-11-2020,
G24,fin,C,G24C,29-07-2020,0.48,1,D,6,11.27633333,-17.2468,0.096714138,0.344245209,15,Nick Moran 2020 0417 201107 set 3,07-11-2020,
G25,fin,A,G25A,29-07-2020,0.56,1,D,7,11.50566667,-14.79633333,0.121095828,0.397004405,34,Nick Moran 2020 0417 201025 set 1,07-11-2020,
G26,fin,A,G26A,29-07-2020,0.47,1,D,8,12.86666667,-17.18833333,0.077898252,0.254675512,35,Nick Moran 2020 0417 201025 set 1,07-11-2020,
G26,fin,B,G26B,29-07-2020,0.59,1,D,9,12.58383333,-16.88733333,0.086932945,0.288715502,39,Nick Moran 2020 0417 201025 set 2,07-11-2020,
G26,fin,C,G26C,29-07-2020,0.58,1,D,10,11.85933333,-16.4838,0.047049131,0.163438241,16,Nick Moran 2020 0417 201107 set 3,07-11-2020,
G27,fin,A,G27A,29-07-2020,0.59,1,D,11,11.73166667,-17.21433333,0.128782651,0.442316355,36,Nick Moran 2020 0417 201025 set 1,07-11-2020,
G28,fin,A,G28A,29-07-2020,0.49,1,D,12,12.01266667,-17.14133333,0.140456218,0.484300162,37,Nick Moran 2020 0417 201025 set 1,07-11-2020,
