PopID,IndID,d15N,d13C
Cowa,TT5,8.100518095,-23.67519602
Cowa,TT5,8.743404563,-23.8737005
Cowa,TT5,8.134258498,-23.41670524
Cowa,TT6,16.38295019,-21.91143109
Cowa,TT6,16.0579496,-21.67082332
Cowa,TT6,16.02206716,-21.76703302
Cowa,TT7,23.70112784,-25.0968192
Cowa,TT7,23.2810215,-24.82476699
Cowa,TT7,21.60867263,-23.96640011
Cowa,TT8,21.27535919,-19.65752234
Cowa,TT8,21.18857138,-19.64794617
Cowa,TT8,21.61924024,-19.79586119
Cowa,TT9,19.81597122,-20.0121291
Cowa,TT9,19.91011305,-20.6502811
Cowa,TT9,19.52755905,-20.12459007
Cowa,TT10,15.5666894,-22.76162664
Cowa,TT10,15.29833599,-23.14144792
Cowa,TT10,15.57150565,-23.04596617
Cowa,TT11,21.10638462,-19.26512353
Cowa,TT11,20.65898242,-19.26004986
Cowa,TT11,20.62783754,-19.1699524
Cowa,TT12,17.22695605,-22.42493044
Cowa,TT12,17.93541205,-22.30947074
Cowa,TT12,16.97875103,-22.26701858
Cowa,TT13,20.23888292,-21.58722937
Cowa,TT13,20.58031834,-21.52865291
Cowa,TT13,20.45360794,-21.43927179
Cowa,TT14,20.30201532,-20.51882944
Cowa,TT14,20.73983272,-20.48439897
Cowa,TT14,20.76742928,-20.48198755
Cowa,TT15,20.64797967,-19.95939704
Cowa,TT15,20.76986014,-19.9825479
Cowa,TT15,20.93042002,-19.85917571
Cowa,TT16,16.3958362,-17.86719843
Cowa,TT16,16.24271044,-17.80295944
Cowa,TT16,16.27420396,-17.90089142
Cowa,TT17,22.39186547,-22.03334959
Cowa,TT17,21.19899559,-22.02885882
Cowa,TT17,21.98649819,-22.09876293
Cowa,TT19,18.35519739,-20.50257076
Cowa,TT19,17.56978933,-20.43381446
Cowa,TT19,18.65495774,-20.55272417
Cowa,TT20,20.63366144,-18.45563277
Cowa,TT20,20.58717085,-18.58853218
Cowa,TT20,20.43604823,-18.432367
Cowa,TT22,15.81716368,-22.98643471
Cowa,TT22,15.98458433,-22.96143185
Cowa,TT22,15.38574698,-23.12580719
