 ,Area,Mean,Min,Max,Angle,Length
1,257,148.191,97.771,164.333,-89.552,256.008
2,258,150.734,145.000,165.000,-88.885,257.049
3,256,148.859,143.333,165.000,-87.754,255.196
4,252,145.006,141.333,159.000,-86.110,250.577
5,264,139.599,34.186,157.000,-88.693,263.068
6,267,145.397,128.000,157.000,-88.277,266.120
7,262,146.028,129.000,159.000,-89.122,261.031
8,258,145.296,125.000,158.000,-89.777,257.002
9,164,145.601,88.235,160.000,-178.243,163.077
10,179,150.826,131.000,162.000,-179.034,178.025
11,175,147.857,138.000,154.333,0.988,174.026
12,158,143.170,86.333,155.000,0.730,157.013
13,166,145.481,131.000,157.000,179.653,165.003
14,180,144.012,128.000,152.000,-179.360,179.011
15,175,145.280,137.000,152.000,0.988,174.026
16,159,143.309,101.000,156.000,2.899,158.202
