 ,Area,Mean,Min,Max,Angle,Length
1,256,153.109,149.739,167.000,89.551,255.008
2,257,153.093,149.000,166.333,-89.329,256.018
3,256,149.141,143.333,164.333,-88.652,255.071
4,252,144.824,141.333,159.333,-87.263,251.287
5,262,148.024,138.000,156.000,-89.122,261.031
6,265,148.156,138.000,160.000,-88.915,264.047
7,264,145.449,135.333,155.985,-89.564,263.008
8,256,143.976,82.796,151.333,-90.225,255.002
9,164,152.306,138.000,165.000,-178.243,163.077
10,177,152.163,138.000,164.000,-178.373,176.071
11,174,147.249,138.000,154.328,0.331,173.003
12,161,142.108,74.333,155.000,0.000,160.000
13,165,147.165,131.000,157.000,178.603,164.049
14,181,147.147,134.000,153.000,-179.363,180.011
15,176,143.955,131.000,151.333,0.982,175.026
16,159,145.500,108.000,160.000,2.537,158.155
