"","PITID","FishID","TL","Weight","ConditionFactor","InfectionScore","Sex","Date","TimeLoaded","TrialType","TrialDay","TrialRound","ArenaID","UniqueID","TankID","avespeed_tot","avespeed_mob","aveacceler","propmoving","propmoving.exp","dist","timefrozen_tot","timefrozen_tot.ln","timefrozen_ave","centretime","centretime.lnplus1","Notes"
"99",2182,"G02",14.2,37,1.29222069173621,1,"m","30-06-2020","14:40","ACT",1,6,"A","ACT1_6A","E",38.30709839,55.19351578,134.6135864,0.667976618,1.95028714971769,48767.42578,18.7,2.92852352386054,4.7,82.3,4.4224485491728,""
"100",2182,"G02",14.2,39,1.36207045885709,1,"m","07-07-2020","11:51","ACT",2,3,"G","ACT2_3G","E",28.46555901,48.07709122,106.6117859,0.539471328,1.71509989716964,38314.12891,208.2,5.33849915618087,6.7,44.7,3.82209829790016,""
"101",2182,"G02",14.2,38,1.32714557529665,1,"m","14-07-2020","11:36","ACT",3,3,"F","ACT3_3F","E",22.48516083,44.55726624,95.28782654,0.455386907,1.57678333353855,30658.35547,343.8,5.84006009294875,7.6,65.9,4.20319896713418,""
"102",2213,"G20",13.8,30,1.14152123686109,2,"m","07-07-2020","13:45","ACT",2,5,"C","ACT2_5C","D",2.634490252,53.66956711,12.34773922,0.027308591,1.02768488814344,3749.85376,1160.1,7.05626148728136,96.7,5.8,1.91692261218206,""
"103",2213,"G20",13.8,31,1.17957194475646,2,"m","30-06-2020","11:28","ACT",1,3,"A","ACT1_3A","D",14.14190674,50.82613373,56.36860275,0.244360492,1.27680452535314,18499.81055,744.2,6.61230981591252,23.3,12.8,2.62466859216316,""
"104",2216,"G18",13.3,26,1.10514286734418,1,"m","07-07-2020","14:50","ACT",2,6,"C","ACT2_6C","D",36.47373199,59.73711777,147.6784363,0.576496661,1.77979228023992,46678.23047,190.1,5.24755024949438,5.4,44.2,3.81109708683819,""
"105",2216,"G18",13.3,27,1.14764836224203,1,"m","14-07-2020","09:42","ACT",3,1,"C","ACT3_1C","D",33.80050659,64.06497192,117.9078598,0.487418771,1.62810827116735,42766.59375,299,5.70044357339069,6.6,42,3.76120011569356,""
"106",2216,"G18",13.3,26,1.10514286734418,1,"m","30-06-2020","11:28","ACT",1,3,"B","ACT1_3B","D",42.5052948,64.97161865,149.891861,0.61008954,1.84059619838705,53995.90234,70.8,4.25985900069967,4.2,33.8,3.54961738678043,""
"107",2217,"G10",13.6,32,1.27213515163851,2,"m","30-06-2020","14:40","ACT",1,6,"E","ACT1_6E","E",47.73799515,62.24736023,170.9520569,0.748515189,2.11385900418298,59690.48047,13.4,2.59525470695687,4.5,135.7,4.9177887437299,""
"108",2217,"G10",13.6,32,1.27213515163851,2,"m","07-07-2020","12:50","ACT",2,4,"A","ACT2_4A","E",46.47907257,63.44868851,166.0714722,0.71306175,2.04022837475565,58011.85938,108,4.68213122712422,8.3,153.9,5.04277974742282,""
"109",2217,"G10",13.6,32,1.27213515163851,2,"m","14-07-2020","10:40","ACT",3,2,"F","ACT3_2F","E",45.39306641,64.00636292,148.194931,0.67295897,1.9600284138508,56828.22656,117.8,4.76898827121749,5.4,56.5,4.0517849478033,""
"110",2220,"G07",14.3,36,1.2311029964705,1,"m","07-07-2020","12:50","ACT",2,4,"E","ACT2_4E","E",34.46004486,55.12825394,131.2836914,0.597037375,1.81672853429065,44280.88672,153.5,5.03370056702725,5.5,42.1,3.7635229971097,""
"111",2220,"G07",14.3,34,1.16270838555547,1,"m","14-07-2020","11:36","ACT",3,3,"E","ACT3_3E","E",27.27675247,51.57026291,101.5214996,0.494577318,1.63980497650549,34994.01953,312.9,5.74588365067484,7.6,22,3.13549421592915,""
"112",2220,"G07",14.3,35,1.19690569101298,1,"m","30-06-2020","13:34","ACT",1,5,"D","ACT1_5D","E",35.05659103,55.09522629,137.5100403,0.607826769,1.83643605918284,45726.67578,47.4,3.85862222870103,4.7,24.5,3.23867845216438,""
"113",2228,"G24",15.5,51,1.36954113658487,1,"m","14-07-2020","09:42","ACT",3,1,"B","ACT3_1B","D",24.03099823,54.25101852,90.10153961,0.385199636,1.46990773865316,32713.41992,484.1,6.18229149694565,11,253.9,5.54087131138207,""
"114",2228,"G24",15.5,48,1.28897989325635,1,"m","07-07-2020","14:50","ACT",2,6,"E","ACT2_6E","D",29.34024429,54.95696259,122.3347092,0.503341913,1.65424037078761,38267.62891,206.7,5.33126846668772,12.7,36,3.61091791264422,""
"115",2228,"G24",15.5,46,1.235272397704,1,"m","30-06-2020","12:27","ACT",1,4,"G","ACT1_4G","D",19.96536446,46.75128937,80.5796814,0.384250998,1.46851398950201,26236.44141,342.4,5.83597964426759,6.7,115.1,4.75445188870385,""
"116",2233,"G11",13.5,37,1.50383579738861,2,"m","07-07-2020","12:50","ACT",2,4,"C","ACT2_4C","E",3.328862906,50.65876007,14.42383194,0.032503612,1.03303762446913,5028.974121,1134.1,7.03359466382128,226.8,8.1,2.2082744135228,""
"117",2233,"G11",13.5,36,1.46319158664838,2,"m","14-07-2020","11:36","ACT",3,3,"A","ACT3_3A","E",9.287032127,45.91150284,37.36274719,0.159795538,1.17327095713957,12601.42676,903.3,6.8060547241558,29.1,66.4,4.21064501791826,""
"118",2233,"G11",13.5,37,1.50383579738861,2,"m","30-06-2020","13:34","ACT",1,5,"H","ACT1_5H","E",39.07988358,59.86493683,147.0727997,0.624978542,1.86820586904058,50045.89844,78.8,4.36691299686383,7.2,41.6,3.75185425327532,""
