"","PITID","FishID","TL","Weight","ConditionFactor","InfectionScore","Sex","Date","TimeLoaded","TrialType","TrialDay","TrialRound","ArenaID","UniqueID","TankID","avespeed_tot","avespeed_mob","aveacceler","propmoving","propmoving.exp","dist","timefrozen_tot","timefrozen_tot.ln","timefrozen_ave","centretime","centretime.lnplus1","Notes"
"24",2019,"G19",13.4,38,1.57931660476854,3,"m","07-07-2020","11:51","ACT",2,3,"B","ACT2_3B","E",27.70397568,42.40126419,106.3114548,0.617339611,1.85398914274144,36718.72266,125.7,4.8338981155962,5.7,24.4,3.23474917402449,"heavy skin infections"
"25",2021,"G35",15.6,47,1.2380097439269,1,"m","07-07-2020","13:45","ACT",2,5,"G","ACT2_5G","D",13.25773811,39.05145645,54.96721268,0.274531156,1.31591357203368,17616.68945,674,6.51323011091231,8.6,45.4,3.83729945923221,""
"26",2021,"G35",15.6,46,1.2116691110774,1,"m","30-06-2020","12:27","ACT",1,4,"F","ACT1_4F","D",36.6524353,69.55497742,123.1023712,0.498346299,1.64599703184515,46426.86719,262.8,5.57139328661046,8.5,114.4,4.748404354074,""
"27",2021,"G35",15.6,48,1.26435037677641,1,"m","14-07-2020","10:40","ACT",3,2,"B","ACT3_2B","D",21.38794136,45.79494476,86.37666321,0.40733391,1.50280582378556,29839.3457,518.5,6.25094002766958,27.3,10.1,2.40694510831829,""
"28",2024,"G46",16.3,50,1.1545352337599,1,"m","30-06-2020","10:27","ACT",1,2,"B","ACT1_2B","C",40.0824852,65.10315704,126.4617767,0.589930236,1.80386256633996,55874.38672,204,5.31811999384422,9.7,124.8,4.83469334426634,""
"29",2024,"G46",16.3,52,1.2007166431103,1,"m","14-07-2020","12:34","ACT",3,4,"B","ACT3_4B","C",32.64383316,54.41271591,123.7369919,0.569479406,1.76734674179099,47795.28516,193.8,5.26682669945667,10.2,53,3.98898404656427,""
"30",2024,"G46",16.3,50,1.1545352337599,1,"m","07-07-2020","09:52","ACT",2,1,"F","ACT2_1F","C",34.06825638,54.89578247,120.1858139,0.581873536,1.78938777462591,43224.83594,105.3,4.65681341913993,5.3,93.4,4.54754107315146,""
"31",2026,"G09",10.9,19,1.46714861211602,2,"m","30-06-2020","14:40","ACT",1,6,"C","ACT1_6C","E",32.16679764,62.98014832,100.8072968,0.482353956,1.61988305116575,40663.9375,198.6,5.29129275161107,6.8,11.7,2.54160199346455,""
"32",2026,"G09",10.9,20,1.54436696012213,2,"m","07-07-2020","11:51","ACT",2,3,"H","ACT2_3H","E",32.56209564,53.12212753,127.380867,0.579243243,1.78468734495163,41928.85547,133.2,4.89185175810629,6.1,14.5,2.7408400239252,""
"33",2026,"G09",10.9,18,1.38993026410992,2,"m","14-07-2020","10:40","ACT",3,2,"G","ACT3_2G","E",29.98181343,48.86276627,115.8547668,0.576227188,1.77931273888941,38918.71875,114.8,4.74319148388547,5.5,45,3.8286413964891,"possible small wound"
"34",2028,"G17",14.9,45,1.36035954605104,2,"m","30-06-2020","11:28","ACT",1,3,"G","ACT1_3G","D",24.32190132,56.25775909,86.99931335,0.397553355,1.48817919364949,31179.76172,493.1,6.20071199323008,11,1.8,1.02961941718116,""
"35",2028,"G17",14.9,46,1.39058975818551,2,"m","14-07-2020","10:40","ACT",3,2,"A","ACT3_2A","D",25.08958817,58.87060547,89.81656647,0.391587198,1.47932691623255,32822.03516,392.4,5.97228172769121,10.6,55.2,4.02891675689965,"moderate fin infection"
