"","mergeID","PITID","FishID","TL","InfectionScore","Sex","TrialDay","TrialRound","TankID","Weight","avespeed_tot","avespeed_mob","aveacceler","dist","timefrozen_tot.ln","propmoving.exp","centretime.lnplus1","emergelat.bin","endpointlat.bin","endpointspeed.ln","refugereturnlat.ln","PC1","PC2"
"1","G02_1",2182,"G02",14.2,1,"m",1,6,"E",37,38.30709839,55.19351578,134.6135864,48767.42578,2.92852352386054,1.95028714971769,4.4224485491728,1,1,2.99573227355399,3.89182029811063,-0.474280690272453,-0.331855702722147
"2","G02_2",2182,"G02",14.2,1,"m",2,3,"E",39,28.46555901,48.07709122,106.6117859,38314.12891,5.33849915618087,1.71509989716964,3.82209829790016,1,1,2.63905732961526,5.04985600724954,0.0455439480289529,-0.380888658011569
"3","G02_3",2182,"G02",14.2,1,"m",3,3,"E",38,22.48516083,44.55726624,95.28782654,30658.35547,5.84006009294875,1.57678333353855,4.20319896713418,1,1,2.83321334405622,5.02388052084628,0.250963157125907,-0.245537682239901
"4","G04_1",2060,"G04",15.4,1,"m",1,5,"E",52,47.70784378,73.29097748,166.8454437,59720.80859,5.08944647452055,1.87358485788583,2.56494935746154,0,0,NA,NA,-0.45516679230112,0.206673217157363
"5","G04_2",2060,"G04",15.4,1,"m",2,3,"E",52,39.67568207,58.80266571,135.9953156,50397.68359,4.5368913452348,1.90941403112127,2.72785282839839,0,0,6.77764659363512,3.46573590279973,-0.241439648656184,-0.0620632175981701
"6","G04_3",2060,"G04",15.4,1,"m",3,2,"E",52,34.72232819,52.92420578,134.7354431,45930.3125,4.60015764416455,1.86320855101207,2.68102152871429,0,0,5.36129216570943,2.94443897916644,-0.118034735884044,-0.179965995378262
"7","G05_1",2016,"G05",13.7,3,"f",1,5,"E",35,27.89889336,68.00580597,91.5513916,35069.96484,5.92879095257992,1.46804494616172,3.67630067190708,1,1,2.83321334405622,5.25749537202778,0.109634429236627,0.10786350608804
"8","G05_2",2016,"G05",13.7,3,"f",2,3,"E",35,23.43832779,64.70928192,76.68884277,29405.24023,6.34405616560908,1.39896369546507,3.37073817417745,NA,NA,NA,NA,NA,NA
"9","G06_1",2153,"G06",13.2,1,"m",1,6,"E",29,61.23959732,77.69376373,201.8768311,77516.76563,2.90690105984738,2.1634568933782,4.16821441078856,1,1,2.30258509299405,3.3322045101752,-1.16457495296878,-0.0730829946563057
"10","G06_2",2153,"G06",13.2,1,"m",2,3,"E",29,52.02302933,71.11708069,160.4956665,65426.58203,4.36944785246702,1.98167498081687,3.99452422693989,1,1,2.30258509299405,3.2188758248682,-0.716802259454974,-0.0537770452135353
