"","PITID","FishID","TL","Weight","ConditionFactor","InfectionScore","Sex","Date","TimeLoaded","TimeInitiated","TrialType","TrialDay","TrialRound","ArenaID","UniqueID","TankID","emergetime","emergelat","emergelat.bin","endpointtime","endpointlat","endpointlat.bin","endpointspeed","endpointspeed.ln","refugereturntime","refugereturnlat","refugereturnlat.ln","Notes"
"28",1286,"G13",13.8,35,1.33177477633794,3,"m","16-07-2020","10:11","10:21","EXPL",3,1,"C","EXPL3_1C","E","01:25",85,0,"01:32",92,1,7,1.94591014905531,"02:09",44,3.78418963391826,""
"29",2045,"G14",16.3,58,1.33926087116149,2,"m","02-07-2020","17:27","17:37","EXPL",1,9,"C","EXPL1_9C","E",NA,2700,0,NA,2700,0,NA,NA,NA,NA,NA,""
"30",2045,"G14",16.3,58,1.33926087116149,2,"m","09-07-2020","08:34","08:44","EXPL",2,1,"B","EXPL2_1B","E",NA,2700,0,NA,2700,0,NA,NA,NA,NA,NA,""
"31",2045,"G14",16.3,59,1.36235157583669,2,"m","16-07-2020","10:11","10:21","EXPL",3,1,"E","EXPL3_1E","E",NA,2700,0,NA,2700,0,NA,NA,NA,NA,NA,""
"32",2028,"G17",14.9,45,1.36035954605104,2,"m","02-07-2020","08:42","08:52","EXPL",1,1,"E","EXPL1_1E","D",NA,2700,0,NA,2700,0,NA,NA,NA,NA,NA,""
"33",2028,"G17",14.9,45,1.36035954605104,2,"m","09-07-2020","16:02","16:12","EXPL",2,8,"A","EXPL2_8A","D","14:20",860,0,NA,2700,0,NA,NA,"14:31",11,2.39789527279837,""
"34",2028,"G17",14.9,46,1.39058975818551,2,"m","16-07-2020","14:29","14:39","EXPL",3,5,"A","EXPL3_5A","D",NA,2700,0,NA,2700,0,NA,NA,NA,NA,NA,""
"35",2216,"G18",13.3,26,1.10514286734418,1,"m","02-07-2020","09:58","10:08","EXPL",1,2,"D","EXPL1_2D","D","00:05",5,1,"00:18",18,1,13,2.56494935746154,"02:42",157,5.05624580534831,""
"36",2216,"G18",13.3,26,1.10514286734418,1,"m","09-07-2020","13:56","14:06","EXPL",2,6,"D","EXPL2_6D","D","00:13",13,1,"00:26",26,1,13,2.56494935746154,"00:36",23,3.13549421592915,""
"37",2216,"G18",13.3,27,1.14764836224203,1,"m","16-07-2020","13:25","13:35","EXPL",3,4,"C","EXPL3_4C","D","00:16",16,1,"03:53",233,0,217,5.37989735354046,"01:42",86,4.45434729625351,""
"38",2019,"G19",13.4,37,1.53775564148516,3,"m","02-07-2020","16:25","16:35","EXPL",1,8,"C","EXPL1_8C","E","01:10",70,0,"13:30",810,0,740,6.60665018619822,"02:20",70,4.24849524204936,""
"39",2019,"G19",13.4,38,1.57931660476854,3,"m","09-07-2020","09:38","09:48","EXPL",2,2,"A","EXPL2_2A","E","00:25",25,1,"03:22",202,0,177,5.17614973257383,"01:37",72,4.27666611901606,""
"40",2019,"G19",13.4,40,1.6624385313353,3,"m","16-07-2020","11:15","11:25","EXPL",3,2,"D","EXPL3_2D","E","00:27",27,1,"00:47",47,1,20,2.99573227355399,"01:26",59,4.07753744390572,""
"41",2213,"G20",13.8,31,1.17957194475646,2,"m","02-07-2020","12:13","12:23","EXPL",1,4,"B","EXPL1_4B","D",NA,2700,0,NA,2700,0,NA,NA,NA,NA,NA,""
"42",2038,"G21",17.3,70,1.35194719989524,3,"m","02-07-2020","11:07","11:17","EXPL",1,3,"D","EXPL1_3D","D","00:35",35,1,"01:01",61,1,26,3.25809653802148,"01:32",57,4.04305126783455,""
"43",2030,"G22",13.3,31,1.31767034183344,2,"f","02-07-2020","11:07","11:17","EXPL",1,3,"B","EXPL1_3B","D",NA,2700,0,NA,2700,0,NA,NA,NA,NA,NA,""
"44",2030,"G22",13.3,32,1.36017583673129,2,"f","09-07-2020","13:56","14:06","EXPL",2,6,"B","EXPL2_6B","D",NA,2700,0,NA,2700,0,NA,NA,NA,NA,NA,""
"45",2030,"G22",13.3,32,1.36017583673129,2,"f","16-07-2020","12:20","12:30","EXPL",3,3,"E","EXPL3_3E","D",NA,2700,0,NA,2700,0,NA,NA,NA,NA,NA,""
"46",2228,"G24",15.5,46,1.235272397704,1,"m","02-07-2020","11:07","11:17","EXPL",1,3,"E","EXPL1_3E","D","00:12",12,1,"00:26",26,1,14,2.63905732961526,"00:41",29,3.36729582998647,""
"47",2228,"G24",15.5,48,1.28897989325635,1,"m","09-07-2020","13:56","14:06","EXPL",2,6,"E","EXPL2_6E","D","00:27",27,1,"00:37",37,1,10,2.30258509299405,"00:58",31,3.43398720448515,""
"48",2228,"G24",15.5,51,1.36954113658487,1,"m","16-07-2020","13:25","13:35","EXPL",3,4,"B","EXPL3_4B","D","00:04",4,1,"00:41",41,1,37,3.61091791264422,"00:22",18,2.89037175789616,""
"49",2122,"G25",13.7,29,1.12781092288768,1,"m","02-07-2020","09:58","10:08","EXPL",1,2,"B","EXPL1_2B","D","00:21",21,1,"00:43",43,1,22,3.09104245335832,"01:27",66,4.18965474202643,""
"50",2122,"G25",13.7,29,1.12781092288768,1,"m","09-07-2020","13:56","14:06","EXPL",2,6,"A","EXPL2_6A","D","00:04",4,1,"00:16",16,1,12,2.484906649788,"00:40",36,3.58351893845611,""
"51",2122,"G25",13.7,28,1.08892089106397,1,"m","16-07-2020","13:25","13:35","EXPL",3,4,"A","EXPL3_4A","D","00:17",17,1,"00:39",39,1,22,3.09104245335832,"01:09",52,3.95124371858143,""
"52",2147,"G26",13,31,1.41101502048248,3,"f","02-07-2020","08:42","08:52","EXPL",1,1,"A","EXPL1_1A","D","00:14",14,1,"00:45",45,1,31,3.43398720448515,"08:23",489,6.19236248947487,""
"53",2147,"G26",13,31,1.41101502048248,3,"f","09-07-2020","15:00","15:10","EXPL",2,7,"D","EXPL2_7D","D","04:06",246,0,"04:48",288,0,42,3.73766961828337,"04:10",4,1.38629436111989,""
"54",2147,"G26",13,32,1.45653163404643,3,"f","16-07-2020","14:29","14:39","EXPL",3,5,"B","EXPL3_5B","D","02:14",134,0,"03:41",221,0,87,4.46590811865458,"02:31",17,2.83321334405622,""
"55",2116,"G27",13.4,28,1.16370697193471,1,"m","02-07-2020","08:42","08:52","EXPL",1,1,"C","EXPL1_1C","D","00:08",8,1,"00:24",24,1,16,2.77258872223978,"03:27",199,5.29330482472449,""
"56",2116,"G27",13.4,29,1.2052679352181,1,"m","09-07-2020","15:00","15:10","EXPL",2,7,"E","EXPL2_7E","D","00:24",24,1,"00:40",40,1,16,2.77258872223978,"01:01",37,3.61091791264422,""
"57",2116,"G27",13.4,27,1.12214600865133,1,"m","16-07-2020","13:25","13:35","EXPL",3,4,"E","EXPL3_4E","D",NA,2700,0,NA,2700,0,NA,NA,NA,NA,NA,""
"58",2110,"G28",14.9,43,1.29989912178211,1,"m","02-07-2020","09:58","10:08","EXPL",1,2,"A","EXPL1_2A","D","00:22",22,1,"00:37",37,1,15,2.70805020110221,"01:13",51,3.93182563272433,""
"59",2110,"G28",14.9,44,1.33012933391657,1,"m","09-07-2020","15:00","15:10","EXPL",2,7,"B","EXPL2_7B","D","00:07",7,1,"01:35",95,1,88,4.47733681447821,"00:26",19,2.94443897916644,""
"60",2110,"G28",14.9,45,1.36035954605104,1,"m","16-07-2020","14:29","14:39","EXPL",3,5,"C","EXPL3_5C","D","00:02",2,1,NA,2700,0,NA,NA,"00:38",36,3.58351893845611,""
"61",2156,"G29",16.7,60,1.28825500063017,1,"m","02-07-2020","16:25","16:35","EXPL",1,8,"E","EXPL1_8E","E","00:01",1,1,"00:13",13,1,12,2.484906649788,"00:56",55,4.00733318523247,""
"62",2156,"G29",16.7,61,1.30972591730734,1,"m","09-07-2020","10:43","10:53","EXPL",2,3,"B","EXPL2_3B","E","00:02",2,1,"00:07",7,1,5,1.6094379124341,"00:46",44,3.78418963391826,""
"63",2156,"G29",16.7,64,1.37413866733885,1,"m","16-07-2020","12:20","12:30","EXPL",3,3,"B","EXPL3_3B","E","00:06",6,1,"00:41",41,1,35,3.55534806148941,"00:52",46,3.8286413964891,""
