"","Mean","SD","2.5%","5%","25%","50%","75%","95%","97.5%","text"
"p.G13.P04",0.069,0.076,0,0.001,0.01,0.04,0.109,0.23,0.264,"6.9% [0%, 26.4%]"
"p.G14.P04",0.129,0.146,0.001,0.002,0.018,0.071,0.192,0.45,0.527,"12.9% [0.1%, 52.7%]"
"p.G15.P04",0.074,0.133,0,0.001,0.006,0.024,0.072,0.406,0.57,"7.4% [0%, 57%]"
"p.G16.P04",0.044,0.07,0,0,0.002,0.011,0.051,0.208,0.258,"4.4% [0%, 25.8%]"
"p.G17.P04",0.048,0.055,0,0.001,0.007,0.027,0.07,0.165,0.193,"4.8% [0%, 19.3%]"
"p.G18.P04",0.058,0.072,0,0,0.005,0.026,0.087,0.213,0.246,"5.8% [0%, 24.6%]"
"p.G19.P04",0.133,0.144,0.001,0.002,0.014,0.059,0.251,0.405,0.451,"13.3% [0.1%, 45.1%]"
"p.G20.P04",0.054,0.066,0,0,0.005,0.025,0.083,0.2,0.235,"5.4% [0%, 23.5%]"
"p.G21.P04",0.676,0.151,0.389,0.436,0.577,0.682,0.783,0.914,0.953,"67.6% [38.9%, 95.3%]"
"p.G22.P04",0.694,0.129,0.422,0.471,0.611,0.7,0.786,0.898,0.924,"69.4% [42.2%, 92.4%]"
"p.G23.P04",0.481,0.135,0.205,0.266,0.401,0.482,0.564,0.707,0.743,"48.1% [20.5%, 74.3%]"
"p.G24.P04",0.095,0.108,0.001,0.002,0.015,0.05,0.145,0.321,0.382,"9.5% [0.1%, 38.2%]"
"p.G25.P04",0.046,0.056,0,0.001,0.007,0.025,0.064,0.158,0.198,"4.6% [0%, 19.8%]"
"p.G26.P04",0.033,0.045,0,0,0.005,0.016,0.043,0.124,0.164,"3.3% [0%, 16.4%]"
"p.G27.P04",0.098,0.134,0.001,0.001,0.011,0.04,0.119,0.43,0.502,"9.8% [0.1%, 50.2%]"
"p.G28.P04",0.097,0.1,0.001,0.002,0.017,0.061,0.153,0.304,0.348,"9.7% [0.1%, 34.8%]"
"p.G29.P04",0.164,0.17,0.001,0.002,0.023,0.102,0.266,0.509,0.599,"16.4% [0.1%, 59.9%]"
"p.G30.P04",0.011,0.016,0,0,0.001,0.005,0.014,0.042,0.056,"1.1% [0%, 5.6%]"
"p.G31.P04",0.115,0.133,0.001,0.001,0.014,0.066,0.174,0.372,0.481,"11.5% [0.1%, 48.1%]"
"p.G32.P04",0.066,0.07,0.001,0.001,0.012,0.04,0.1,0.211,0.254,"6.6% [0.1%, 25.4%]"
"p.G33.P04",0.129,0.115,0.001,0.002,0.024,0.101,0.212,0.34,0.388,"12.9% [0.1%, 38.8%]"
"p.G35.P04",0.104,0.13,0,0.001,0.012,0.051,0.15,0.382,0.496,"10.4% [0%, 49.6%]"
"p.G36.P04",0.12,0.139,0.001,0.002,0.017,0.064,0.169,0.446,0.505,"12% [0.1%, 50.5%]"
"p.G37.P04",0.038,0.053,0,0,0.003,0.016,0.051,0.157,0.189,"3.8% [0%, 18.9%]"
"p.G38.P04",0.041,0.05,0,0.001,0.006,0.023,0.058,0.146,0.176,"4.1% [0%, 17.6%]"
"p.G39.P04",0.048,0.066,0,0,0.004,0.02,0.066,0.191,0.242,"4.8% [0%, 24.2%]"
"p.G40.P04",0.026,0.035,0,0,0.003,0.012,0.034,0.107,0.129,"2.6% [0%, 12.9%]"
"p.G41.P04",0.099,0.103,0,0.001,0.013,0.06,0.162,0.302,0.352,"9.9% [0%, 35.2%]"
"p.G42.P04",0.235,0.165,0.002,0.004,0.093,0.229,0.345,0.523,0.597,"23.5% [0.2%, 59.7%]"
"p.G43.P04",0.073,0.077,0.001,0.001,0.013,0.045,0.112,0.231,0.266,"7.3% [0.1%, 26.6%]"
"p.G44.P04",0.101,0.1,0.001,0.002,0.018,0.065,0.158,0.305,0.342,"10.1% [0.1%, 34.2%]"
"p.G45.P04",0.545,0.188,0.073,0.201,0.438,0.558,0.678,0.828,0.874,"54.5% [7.3%, 87.4%]"
"p.G46.P04",0.108,0.116,0.001,0.002,0.017,0.063,0.165,0.356,0.401,"10.8% [0.1%, 40.1%]"
"p.G47.P04",0.049,0.068,0,0.001,0.006,0.023,0.063,0.184,0.248,"4.9% [0%, 24.8%]"
"p.G48.P04",0.062,0.109,0,0,0.003,0.014,0.069,0.274,0.374,"6.2% [0%, 37.4%]"
"p.G49.P04",0.136,0.123,0.001,0.002,0.025,0.105,0.224,0.365,0.406,"13.6% [0.1%, 40.6%]"
"p.G50.P04",0.339,0.145,0.011,0.041,0.254,0.356,0.435,0.548,0.592,"33.9% [1.1%, 59.2%]"
"p.G51.P04",0.058,0.064,0,0.001,0.01,0.036,0.084,0.188,0.232,"5.8% [0%, 23.2%]"
"p.G52.P04",0.042,0.052,0,0.001,0.007,0.022,0.056,0.141,0.183,"4.2% [0%, 18.3%]"
"p.G53.P04",0.08,0.081,0.001,0.002,0.015,0.053,0.123,0.248,0.288,"8% [0.1%, 28.8%]"
"p.G54.P04",0.022,0.032,0,0,0.002,0.01,0.027,0.089,0.114,"2.2% [0%, 11.4%]"
"p.G55.P04",0.037,0.044,0,0.001,0.006,0.02,0.052,0.129,0.162,"3.7% [0%, 16.2%]"
"p.G01.P05",0.039,0.044,0,0,0.004,0.02,0.064,0.128,0.15,"3.9% [0%, 15%]"
