"","mergeID","PITID","FishID","TL","InfectionScore","Sex","TrialDay","TrialRound","TankID","Weight","avespeed_tot","avespeed_mob","aveacceler","dist","timefrozen_tot.ln","propmoving.exp","centretime.lnplus1","emergelat.bin.B","endpointlat.bin.B","PC1","PC2"
"1","G02_1",2182,"G02",14.2,1,"m","1","6","E",37,38.30709839,55.19351578,134.6135864,48767.42578,2.92852352386054,1.95028714971769,4.4224485491728,1,1,-0.520040765093935,0.379828148377447
"2","G02_2",2182,"G02",14.2,1,"m","2","3","E",39,28.46555901,48.07709122,106.6117859,38314.12891,5.33849915618087,1.71509989716964,3.82209829790016,1,1,-0.0153840878341825,0.687514003893857
"3","G02_3",2182,"G02",14.2,1,"m","3","3","E",38,22.48516083,44.55726624,95.28782654,30658.35547,5.84006009294875,1.57678333353855,4.20319896713418,1,1,0.183765976765941,0.817032132200757
"4","G04_1",2060,"G04",15.4,1,"m","1","5","E",52,47.70784378,73.29097748,166.8454437,59720.80859,5.08944647452055,1.87358485788583,2.56494935746154,0,0,-0.380409629147199,-0.985384427210295
"5","G04_2",2060,"G04",15.4,1,"m","2","3","E",52,39.67568207,58.80266571,135.9953156,50397.68359,4.5368913452348,1.90941403112127,2.72785282839839,0,0,-0.175093540138045,-0.72930638885098
"6","G04_3",2060,"G04",15.4,1,"m","3","2","E",52,34.72232819,52.92420578,134.7354431,45930.3125,4.60015764416455,1.86320855101207,2.68102152871429,0,0,-0.056148271068895,-0.606370793512966
"7","G05_1",2016,"G05",13.7,3,"f","1","5","E",35,27.89889336,68.00580597,91.5513916,35069.96484,5.92879095257992,1.46804494616172,3.67630067190708,1,1,0.0509220249137693,0.505008615824224
"8","G05_2",2016,"G05",13.7,3,"f","2","3","E",35,23.43832779,64.70928192,76.68884277,29405.24023,6.34405616560908,1.39896369546507,3.37073817417745,NA,NA,NA,NA
"9","G06_1",2153,"G06",13.2,1,"m","1","6","E",29,61.23959732,77.69376373,201.8768311,77516.76563,2.90690105984738,2.1634568933782,4.16821441078856,1,1,-1.18761290484193,-0.188159589116159
"10","G06_2",2153,"G06",13.2,1,"m","2","3","E",29,52.02302933,71.11708069,160.4956665,65426.58203,4.36944785246702,1.98167498081687,3.99452422693989,1,1,-0.752952112155522,0.0818027185868508
"11","G06_3",2153,"G06",13.2,1,"m","3","3","E",30,41.73993301,63.42619705,146.7123718,53501.11328,5.32252205524485,1.87605370392503,4.40182926197006,1,1,-0.446499737704782,0.317863075550732
"12","G07_1",2220,"G07",14.3,1,"m","1","5","E",35,35.05659103,55.09522629,137.5100403,45726.67578,3.85862222870103,1.83643605918284,3.23867845216438,0,0,-0.141420250502656,-0.671835788746089
"13","G07_2",2220,"G07",14.3,1,"m","2","4","E",36,34.46004486,55.12825394,131.2836914,44280.88672,5.03370056702725,1.81672853429065,3.7635229971097,1,1,-0.239564290387618,0.513836327116804
"14","G07_3",2220,"G07",14.3,1,"m","3","3","E",34,27.27675247,51.57026291,101.5214996,34994.01953,5.74588365067484,1.63980497650549,3.13549421592915,0,1,0.184662985506525,0.138667573568527
"15","G09_1",2026,"G09",10.9,2,"m","1","6","E",19,32.16679764,62.98014832,100.8072968,40663.9375,5.29129275161107,1.61988305116575,2.54160199346455,1,1,-0.058176946682256,0.510342637687071
"16","G09_2",2026,"G09",10.9,2,"m","2","3","E",20,32.56209564,53.12212753,127.380867,41928.85547,4.89185175810629,1.78468734495163,2.7408400239252,1,1,-0.157015090879937,0.579836972523035
"17","G09_3",2026,"G09",10.9,2,"m","3","2","E",18,29.98181343,48.86276627,115.8547668,38918.71875,4.74319148388547,1.77931273888941,3.8286413964891,1,1,-0.118387583856844,0.637677597165898
"18","G10_1",2217,"G10",13.6,2,"m","1","6","E",32,47.73799515,62.24736023,170.9520569,59690.48047,2.59525470695687,2.11385900418298,4.9177887437299,1,1,-0.863875762872993,0.143373933197144
"19","G10_2",2217,"G10",13.6,2,"m","2","4","E",32,46.47907257,63.44868851,166.0714722,58011.85938,4.68213122712422,2.04022837475565,5.04277974742282,1,1,-0.669580010357713,0.217134402157937
"20","G10_3",2217,"G10",13.6,2,"m","3","2","E",32,45.39306641,64.00636292,148.194931,56828.22656,4.76898827121749,1.9600284138508,4.0517849478033,1,1,-0.55335540154639,0.261532199766386
"21","G11_1",2233,"G11",13.5,2,"m","1","5","E",37,39.07988358,59.86493683,147.0727997,50045.89844,4.36691299686383,1.86820586904058,3.75185425327532,0,0,-0.234259244553389,-0.771494396004479
"22","G11_2",2233,"G11",13.5,2,"m","2","4","E",37,3.328862906,50.65876007,14.42383194,5028.974121,7.03359466382128,1.03303762446913,2.2082744135228,0,0,1.13642237958081,-0.0280775202704645
"23","G11_3",2233,"G11",13.5,2,"m","3","3","E",36,9.287032127,45.91150284,37.36274719,12601.42676,6.8060547241558,1.17327095713957,4.21064501791826,0,0,0.896779488618746,-0.106589829222913
"24","G12_1",2099,"G12",13.4,2,"m","1","5","E",30,36.90002823,76.80284119,127.0428085,46231.17969,5.45617545116362,1.57824272859982,3.22286784613774,0,0,-0.0616537814484523,-0.87580474058387
"25","G12_2",2099,"G12",13.4,2,"m","2","4","E",30,25.7948494,56.14007187,100.2844238,32937.01172,5.58499893866623,1.51808940528306,3.47815842279828,0,0,0.292200645117643,-0.488657279186217
"26","G12_3",2099,"G12",13.4,2,"m","3","2","E",32,20.3107338,58.79472351,74.04272461,26023.45117,6.45504131827336,1.36867130518354,3.23867845216438,0,0,0.532496430753681,-0.403626875163941
"27","G13_1",1286,"G13",13.8,3,"m","1","6","E",36,50.22652817,72.70973969,145.9354248,61992.20313,3.9740583963476,1.96269200336826,4.05004430332552,0,0,-0.524210158307051,-1.06082781647312
"28","G13_2",1286,"G13",13.8,3,"m","2","3","E",36,16.44581795,59.01539612,56.07644272,20930.35352,6.69431450312931,1.28677504226353,5.62582093318649,0,0,0.587811632394335,-0.39229861168941
"29","G13_3",1286,"G13",13.8,3,"m","3","3","E",35,5.159774303,38.52329636,20.14392662,7879.890625,6.90655455840562,1.08924555912001,2.23001440015921,0,1,1.04207786009011,0.668945111090955
"30","G14_1",2045,"G14",16.3,2,"m","1","6","E",58,31.05964088,58.23539734,113.2615356,40758.18359,5.43022243742798,1.63702102021517,3.30688670219091,0,0,0.126041767097142,-0.590690941792697
"31","G14_2",2045,"G14",16.3,2,"m","2","4","E",58,38.32255173,54.58703232,147.1784668,50824.63672,5.05433314936197,1.93580299133046,4.83628190695148,0,0,-0.211472202484052,-0.709571721237982
"32","G14_3",2045,"G14",16.3,2,"m","3","3","E",59,26.96879768,53.76424408,117.776535,36461.58984,6.18291101167894,1.58598461553734,3.63758615972639,0,0,0.256069492902897,-0.478860301623237
"33","G17_1",2028,"G17",14.9,2,"m","1","3","D",45,24.32190132,56.25775909,86.99931335,31179.76172,6.20071199323008,1.48817919364949,1.02961941718116,0,0,0.480987321908024,-0.390286844756627
"34","G17_2",2028,"G17",14.9,2,"m","2","6","D",45,28.66424561,60.24682999,114.620079,36002.04688,6.10813585391167,1.56149923058512,3.3357695763397,0,0,0.228690285007509,-0.557945664011016
"35","G17_3",2028,"G17",14.9,2,"m","3","2","D",46,25.08958817,58.87060547,89.81656647,32822.03516,5.97228172769121,1.47932691623255,4.02891675689965,0,0,0.326360110104956,-0.507700223471469
"36","G18_1",2216,"G18",13.3,1,"m","1","3","D",26,42.5052948,64.97161865,149.891861,53995.90234,4.25985900069967,1.84059619838705,3.54961738678043,1,1,-0.508038898775856,0.274765401072511
"37","G18_2",2216,"G18",13.3,1,"m","2","6","D",26,36.47373199,59.73711777,147.6784363,46678.23047,5.24755024949438,1.77979228023992,3.81109708683819,1,1,-0.30470823008939,0.433361684722996
"38","G18_3",2216,"G18",13.3,1,"m","3","1","D",27,33.80050659,64.06497192,117.9078598,42766.59375,5.70044357339069,1.62810827116735,3.76120011569356,1,0,-0.0462592418268513,-0.126517586238976
"39","G19_1",2019,"G19",13.4,3,"m","1","5","E",37,30.91571426,48.84003448,111.9288559,40521.02734,5.03043792139244,1.82119505275609,3.96271611974366,0,0,0.07596484008166,-0.509298480412298
"40","G19_2",2019,"G19",13.4,3,"m","2","3","E",38,27.70397568,42.40126419,106.3114548,36718.72266,4.8338981155962,1.85398914274144,3.23474917402449,1,0,0.0672510286114195,0.175819025751642
"41","G19_3",2019,"G19",13.4,3,"m","3","3","E",40,24.66138649,41.81721878,93.15203857,33201.15234,5.37620390520511,1.70832598861534,3.03974915897077,1,1,0.139206981793036,0.833475705641796
"42","G20_1",2213,"G20",13.8,2,"m","1","3","D",31,14.14190674,50.82613373,56.36860275,18499.81055,6.61230981591252,1.27680452535314,2.62466859216316,0,0,0.766562771946695,-0.206975756266865
"43","G20_2",2213,"G20",13.8,2,"m","2","5","D",30,2.634490252,53.66956711,12.34773922,3749.85376,7.05626148728136,1.02768488814344,1.91692261218206,NA,NA,NA,NA
"44","G21_1",2038,"G21",17.3,3,"m","1","3","D",70,51.64512253,66.32027435,183.0036011,65978.78125,3.50254987592244,2.11562078119725,4.36944785246702,1,1,-0.893160851786843,0.0809483954012023
"45","G22_1",2030,"G22",13.3,2,"f","1","3","D",31,24.21972847,54.62835693,86.71794128,30717.77148,3.75185425327532,1.50676083902439,4.04129534113228,0,0,0.20406344874614,-0.517097037185048
"46","G22_2",2030,"G22",13.3,2,"f","2","5","D",32,22.90641975,49.32164764,89.71540833,29633.74023,5.90889782345102,1.51499326741354,4.94662996412034,0,0,0.368130209549312,-0.389656529378121
"47","G22_3",2030,"G22",13.3,2,"f","3","1","D",32,4.256118298,20.82761955,25.62083626,7066.549805,6.8022836460399,1.07705500576094,5.45146754604171,0,0,1.12161539121838,0.235590995890701
"48","G24_1",2228,"G24",15.5,1,"m","1","4","D",46,19.96536446,46.75128937,80.5796814,26236.44141,5.83597964426759,1.46851398950201,4.75445188870385,1,1,0.261238904442167,0.824932217836383
"49","G24_2",2228,"G24",15.5,1,"m","2","6","D",48,29.34024429,54.95696259,122.3347092,38267.62891,5.33126846668772,1.65424037078761,3.61091791264422,1,1,-0.0694913726060863,0.595130922369122
"50","G24_3",2228,"G24",15.5,1,"m","3","1","D",51,24.03099823,54.25101852,90.10153961,32713.41992,6.18229149694565,1.46990773865316,5.54087131138207,1,1,0.127995459102548,0.672636059286905
"51","G25_1",2122,"G25",13.7,1,"m","1","5","D",29,27.28488731,46.17334747,122.3486099,36484.07422,4.55071400019203,1.73426339490746,2.47653840011748,1,1,-0.0364909388741722,0.71547527287348
"52","G25_2",2122,"G25",13.7,1,"m","2","6","D",29,32.20535278,48.32897568,147.3959351,42278.37109,4.60316818331742,1.87881952239151,3.58905911883173,1,1,-0.252437440745119,0.592540210857372
"53","G25_3",2122,"G25",13.7,1,"m","3","1","D",28,27.40758324,48.52625656,118.018959,36171.94141,5.6436785505865,1.69789411281391,1.3609765531356,1,1,0.0906798951740753,0.753319243194896
"54","G26_1",2147,"G26",13,3,"f","1","4","D",31,37.62119675,55.492733,135.9152527,47772.97656,4.49200148788245,1.92221472909261,3.83297979808769,1,1,-0.369854329097251,0.450172131345748
