"","X","PITID","FishID","TL","InfectionScore","Sex","Date","TimeLoaded","TimeInitiated","TrialType","TrialDay","TrialRound","ArenaID","TankID","emergetime","emergelat","endpointtime","endpointlat","endpointspeed","refugereturntime","refugereturnlat","Notes","UniqueID","emergelat.bin.A","emergelat.bin.B","endpointlat.bin.A","endpointlat.bin.B","endpointspeed.ln","refugereturnlat.ln","Weight"
"29",48,2045,"G14",16.3,2,"m","02-07-2020","17:27","17:37","EXPL","1","9","C","E",NA,2700,NA,2700,NA,NA,NA,"","EXPL1_9C",0,0,0,0,NA,NA,58
"30",50,2045,"G14",16.3,2,"m","09-07-2020","08:34","08:44","EXPL","2","1","B","E",NA,2700,NA,2700,NA,NA,NA,"","EXPL2_1B",0,0,0,0,NA,NA,58
"31",49,2045,"G14",16.3,2,"m","16-07-2020","10:11","10:21","EXPL","3","1","E","E",NA,2700,NA,2700,NA,NA,NA,"","EXPL3_1E",0,0,0,0,NA,NA,59
"32",35,2028,"G17",14.9,2,"m","02-07-2020","08:42","08:52","EXPL","1","1","E","D",NA,2700,NA,2700,NA,NA,NA,"","EXPL1_1E",0,0,0,0,NA,NA,45
"33",33,2028,"G17",14.9,2,"m","09-07-2020","16:02","16:12","EXPL","2","8","A","D","14:20",860,NA,2700,NA,"14:31",11,"","EXPL2_8A",1,0,0,0,NA,2.39789527279837,45
"34",34,2028,"G17",14.9,2,"m","16-07-2020","14:29","14:39","EXPL","3","5","A","D",NA,2700,NA,2700,NA,NA,NA,"","EXPL3_5A",0,0,0,0,NA,NA,46
"35",104,2216,"G18",13.3,1,"m","02-07-2020","09:58","10:08","EXPL","1","2","D","D","00:05",5,"00:18",18,13,"02:42",157,"","EXPL1_2D",1,1,1,1,2.56494935746154,5.05624580534831,26
"36",102,2216,"G18",13.3,1,"m","09-07-2020","13:56","14:06","EXPL","2","6","D","D","00:13",13,"00:26",26,13,"00:36",23,"","EXPL2_6D",1,1,1,1,2.56494935746154,3.13549421592915,26
"37",103,2216,"G18",13.3,1,"m","16-07-2020","13:25","13:35","EXPL","3","4","C","D","00:16",16,"03:53",233,217,"01:42",86,"","EXPL3_4C",1,1,1,0,5.37989735354046,4.45434729625351,27
"38",23,2019,"G19",13.4,3,"m","02-07-2020","16:25","16:35","EXPL","1","8","C","E","01:10",70,"13:30",810,740,"02:20",70,"","EXPL1_8C",1,0,1,0,6.60665018619822,4.24849524204936,37
"39",22,2019,"G19",13.4,3,"m","09-07-2020","09:38","09:48","EXPL","2","2","A","E","00:25",25,"03:22",202,177,"01:37",72,"","EXPL2_2A",1,1,1,0,5.17614973257383,4.27666611901606,38
"40",21,2019,"G19",13.4,3,"m","16-07-2020","11:15","11:25","EXPL","3","2","D","E","00:27",27,"00:47",47,20,"01:26",59,"","EXPL3_2D",1,1,1,1,2.99573227355399,4.07753744390572,40
"41",101,2213,"G20",13.8,2,"m","02-07-2020","12:13","12:23","EXPL","1","4","B","D",NA,2700,NA,2700,NA,NA,NA,"","EXPL1_4B",0,0,0,0,NA,NA,31
"42",41,2038,"G21",17.3,3,"m","02-07-2020","11:07","11:17","EXPL","1","3","D","D","00:35",35,"01:01",61,26,"01:32",57,"","EXPL1_3D",1,1,1,1,3.25809653802148,4.04305126783455,70
"43",37,2030,"G22",13.3,2,"f","02-07-2020","11:07","11:17","EXPL","1","3","B","D",NA,2700,NA,2700,NA,NA,NA,"","EXPL1_3B",0,0,0,0,NA,NA,31
"44",36,2030,"G22",13.3,2,"f","09-07-2020","13:56","14:06","EXPL","2","6","B","D",NA,2700,NA,2700,NA,NA,NA,"","EXPL2_6B",0,0,0,0,NA,NA,32
"45",38,2030,"G22",13.3,2,"f","16-07-2020","12:20","12:30","EXPL","3","3","E","D",NA,2700,NA,2700,NA,NA,NA,"","EXPL3_3E",0,0,0,0,NA,NA,32
"46",112,2228,"G24",15.5,1,"m","02-07-2020","11:07","11:17","EXPL","1","3","E","D","00:12",12,"00:26",26,14,"00:41",29,"","EXPL1_3E",1,1,1,1,2.63905732961526,3.36729582998647,46
