"","Mean","SD","2.5%","5%","25%","50%","75%","95%","97.5%","text"
"p.G36.P02",0.056,0.074,0,0,0.004,0.022,0.083,0.22,0.265,"5.6% [0%, 26.5%]"
"p.G37.P02",0.033,0.051,0,0,0.001,0.01,0.044,0.143,0.179,"3.3% [0%, 17.9%]"
"p.G38.P02",0.222,0.254,0,0,0.008,0.117,0.378,0.741,0.803,"22.2% [0%, 80.3%]"
"p.G39.P02",0.04,0.061,0,0,0.001,0.012,0.054,0.173,0.22,"4% [0%, 22%]"
"p.G40.P02",0.214,0.286,0,0,0.003,0.051,0.337,0.849,0.903,"21.4% [0%, 90.3%]"
"p.G41.P02",0.469,0.317,0,0,0.092,0.583,0.731,0.868,0.902,"46.9% [0%, 90.2%]"
"p.G42.P02",0.106,0.118,0,0,0.008,0.055,0.184,0.34,0.379,"10.6% [0%, 37.9%]"
"p.G43.P02",0.213,0.227,0,0,0.011,0.119,0.382,0.649,0.711,"21.3% [0%, 71.1%]"
"p.G44.P02",0.104,0.134,0,0,0.006,0.045,0.159,0.392,0.483,"10.4% [0%, 48.3%]"
"p.G45.P02",0.185,0.215,0,0,0.008,0.083,0.332,0.607,0.653,"18.5% [0%, 65.3%]"
"p.G46.P02",0.069,0.096,0,0,0.004,0.024,0.101,0.282,0.334,"6.9% [0%, 33.4%]"
"p.G47.P02",0.031,0.047,0,0,0.002,0.011,0.04,0.132,0.169,"3.1% [0%, 16.9%]"
"p.G48.P02",0.854,0.209,0.002,0.404,0.836,0.919,0.968,0.994,0.997,"85.4% [0.2%, 99.7%]"
"p.G49.P02",0.326,0.239,0,0.001,0.069,0.349,0.53,0.685,0.737,"32.6% [0%, 73.7%]"
"p.G50.P02",0.513,0.272,0,0.002,0.353,0.59,0.717,0.85,0.892,"51.3% [0%, 89.2%]"
"p.G51.P02",0.153,0.194,0,0,0.005,0.049,0.263,0.56,0.618,"15.3% [0%, 61.8%]"
"p.G52.P02",0.123,0.193,0,0,0.003,0.024,0.149,0.581,0.649,"12.3% [0%, 64.9%]"
"p.G53.P02",0.096,0.127,0,0,0.005,0.036,0.141,0.389,0.452,"9.6% [0%, 45.2%]"
"p.G54.P02",0.023,0.04,0,0,0.001,0.006,0.028,0.109,0.148,"2.3% [0%, 14.8%]"
"p.G55.P02",0.136,0.207,0,0,0.003,0.026,0.178,0.624,0.698,"13.6% [0%, 69.8%]"
"p.G01.P03",0.084,0.153,0,0,0.001,0.01,0.099,0.4,0.53,"8.4% [0%, 53%]"
"p.G02.P03",0.06,0.097,0,0,0.001,0.014,0.073,0.274,0.341,"6% [0%, 34.1%]"
"p.G03.P03",0.054,0.099,0,0,0.001,0.01,0.052,0.288,0.368,"5.4% [0%, 36.8%]"
"p.G04.P03",0.056,0.114,0,0,0.001,0.009,0.049,0.313,0.422,"5.6% [0%, 42.2%]"
"p.G05.P03",0.017,0.031,0,0,0,0.004,0.018,0.081,0.111,"1.7% [0%, 11.1%]"
"p.G06.P03",0.09,0.165,0,0,0.001,0.01,0.1,0.435,0.634,"9% [0%, 63.4%]"
"p.G07.P03",0.031,0.082,0,0,0,0.003,0.021,0.152,0.279,"3.1% [0%, 27.9%]"
"p.G08.P03",0.018,0.039,0,0,0,0.003,0.018,0.09,0.131,"1.8% [0%, 13.1%]"
"p.G09.P03",0.192,0.231,0,0,0.002,0.061,0.369,0.64,0.705,"19.2% [0%, 70.5%]"
"p.G10.P03",0.037,0.074,0,0,0.001,0.006,0.034,0.196,0.285,"3.7% [0%, 28.5%]"
"p.G11.P03",0.143,0.197,0,0,0.001,0.027,0.259,0.546,0.623,"14.3% [0%, 62.3%]"
"p.G12.P03",0.068,0.118,0,0,0.001,0.009,0.072,0.35,0.428,"6.8% [0%, 42.8%]"
"p.G13.P03",0.041,0.075,0,0,0.001,0.008,0.045,0.193,0.264,"4.1% [0%, 26.4%]"
"p.G14.P03",0.092,0.125,0,0,0.002,0.028,0.143,0.367,0.425,"9.2% [0%, 42.5%]"
"p.G15.P03",0.042,0.082,0,0,0.001,0.006,0.038,0.229,0.313,"4.2% [0%, 31.3%]"
"p.G16.P03",0.008,0.017,0,0,0,0.001,0.008,0.039,0.06,"0.8% [0%, 6%]"
"p.G17.P03",0.061,0.106,0,0,0.001,0.011,0.071,0.292,0.355,"6.1% [0%, 35.5%]"
"p.G18.P03",0.031,0.056,0,0,0.001,0.006,0.034,0.158,0.207,"3.1% [0%, 20.7%]"
"p.G19.P03",0.07,0.151,0,0,0.001,0.007,0.046,0.498,0.593,"7% [0%, 59.3%]"
"p.G20.P03",0.023,0.047,0,0,0.001,0.004,0.023,0.114,0.175,"2.3% [0%, 17.5%]"
"p.G21.P03",0.019,0.035,0,0,0.001,0.005,0.021,0.087,0.125,"1.9% [0%, 12.5%]"
"p.G22.P03",0.022,0.038,0,0,0.001,0.005,0.025,0.11,0.146,"2.2% [0%, 14.6%]"
"p.G23.P03",0.022,0.037,0,0,0.001,0.007,0.028,0.094,0.124,"2.2% [0%, 12.4%]"
"p.G24.P03",0.214,0.247,0,0,0.003,0.082,0.422,0.681,0.74,"21.4% [0%, 74%]"
"p.G25.P03",0.168,0.18,0,0,0.005,0.106,0.298,0.507,0.582,"16.8% [0%, 58.2%]"
"p.G26.P03",0.554,0.391,0,0,0.028,0.738,0.891,0.98,0.991,"55.4% [0%, 99.1%]"
"p.G27.P03",0.116,0.158,0,0,0.002,0.031,0.191,0.46,0.516,"11.6% [0%, 51.6%]"
"p.G28.P03",0.243,0.246,0,0,0.011,0.162,0.439,0.697,0.764,"24.3% [0%, 76.4%]"
"p.G29.P03",0.055,0.083,0,0,0.002,0.015,0.076,0.242,0.3,"5.5% [0%, 30%]"
"p.G30.P03",0.035,0.117,0,0,0,0.002,0.012,0.202,0.416,"3.5% [0%, 41.6%]"
"p.G31.P03",0.038,0.063,0,0,0.001,0.009,0.048,0.172,0.225,"3.8% [0%, 22.5%]"
"p.G32.P03",0.321,0.235,0,0,0.057,0.355,0.513,0.664,0.716,"32.1% [0%, 71.6%]"
"p.G33.P03",0.05,0.078,0,0,0.001,0.014,0.066,0.214,0.279,"5% [0%, 27.9%]"
"p.G35.P03",0.055,0.083,0,0,0.002,0.015,0.074,0.241,0.295,"5.5% [0%, 29.5%]"
"p.G36.P03",0.111,0.137,0,0,0.003,0.043,0.201,0.391,0.448,"11.1% [0%, 44.8%]"
"p.G37.P03",0.036,0.063,0,0,0.001,0.007,0.041,0.177,0.224,"3.6% [0%, 22.4%]"
"p.G38.P03",0.053,0.101,0,0,0.001,0.009,0.057,0.259,0.348,"5.3% [0%, 34.8%]"
"p.G39.P03",0.036,0.065,0,0,0.001,0.007,0.04,0.184,0.246,"3.6% [0%, 24.6%]"
"p.G40.P03",0.037,0.096,0,0,0,0.004,0.026,0.184,0.326,"3.7% [0%, 32.6%]"
"p.G41.P03",0.038,0.067,0,0,0.001,0.008,0.044,0.182,0.232,"3.8% [0%, 23.2%]"
"p.G42.P03",0.032,0.052,0,0,0.001,0.009,0.039,0.144,0.183,"3.2% [0%, 18.3%]"
"p.G43.P03",0.091,0.128,0,0,0.002,0.027,0.145,0.353,0.43,"9.1% [0%, 43%]"
"p.G44.P03",0.224,0.23,0,0,0.007,0.145,0.414,0.636,0.701,"22.4% [0%, 70.1%]"
"p.G45.P03",0.037,0.058,0,0,0.001,0.01,0.047,0.166,0.206,"3.7% [0%, 20.6%]"
"p.G46.P03",0.17,0.214,0,0,0.005,0.062,0.282,0.629,0.698,"17% [0%, 69.8%]"
"p.G47.P03",0.053,0.091,0,0,0.001,0.011,0.062,0.258,0.335,"5.3% [0%, 33.5%]"
"p.G48.P03",0.01,0.02,0,0,0,0.002,0.009,0.046,0.068,"1% [0%, 6.8%]"
"p.G49.P03",0.056,0.084,0,0,0.002,0.016,0.077,0.239,0.304,"5.6% [0%, 30.4%]"
"p.G50.P03",0.025,0.043,0,0,0.001,0.006,0.028,0.112,0.154,"2.5% [0%, 15.4%]"
