"","Mean","SD","2.5%","5%","25%","50%","75%","95%","97.5%","text"
"p.G42.P05",0.017,0.032,0,0,0.001,0.004,0.016,0.084,0.125,"1.7% [0%, 12.5%]"
"p.G43.P05",0.019,0.03,0,0,0.001,0.005,0.023,0.087,0.107,"1.9% [0%, 10.7%]"
"p.G44.P05",0.048,0.068,0,0,0.001,0.011,0.074,0.203,0.239,"4.8% [0%, 23.9%]"
"p.G45.P05",0.013,0.022,0,0,0.001,0.004,0.015,0.064,0.081,"1.3% [0%, 8.1%]"
"p.G46.P05",0.157,0.115,0,0,0.042,0.162,0.249,0.344,0.368,"15.7% [0%, 36.8%]"
"p.G47.P05",0.145,0.081,0,0.001,0.095,0.153,0.196,0.268,0.298,"14.5% [0%, 29.8%]"
"p.G48.P05",0.004,0.008,0,0,0,0.001,0.004,0.018,0.028,"0.4% [0%, 2.8%]"
"p.G49.P05",0.016,0.025,0,0,0.001,0.005,0.02,0.068,0.093,"1.6% [0%, 9.3%]"
"p.G50.P05",0.009,0.016,0,0,0,0.003,0.011,0.042,0.056,"0.9% [0%, 5.6%]"
"p.G51.P05",0.027,0.041,0,0,0.001,0.007,0.035,0.118,0.145,"2.7% [0%, 14.5%]"
"p.G52.P05",0.021,0.032,0,0,0.001,0.005,0.026,0.091,0.117,"2.1% [0%, 11.7%]"
"p.G53.P05",0.128,0.115,0,0,0.007,0.112,0.23,0.322,0.346,"12.8% [0%, 34.6%]"
"p.G54.P05",0.036,0.052,0,0,0.001,0.008,0.057,0.147,0.172,"3.6% [0%, 17.2%]"
"p.G55.P05",0.017,0.029,0,0,0,0.004,0.02,0.08,0.105,"1.7% [0%, 10.5%]"
"p.G01.P06",0.273,0.381,0,0,0.003,0.018,0.707,0.952,0.985,"27.3% [0%, 98.5%]"
"p.G02.P06",0.197,0.266,0,0,0.011,0.062,0.257,0.758,0.817,"19.7% [0%, 81.7%]"
"p.G03.P06",0.192,0.212,0,0.001,0.02,0.117,0.269,0.641,0.693,"19.2% [0%, 69.3%]"
"p.G04.P06",0.232,0.288,0,0,0.014,0.084,0.476,0.8,0.862,"23.2% [0%, 86.2%]"
"p.G05.P06",0.046,0.075,0,0,0.002,0.013,0.053,0.223,0.272,"4.6% [0%, 27.2%]"
"p.G06.P06",0.266,0.37,0,0,0.003,0.022,0.69,0.934,0.97,"26.6% [0%, 97%]"
"p.G07.P06",0.265,0.384,0,0,0.002,0.016,0.702,0.972,0.987,"26.5% [0%, 98.7%]"
"p.G08.P06",0.419,0.317,0,0,0.016,0.513,0.666,0.882,0.94,"41.9% [0%, 94%]"
"p.G09.P06",0.075,0.104,0,0,0.004,0.025,0.105,0.312,0.367,"7.5% [0%, 36.7%]"
"p.G10.P06",0.366,0.299,0,0,0.011,0.441,0.622,0.786,0.831,"36.6% [0%, 83.1%]"
"p.G11.P06",0.08,0.116,0,0,0.003,0.025,0.109,0.348,0.418,"8% [0%, 41.8%]"
"p.G12.P06",0.143,0.202,0,0,0.003,0.034,0.223,0.588,0.656,"14.3% [0%, 65.6%]"
"p.G13.P06",0.158,0.26,0,0,0.005,0.03,0.123,0.763,0.855,"15.8% [0%, 85.5%]"
"p.G14.P06",0.142,0.144,0,0,0.014,0.093,0.236,0.422,0.481,"14.2% [0%, 48.1%]"
"p.G15.P06",0.167,0.202,0,0,0.006,0.063,0.293,0.597,0.648,"16.7% [0%, 64.8%]"
"p.G16.P06",0.051,0.171,0,0,0.001,0.004,0.019,0.238,0.849,"5.1% [0%, 84.9%]"
"p.G17.P06",0.227,0.322,0,0,0.006,0.037,0.493,0.871,0.935,"22.7% [0%, 93.5%]"
"p.G18.P06",0.417,0.327,0,0,0.021,0.483,0.684,0.913,0.962,"41.7% [0%, 96.2%]"
"p.G19.P06",0.085,0.124,0,0,0.004,0.022,0.116,0.354,0.43,"8.5% [0%, 43%]"
"p.G20.P06",0.128,0.233,0,0,0.002,0.013,0.085,0.695,0.852,"12.8% [0%, 85.2%]"
"p.G21.P06",0.118,0.151,0,0,0.005,0.044,0.193,0.443,0.497,"11.8% [0%, 49.7%]"
"p.G22.P06",0.085,0.118,0,0,0.004,0.028,0.127,0.355,0.42,"8.5% [0%, 42%]"
"p.G23.P06",0.213,0.182,0,0.001,0.02,0.212,0.362,0.514,0.558,"21.3% [0%, 55.8%]"
"p.G24.P06",0.068,0.094,0,0,0.005,0.026,0.096,0.279,0.337,"6.8% [0%, 33.7%]"
"p.G25.P06",0.191,0.264,0,0,0.007,0.037,0.403,0.726,0.806,"19.1% [0%, 80.6%]"
"p.G26.P06",0.05,0.1,0,0,0.002,0.011,0.05,0.221,0.43,"5% [0%, 43%]"
"p.G27.P06",0.128,0.155,0,0,0.005,0.052,0.223,0.442,0.5,"12.8% [0%, 50%]"
"p.G28.P06",0.085,0.096,0,0,0.009,0.05,0.132,0.285,0.34,"8.5% [0%, 34%]"
"p.G29.P06",0.215,0.179,0,0.001,0.039,0.194,0.346,0.543,0.581,"21.5% [0%, 58.1%]"
"p.G30.P06",0.311,0.437,0,0,0.001,0.007,0.9,0.993,0.997,"31.1% [0%, 99.7%]"
"p.G31.P06",0.304,0.242,0,0.001,0.069,0.28,0.505,0.707,0.757,"30.4% [0%, 75.7%]"
"p.G32.P06",0.114,0.159,0,0,0.007,0.037,0.157,0.475,0.57,"11.4% [0%, 57%]"
"p.G33.P06",0.141,0.203,0,0,0.009,0.049,0.155,0.618,0.694,"14.1% [0%, 69.4%]"
"p.G35.P06",0.256,0.22,0,0.001,0.042,0.215,0.437,0.653,0.699,"25.6% [0%, 69.9%]"
"p.G36.P06",0.154,0.155,0,0,0.015,0.103,0.266,0.451,0.498,"15.4% [0%, 49.8%]"
"p.G37.P06",0.417,0.332,0,0,0.016,0.487,0.689,0.919,0.965,"41.7% [0%, 96.5%]"
"p.G38.P06",0.236,0.334,0,0,0.005,0.029,0.547,0.899,0.955,"23.6% [0%, 95.5%]"
"p.G39.P06",0.401,0.329,0,0,0.021,0.465,0.671,0.911,0.96,"40.1% [0%, 96%]"
"p.G40.P06",0.272,0.388,0,0,0.002,0.016,0.717,0.973,0.99,"27.2% [0%, 99%]"
"p.G41.P06",0.145,0.235,0,0,0.005,0.035,0.126,0.709,0.778,"14.5% [0%, 77.8%]"
"p.G42.P06",0.285,0.227,0,0.001,0.049,0.281,0.475,0.655,0.703,"28.5% [0%, 70.3%]"
"p.G43.P06",0.195,0.259,0,0,0.011,0.063,0.32,0.738,0.82,"19.5% [0%, 82%]"
"p.G44.P06",0.094,0.114,0,0,0.008,0.046,0.147,0.325,0.4,"9.4% [0%, 40%]"
"p.G45.P06",0.098,0.112,0,0,0.008,0.05,0.161,0.329,0.383,"9.8% [0%, 38.3%]"
"p.G46.P06",0.101,0.106,0,0,0.01,0.064,0.169,0.311,0.346,"10.1% [0%, 34.6%]"
"p.G47.P06",0.313,0.269,0,0,0.015,0.357,0.538,0.734,0.779,"31.3% [0%, 77.9%]"
"p.G48.P06",0.058,0.178,0,0,0.001,0.006,0.027,0.277,0.876,"5.8% [0%, 87.6%]"
"p.G49.P06",0.153,0.192,0,0.001,0.013,0.071,0.201,0.589,0.648,"15.3% [0%, 64.8%]"
"p.G50.P06",0.102,0.141,0,0,0.007,0.043,0.135,0.453,0.525,"10.2% [0%, 52.5%]"
"p.G51.P06",0.187,0.255,0,0,0.008,0.043,0.368,0.721,0.78,"18.7% [0%, 78%]"
"p.G52.P06",0.224,0.306,0,0,0.006,0.035,0.513,0.818,0.877,"22.4% [0%, 87.7%]"
"p.G53.P06",0.083,0.102,0,0,0.009,0.044,0.121,0.296,0.382,"8.3% [0%, 38.2%]"
"p.G54.P06",0.432,0.349,0,0,0.009,0.52,0.728,0.948,0.981,"43.2% [0%, 98.1%]"
"p.G55.P06",0.233,0.326,0,0,0.005,0.031,0.558,0.869,0.935,"23.3% [0%, 93.5%]"
"p.G01.P07",0.493,0.43,0,0,0.014,0.701,0.918,0.99,0.996,"49.3% [0%, 99.6%]"
"p.G02.P07",0.334,0.315,0,0.001,0.025,0.222,0.637,0.861,0.907,"33.4% [0%, 90.7%]"
"p.G03.P07",0.3,0.281,0,0.001,0.019,0.22,0.567,0.748,0.785,"30% [0%, 78.5%]"
"p.G04.P07",0.43,0.346,0,0.001,0.033,0.5,0.747,0.906,0.951,"43% [0%, 95.1%]"
"p.G05.P07",0.041,0.064,0,0,0.002,0.013,0.051,0.183,0.232,"4.1% [0%, 23.2%]"
"p.G06.P07",0.495,0.42,0,0,0.014,0.718,0.899,0.987,0.994,"49.5% [0%, 99.4%]"
"p.G07.P07",0.398,0.403,0,0,0.006,0.182,0.83,0.985,0.994,"39.8% [0%, 99.4%]"
"p.G08.P07",0.043,0.072,0,0,0.002,0.011,0.046,0.205,0.261,"4.3% [0%, 26.1%]"
"p.G09.P07",0.244,0.319,0,0,0.012,0.075,0.404,0.938,0.974,"24.4% [0%, 97.4%]"
"p.G10.P07",0.035,0.057,0,0,0.003,0.013,0.043,0.148,0.195,"3.5% [0%, 19.5%]"
"p.G11.P07",0.248,0.322,0,0,0.012,0.07,0.424,0.933,0.974,"24.8% [0%, 97.4%]"
"p.G12.P07",0.171,0.282,0,0,0.005,0.029,0.174,0.919,0.974,"17.1% [0%, 97.4%]"
"p.G13.P07",0.25,0.292,0,0,0.011,0.092,0.481,0.828,0.905,"25% [0%, 90.5%]"
"p.G14.P07",0.187,0.222,0,0.001,0.02,0.098,0.276,0.693,0.832,"18.7% [0%, 83.2%]"
"p.G15.P07",0.193,0.262,0,0,0.009,0.062,0.293,0.821,0.941,"19.3% [0%, 94.1%]"
"p.G16.P07",0.027,0.064,0,0,0.001,0.005,0.023,0.133,0.193,"2.7% [0%, 19.3%]"
"p.G17.P07",0.398,0.36,0,0.001,0.025,0.308,0.757,0.946,0.971,"39.8% [0%, 97.1%]"
"p.G18.P07",0.051,0.073,0,0,0.003,0.018,0.07,0.206,0.261,"5.1% [0%, 26.1%]"
"p.G19.P07",0.393,0.309,0,0.002,0.064,0.387,0.659,0.896,0.947,"39.3% [0%, 94.7%]"
"p.G20.P07",0.163,0.209,0,0,0.005,0.045,0.306,0.562,0.642,"16.3% [0%, 64.2%]"
"p.G21.P07",0.03,0.051,0,0,0.002,0.011,0.036,0.126,0.171,"3% [0%, 17.1%]"
"p.G22.P07",0.04,0.061,0,0,0.003,0.016,0.051,0.161,0.213,"4% [0%, 21.3%]"
"p.G23.P07",0.046,0.067,0,0,0.004,0.019,0.061,0.179,0.243,"4.6% [0%, 24.3%]"
"p.G24.P07",0.26,0.311,0,0.001,0.017,0.112,0.437,0.925,0.966,"26% [0%, 96.6%]"
"p.G25.P07",0.401,0.322,0,0.001,0.043,0.415,0.692,0.89,0.941,"40.1% [0%, 94.1%]"
"p.G26.P07",0.185,0.316,0,0,0.003,0.018,0.125,0.937,0.971,"18.5% [0%, 97.1%]"
"p.G27.P07",0.167,0.248,0,0,0.009,0.047,0.208,0.786,0.924,"16.7% [0%, 92.4%]"
"p.G28.P07",0.194,0.245,0,0.001,0.019,0.091,0.273,0.812,0.926,"19.4% [0%, 92.6%]"
"p.G29.P07",0.147,0.16,0,0.001,0.014,0.082,0.247,0.459,0.526,"14.7% [0%, 52.6%]"
"p.G30.P07",0.492,0.468,0,0,0.003,0.731,0.971,0.997,0.999,"49.2% [0%, 99.9%]"
"p.G31.P07",0.104,0.128,0,0,0.008,0.046,0.165,0.369,0.423,"10.4% [0%, 42.3%]"
"p.G32.P07",0.262,0.226,0,0.001,0.04,0.237,0.427,0.668,0.731,"26.2% [0%, 73.1%]"
"p.G33.P07",0.21,0.23,0,0,0.015,0.112,0.364,0.67,0.727,"21% [0%, 72.7%]"
"p.G35.P07",0.118,0.143,0,0,0.01,0.055,0.187,0.399,0.472,"11.8% [0%, 47.2%]"
"p.G36.P07",0.154,0.201,0,0.001,0.013,0.071,0.215,0.597,0.768,"15.4% [0%, 76.8%]"
"p.G37.P07",0.048,0.072,0,0,0.002,0.016,0.064,0.205,0.254,"4.8% [0%, 25.4%]"
"p.G38.P07",0.404,0.37,0,0,0.02,0.328,0.77,0.965,0.985,"40.4% [0%, 98.5%]"
"p.G39.P07",0.058,0.086,0,0,0.003,0.02,0.08,0.242,0.301,"5.8% [0%, 30.1%]"
"p.G40.P07",0.427,0.411,0,0,0.009,0.354,0.868,0.989,0.995,"42.7% [0%, 99.5%]"
"p.G41.P07",0.188,0.252,0,0,0.008,0.05,0.299,0.724,0.806,"18.8% [0%, 80.6%]"
"p.G42.P07",0.085,0.109,0,0,0.007,0.038,0.123,0.327,0.393,"8.5% [0%, 39.3%]"
"p.G43.P07",0.355,0.307,0,0.001,0.046,0.298,0.642,0.855,0.897,"35.5% [0%, 89.7%]"
"p.G44.P07",0.277,0.252,0,0.002,0.046,0.227,0.441,0.772,0.878,"27.7% [0%, 87.8%]"
"p.G45.P07",0.081,0.101,0,0,0.007,0.037,0.122,0.299,0.355,"8.1% [0%, 35.5%]"
"p.G46.P07",0.163,0.227,0,0.001,0.013,0.07,0.206,0.73,0.908,"16.3% [0%, 90.8%]"
"p.G47.P07",0.05,0.077,0,0,0.004,0.02,0.064,0.193,0.258,"5% [0%, 25.8%]"
"p.G48.P07",0.031,0.071,0,0,0.001,0.007,0.028,0.144,0.206,"3.1% [0%, 20.6%]"
"p.G49.P07",0.219,0.22,0,0.001,0.023,0.146,0.376,0.641,0.703,"21.9% [0%, 70.3%]"
"p.G50.P07",0.085,0.13,0,0,0.005,0.027,0.102,0.408,0.484,"8.5% [0%, 48.4%]"
"p.G51.P07",0.375,0.308,0,0.001,0.048,0.36,0.659,0.856,0.908,"37.5% [0%, 90.8%]"
"p.G52.P07",0.435,0.354,0,0.001,0.047,0.444,0.773,0.938,0.97,"43.5% [0%, 97%]"
"p.G53.P07",0.192,0.213,0,0.001,0.021,0.119,0.301,0.638,0.802,"19.2% [0%, 80.2%]"
"p.G54.P07",0.037,0.061,0,0,0.002,0.012,0.046,0.164,0.215,"3.7% [0%, 21.5%]"
"p.G55.P07",0.446,0.375,0,0.001,0.034,0.469,0.818,0.963,0.984,"44.6% [0%, 98.4%]"
