"","FishID","PITID","Treatment","Sex","TL","SL","Weight","ConditionFactor","InfectionScore","Date","TimeLoaded","TrialType","TrialDay","TrialRound","ArenaID","UniqueID","TankID","TankID.combo","avespeed_tot","avespeed_mob","propmoving","dist","timefrozen_tot","centretime50","centretime75","centretime100","centrescore","Notes"
"83","K31","1371","PIT+clip","F",13.9,11.8,41,1.52664990827068,3,"12-11-2020","10:45","ACT","Day 2",2,"B","ACT5_2B","E_2","E",0.63,5.38,0,980,1200,0,0,0,1,""
"84","K31","1371","PIT+clip","F",13.9,11.8,41,1.52664990827068,3,"10-11-2020","14:45","ACT","Day 0",4,"G","ACT4_4G","E_2","E",1.34,34.31,0.02,1870,1181,1.6,0,0,1.01594444444444,""
"85","K32","1421","PITtagged","M",14.4,12.2,57,1.90891846707819,2,"10-11-2020","14:45","ACT","Day 0",4,"H","ACT4_4H","E_2","E",23.33,48.02,0.47,29145,631,283.066666666667,96.6666666666667,33.8333333333333,2.15988888888889,""
"86","K32","1421","PITtagged","M",14.4,12.2,57,1.90891846707819,2,"12-11-2020","10:45","ACT","Day 2",2,"C","ACT5_2C","E_2","E",23.92,50.82,0.46,29909,656,192.866666666667,64.9666666666667,25.2666666666667,2.09242786456886,""
"87","K32","1421","PITtagged","M",14.4,12.2,57,1.90891846707819,2,"20-11-2020","11:18","ACT","Day 10",1,"G","ACT6_1G","E_2","E",2.65,5.92,0.07,3626,1200,0,0,0,2,""
"88","K33",NA,"Control","M",15,13,63,1.86666666666667,1,"10-11-2020","16:00","ACT","Day 0",5,"A","ACT4_5A","E_2","E",15.56,41.93,0.35,19695,781,264.8,102.133333333333,81.2333333333333,2.1501640985704,""
"89","K33",NA,"Control","M",15,13,63,1.86666666666667,1,"12-11-2020","09:35","ACT","Day 2",1,"G","ACT5_1G","E_2","E",5.09,39.57,0.11,6628,1100,987.5,959.2,16.7666666666667,3.59307852675469,""
"90","K33",NA,"Control","M",15,13,63,1.86666666666667,1,"20-11-2020","11:18","ACT","Day 10",1,"F","ACT6_1F","E_2","E",2.44,6.1,0.07,3406,1200,0,0,0,2,""
"91","K34",NA,"Control","F",13.2,11.3,31,1.34784483958038,2,"10-11-2020","16:00","ACT","Day 0",5,"B","ACT4_5B","E_2","E",7.67,49.33,0.14,9633,1040,12.8333333333333,2.43333333333333,1.16666666666667,1.19669444444444,""
"92","K34",NA,"Control","F",13.2,11.3,31,1.34784483958038,2,"12-11-2020","10:45","ACT","Day 2",2,"D","ACT5_2D","E_2","E",12.62,49.55,0.24,15657,909,26.7333333333333,17.4333333333333,9.06666666666667,1.25533333333333,""
"93","K35","1442","PIT+clip","F",14.6,12.4,55,1.76727495199439,2,"10-11-2020","16:00","ACT","Day 0",5,"C","ACT4_5C","E_2","E",0.94,17.86,0.01,1400,1190,0,0,0,1.00175,""
"94","K35","1442","PIT+clip","F",14.6,12.4,55,1.76727495199439,2,"20-11-2020","11:18","ACT","Day 10",1,"H","ACT6_1H","E_2","E",8.07,45.31,0.14,10225,1086,36.6333333333333,14.1333333333333,10.8666666666667,1.41155555555556,""
"95","K35","1442","PIT+clip","F",14.6,12.4,55,1.76727495199439,2,"12-11-2020","09:35","ACT","Day 2",1,"H","ACT5_1H","E_2","E",31.95,73.88,0.42,38958,650,187.3,58.6,21.8,1.76733333333333,""
"96","K36","1419","PITtagged","F",12.5,10.6,31,1.5872,2,"10-11-2020","16:00","ACT","Day 0",5,"D","ACT4_5D","E_2","E",30.2,46.26,0.63,37936,333,199.766666666667,69.3,33.9,1.83397848238174,""
"97","K36","1419","PITtagged","F",12.5,10.6,31,1.5872,2,"20-11-2020","11:18","ACT","Day 10",1,"E","ACT6_1E","E_2","E",6.38,28.21,0.17,8298,1080,105.633333333333,54.3,40.0666666666667,2.03638888888889,""
"98","K36","1419","PITtagged","F",12.5,10.6,31,1.5872,2,"12-11-2020","10:45","ACT","Day 2",2,"A","ACT5_2A","E_2","E",28.55,43.44,0.63,36134,355,226.933333333333,118.966666666667,77.6666666666667,1.96577848933615,""
"99","K37","1322","PITtagged","M",13.7,11.8,45,1.75005143206709,2,"12-11-2020","10:45","ACT","Day 2",2,"H","ACT5_2H","E_3","E",11,38.17,0.26,13923,924,128.433333333333,70.9666666666667,13.2333333333333,1.86841666666667,""
"100","K37","1322","PITtagged","M",13.7,11.8,45,1.75005143206709,2,"20-11-2020","12:20","ACT","Day 10",2,"A","ACT6_2A","E_3","E",2.29,7.26,0.09,3292,1200,1200,91.9,0,3.07658333333333,""
"101","K37","1322","PITtagged","M",13.7,11.8,45,1.75005143206709,2,"10-11-2020","16:00","ACT","Day 0",5,"E","ACT4_5E","E_3","E",22.89,49.75,0.44,28481,635,199.533333333333,64.0333333333333,21.3333333333333,1.99255555555556,""
"102","K38","1270","PIT+clip","F",18.6,15.7,86,1.33647124349014,2,"20-11-2020","12:20","ACT","Day 10",2,"B","ACT6_2B","E_3","E",5.05,26.76,0.12,6669,1115,194.4,32.2666666666667,2.23333333333333,2.08202777777778,""
"103","K38","1270","PIT+clip","F",18.6,15.7,86,1.33647124349014,2,"10-11-2020","16:00","ACT","Day 0",5,"F","ACT4_5F","E_3","E",28.16,51.97,0.52,35395,557,205.133333333333,17.0333333333333,4.56666666666667,2.06910512355158,""
"104","K38","1270","PIT+clip","F",18.6,15.7,86,1.33647124349014,2,"12-11-2020","10:45","ACT","Day 2",2,"F","ACT5_2F","E_3","E",13.67,46.54,0.27,17284,890,42.2666666666667,1.13333333333333,0,1.6465,""
"105","K39",NA,"Control","F",14.3,12.2,49,1.67566796741818,2,"12-11-2020","11:55","ACT","Day 2",3,"A","ACT5_3A","E_3","E",22.97,49.22,0.45,28352,622,167.1,77.0666666666667,29.9333333333333,1.84758333333333,""
