"","sampleID","d15N","d13C","N_percent","C_percent","CN_ratio","fishID","rep"
"83","G49C",10.6,-15.8,0.103,0.365,3.54368932038835,"G49","C"
"84","G50A",10.4,-14.9,0.094,0.307,3.26595744680851,"G50","A"
"85","G51A",11.5,-15.6,0.159,0.547,3.44025157232704,"G51","A"
"86","G51B",11.4,-15.4,0.101,0.352,3.48514851485148,"G51","B"
"87","G51C",11.2,-15.8,0.115,0.404,3.51304347826087,"G51","C"
"88","G52A",11.6,-15.2,0.129,0.455,3.52713178294574,"G52","A"
"89","G53A",12.1,-17.2,0.139,0.489,3.51798561151079,"G53","A"
"90","G53B",12,-17.1,0.118,0.42,3.5593220338983,"G53","B"
"91","G53C",12.2,-17.1,0.127,0.456,3.59055118110236,"G53","C"
"92","G54A",10.9,-18.7,0.054,0.174,3.22222222222222,"G54","A"
"93","G54B",10.8,-18.2,0.056,0.187,3.33928571428571,"G54","B"
"94","G54C",11,-18.3,0.059,0.196,3.32203389830509,"G54","C"
"95","G55A",11.5,-14.5,0.112,0.362,3.23214285714286,"G55","A"
