Date,TimeLoaded,TimeInitiated,TrialType,TrialDay,TrialRound,ArenaID,TankID,PITID,emergetime,emergelat,endpointtime,endpointlat,endpointspeed,refugereturntime,refugereturnlat,Notes
09-07-2020,09:38,09:48,EXPL,2,2,D,E,2233,NA,2700,NA,2700,NA,NA,NA,
09-07-2020,09:38,09:48,EXPL,2,2,E,E,2153,00:04,4,00:14,14,10,00:29,25,
09-07-2020,10:43,10:53,EXPL,2,3,A,E,2217,00:01,1,00:09,9,8,02:34,153,
09-07-2020,10:43,10:53,EXPL,2,3,B,E,2156,00:02,2,00:07,7,5,00:46,44,
09-07-2020,10:43,10:53,EXPL,2,3,C,C,1395,00:02,2,00:17,17,15,00:38,36,
09-07-2020,10:43,10:53,EXPL,2,3,D,C,1384,00:01,1,00:17,17,16,00:35,34,
09-07-2020,10:43,10:53,EXPL,2,3,E,C,2112,02:34,154,02:58,178,24,03:10,36,
09-07-2020,11:48,11:58,EXPL,2,4,A,C,2133,NA,2700,NA,2700,NA,NA,NA,new looking wound on side
09-07-2020,11:48,11:58,EXPL,2,4,B,C,2009,01:57,117,02:40,160,43,03:14,77,
09-07-2020,11:48,11:58,EXPL,2,4,C,C,1313,00:01,1,00:23,23,22,00:55,54,
09-07-2020,11:48,11:58,EXPL,2,4,D,C,2044,NA,2700,NA,2700,NA,NA,NA,
09-07-2020,11:48,11:58,EXPL,2,4,E,C,2101,NA,2700,NA,2700,NA,NA,NA,
09-07-2020,12:52,13:02,EXPL,2,5,A,C,2065,00:55,55,NA,2700,NA,01:02,7,
09-07-2020,12:52,13:02,EXPL,2,5,B,C,1260,00:46,46,01:05,65,19,01:20,34,
09-07-2020,12:52,13:02,EXPL,2,5,C,C,2040,00:11,11,00:31,31,20,01:39,88,
09-07-2020,12:52,13:02,EXPL,2,5,D,C,2024,NA,2700,NA,2700,NA,NA,NA,
09-07-2020,12:52,13:02,EXPL,2,5,E,D,2021,NA,2700,NA,2700,NA,NA,NA,
09-07-2020,13:56,14:06,EXPL,2,6,A,D,2122,00:04,4,00:16,16,12,00:40,36,
09-07-2020,13:56,14:06,EXPL,2,6,B,D,2030,NA,2700,NA,2700,NA,NA,NA,
09-07-2020,13:56,14:06,EXPL,2,6,C,D,2034,00:07,7,01:16,76,69,02:27,140,
09-07-2020,13:56,14:06,EXPL,2,6,D,D,2216,00:13,13,00:26,26,13,00:36,23,
09-07-2020,13:56,14:06,EXPL,2,6,E,D,2228,00:27,27,00:37,37,10,00:58,31,
09-07-2020,15:00,15:10,EXPL,2,7,A,D,2126,00:04,4,00:10,10,6,00:58,54,
09-07-2020,15:00,15:10,EXPL,2,7,B,D,2110,00:07,7,01:35,95,88,00:26,19,
09-07-2020,15:00,15:10,EXPL,2,7,C,D,2089,NA,2700,NA,2700,NA,NA,NA,
09-07-2020,15:00,15:10,EXPL,2,7,D,D,2147,04:06,246,04:48,288,42,04:10,4,
09-07-2020,15:00,15:10,EXPL,2,7,E,D,2116,00:24,24,00:40,40,16,01:01,37,
09-07-2020,16:02,16:12,EXPL,2,8,A,D,2028,14:20,860,NA,2700,NA,14:31,11,
09-07-2020,16:02,16:12,EXPL,2,8,B,D,2119,00:49,49,02:17,137,88,00:59,10,
09-07-2020,16:02,16:12,EXPL,2,8,C,NOFISH,NOFISH,NA,2700,NA,2700,NA,NA,NA,
09-07-2020,16:02,16:12,EXPL,2,8,D,NOFISH,NOFISH,NA,2700,NA,2700,NA,NA,NA,
09-07-2020,16:02,16:12,EXPL,2,8,E,NOFISH,NOFISH,NA,2700,NA,2700,NA,NA,NA,
16-07-2020,10:11,10:21,EXPL,3,1,A,E,2182,00:04,4,00:21,21,17,02:36,152,
16-07-2020,10:11,10:21,EXPL,3,1,B,E,2217,00:13,13,00:30,30,17,03:12,179,
16-07-2020,10:11,10:21,EXPL,3,1,C,E,1286,01:25,85,01:32,92,7,02:09,44,
16-07-2020,10:11,10:21,EXPL,3,1,D,E,2026,00:01,1,00:09,9,8,00:40,39,
16-07-2020,10:11,10:21,EXPL,3,1,E,E,2045,NA,2700,NA,2700,NA,NA,NA,
16-07-2020,11:15,11:25,EXPL,3,2,A,E,2153,00:01,1,00:26,26,25,01:21,80,
16-07-2020,11:15,11:25,EXPL,3,2,B,E,2099,NA,2700,NA,2700,NA,NA,NA,
16-07-2020,11:15,11:25,EXPL,3,2,C,E,2060,02:15,135,05:48,348,213,02:34,19,
16-07-2020,11:15,11:25,EXPL,3,2,D,E,2019,00:27,27,00:47,47,20,01:26,59,
16-07-2020,11:15,11:25,EXPL,3,2,E,E,2233,05:46,346,NA,2700,NA,07:21,95,
16-07-2020,12:20,12:30,EXPL,3,3,A,E,2220,01:01,61,01:25,85,24,01:53,52,
16-07-2020,12:20,12:30,EXPL,3,3,B,E,2156,00:06,6,00:41,41,35,00:52,46,
16-07-2020,12:20,12:30,EXPL,3,3,C,D,2119,28:39:00,1719,NA,2700,NA,29:13:00,34,
16-07-2020,12:20,12:30,EXPL,3,3,D,D,2126,00:01,1,00:06,6,5,00:35,34,
16-07-2020,12:20,12:30,EXPL,3,3,E,D,2030,NA,2700,NA,2700,NA,NA,NA,
16-07-2020,13:25,13:35,EXPL,3,4,A,D,2122,00:17,17,00:39,39,22,01:09,52,
16-07-2020,13:25,13:35,EXPL,3,4,B,D,2228,00:04,4,00:41,41,37,00:22,18,
16-07-2020,13:25,13:35,EXPL,3,4,C,D,2216,00:16,16,03:53,233,217,01:42,86,
16-07-2020,13:25,13:35,EXPL,3,4,D,D,2021,NA,2700,NA,2700,NA,NA,NA,
16-07-2020,13:25,13:35,EXPL,3,4,E,D,2116,NA,2700,NA,2700,NA,NA,NA,
16-07-2020,14:29,14:39,EXPL,3,5,A,D,2028,NA,2700,NA,2700,NA,NA,NA,
16-07-2020,14:29,14:39,EXPL,3,5,B,D,2147,02:14,134,03:41,221,87,02:31,17,
16-07-2020,14:29,14:39,EXPL,3,5,C,D,2110,00:02,2,NA,2700,NA,00:38,36,
16-07-2020,14:29,14:39,EXPL,3,5,D,C,2101,NA,2700,NA,2700,NA,NA,NA,lethargic with wound
16-07-2020,14:29,14:39,EXPL,3,5,E,C,2009,01:17,77,NA,2700,NA,01:57,40,
