"FishID","PITID","TL","ConditionFactor","CondManual","Sex","Date","TimeLoaded","TrialType","TrialDay","TrialRound","ArenaID","UniqueID","TankID","avespeed_tot","avespeed_mob","aveacceler","propmoving","dist","frozenevents","timefrozen_tot","centrescore","centrescore2","centretime50","centretime75","centretime100"
"G35",2021,15.6,1.15898784537838,1.46062918003605,"m","14/07/2020","10:40","ACT",3,2,"B","ACT3_2B","D",20.03,37.846,79.974,0.476,27814,18,525,1.97655901839033,3.70507516563178,96.2333333333333,17.1333333333333,8.46666666666667
"G35",2021,15.6,1.15898784537838,1.46062918003605,"m","30/06/2020","12:27","ACT",1,4,"F","ACT1_4F","D",34.861,55.515,116.111,0.609,44162,40,382,2.44788566294154,4.98417230583478,456.6,240.7,74.9666666666667
"G46",2024,16.3,1.08526311973431,1.37278094098193,"m","30/06/2020","10:27","ACT",1,2,"B","ACT1_2B","C",38.857,55.023,126.245,0.686,54420,30,222,2.54767807473697,5.26298524609989,433.833333333333,161.933333333333,87.4666666666667
"G46",2024,16.3,1.08526311973431,1.37278094098193,"m","14/07/2020","12:34","ACT",3,4,"B","ACT3_4B","C",32.043,46.324,122.065,0.676,46980,30,270,2.33772874058127,4.66553417653391,296.266666666667,85.0666666666667,43.8
"G46",2024,16.3,1.08526311973431,1.37278094098193,"m","07/07/2020","09:52","ACT",2,1,"F","ACT2_1F","C",32.181,45.299,113.445,0.686,40721,40,213,2.47637885563582,5.01550675094599,404.833333333333,158.233333333333,47.8333333333333
"G09",2026,10.9,1.38993026410992,1.69959060765231,"m","30/06/2020","14:40","ACT",1,6,"C","ACT1_6C","E",30.311,50.267,93.651,0.577,38254,33,272,1.85391853094175,3.39638882571989,176.633333333333,26.4333333333333,7.5
"G09",2026,10.9,1.38993026410992,1.69959060765231,"m","14/07/2020","10:40","ACT",3,2,"G","ACT3_2G","E",26.894,40.429,101.515,0.662,34630,36,215,1.73497243595413,3.13605509861148,119.333333333333,58.2,30.3333333333333
"G09",2026,10.9,1.38993026410992,1.69959060765231,"m","07/07/2020","11:51","ACT",2,3,"H","ACT2_3H","E",30.373,43.918,115.268,0.674,38653,42,261,1.52718138699447,2.58850439224271,89.5333333333333,28.7666666666667,13.4666666666667
"G17",2028,14.9,1.33012933391657,1.66984497901462,"m","30/06/2020","11:28","ACT",1,3,"G","ACT1_3G","D",23.081,45.396,82.251,0.483,29579,47,574,1.61069724617059,2.77861422672358,22.5333333333333,4.43333333333333,1.23333333333333
"G17",2028,14.9,1.33012933391657,1.66984497901462,"m","14/07/2020","10:40","ACT",3,2,"A","ACT3_2A","D",24.664,45.532,88.422,0.517,32286,39,500,1.99074305729297,3.79971436911017,219.066666666667,91.8666666666667,48.2
"G17",2028,14.9,1.33012933391657,1.66984497901462,"m","07/07/2020","14:50","ACT",2,6,"G","ACT2_6G","D",26.946,49.881,106.274,0.519,33763,42,518,1.6855935523591,2.98838116359769,96.5,37.0333333333333,16.0333333333333
"G22",2030,13.3,1.27516484693559,1.58560366137615,"f","30/06/2020","11:28","ACT",1,3,"E","ACT1_3E","D",23.521,42.387,83.576,0.533,29846,76,514,2.20627777777778,4.32047222222222,280.566666666667,121.766666666667,36.2666666666667
"G22",2030,13.3,1.27516484693559,1.58560366137615,"f","14/07/2020","09:42","ACT",3,1,"H","ACT3_1H","D",4.24,11.25,25.423,0.237,7036,39,1071,1.64913888888889,2.8750625,259.366666666667,239.033333333333,1.46666666666667
"G22",2030,13.3,1.27516484693559,1.58560366137615,"f","07/07/2020","13:45","ACT",2,5,"D","ACT2_5D","D",22.197,37.253,86.791,0.559,28725,64,435,2.47817238512913,5.10030419640554,463.466666666667,246.8,99.3666666666667
"G30",2034,13,1.18343195266272,1.46871429308423,"m","30/06/2020","12:27","ACT",1,4,"B","ACT1_4B","D",37.65,50.9,131.625,0.708,47542,21,96,2.14683000983636,4.18455281826582,289.433333333333,79.9666666666667,41.6333333333333
"G30",2034,13,1.18343195266272,1.46871429308423,"m","07/07/2020","13:45","ACT",2,5,"H","ACT2_5H","D",32.861,40.836,147.406,0.793,43398,23,159,1.60386985251066,2.81627261828422,146.666666666667,72.8666666666667,37.3333333333333
"G21",2038,17.3,1.27469307418694,1.62050027115904,"m","30/06/2020","11:28","ACT",1,3,"C","ACT1_3C","D",50.466,59.453,183.974,0.824,64554,7,41,2.91569422776911,6.13435647425897,692.833333333333,235.433333333333,56.0666666666667
"G49",2040,13.2,1.47828143695912,1.83700123565105,"m","30/06/2020","10:27","ACT",1,2,"C","ACT1_2C","C",52.752,62.524,141.071,0.816,66431,11,45,2.32902039133606,4.66365593188089,319.666666666667,122.333333333333,52.8333333333333
"G49",2040,13.2,1.47828143695912,1.83700123565105,"m","07/07/2020","10:56","ACT",2,2,"F","ACT2_2F","C",47.624,58.115,158.416,0.808,60381,17,79,1.96380502518282,3.73372897874399,190.7,81.8666666666667,47.9666666666667
"G49",2040,13.2,1.47828143695912,1.83700123565105,"m","14/07/2020","12:34","ACT",3,4,"H","ACT3_4H","C",41.663,50.39,142.983,0.808,52358,18,122,1.60570553772779,2.79964193187506,87.8666666666667,45.1333333333333,22.1
"G51",2044,14,1.23906705539359,1.54738645377751,"m","30/06/2020","09:17","ACT",1,1,"F","ACT1_1F","C",25.575,55.631,76.054,0.442,32310,34,597,1.28997222222222,1.97608854166667,4.06666666666667,1.03333333333333,0.766666666666667
"G51",2044,14,1.23906705539359,1.54738645377751,"m","14/07/2020","12:34","ACT",3,4,"F","ACT3_4F","C",1.61,7.274,8.699,0.027,2905,2,1194,1.99588888888889,3.73972222222222,0,0,0
"G51",2044,14,1.23906705539359,1.54738645377751,"m","07/07/2020","10:56","ACT",2,2,"C","ACT2_2C","C",21.772,37.901,87.279,0.542,29207,36,459,1.64470340839394,2.86302900201525,48.1333333333333,4.03333333333333,0.8
"G14",2045,16.3,1.26998875713589,1.60644578200014,"m","30/06/2020","14:40","ACT",1,6,"F","ACT1_6F","E",29.769,45.608,109.21,0.628,39078,30,327,1.67366547037047,2.95987580184814,116.066666666667,28.3,16.7333333333333
"G14",2045,16.3,1.26998875713589,1.60644578200014,"m","14/07/2020","11:36","ACT",3,3,"D","ACT3_3D","E",25.049,43.381,103.888,0.543,33920,8,511,1.99034316261424,3.77399120538024,112.966666666667,47.4666666666667,30.8
"G14",2045,16.3,1.26998875713589,1.60644578200014,"m","07/07/2020","12:50","ACT",2,4,"B","ACT2_4B","E",36.222,46.175,144.528,0.739,48334,20,223,2.3421027178644,4.77372690782474,343.933333333333,146.866666666667,96.1
"G04",2060,15.4,1.34163357303853,1.68897477042569,"m","07/07/2020","11:51","ACT",2,3,"E","ACT2_3E","E",37.396,48.571,127.106,0.75,47422,25,152,1.87557935342718,3.45554092178369,76.3666666666667,22.7333333333333,10.6
"G04",2060,15.4,1.34163357303853,1.68897477042569,"m","14/07/2020","10:40","ACT",3,2,"H","ACT3_2H","E",34.676,44.594,136.156,0.762,46249,16,141,1.99784325808078,3.7596353145482,131.966666666667,46.7,9.86666666666667
"G04",2060,15.4,1.34163357303853,1.68897477042569,"m","30/06/2020","13:34","ACT",1,5,"G","ACT1_5G","E",46.163,60.49,161.458,0.752,57769,14,224,1.80127559583753,3.26515469396889,132.333333333333,24.2333333333333,7.86666666666667
"G55",2065,11.3,1.52471035701093,1.87006436806084,"m","07/07/2020","10:56","ACT",2,2,"E","ACT2_2E","C",27.278,48.489,95.296,0.544,34125,48,309,1.95822222222222,3.75954166666667,231.666666666667,137.366666666667,75.4666666666667
"G55",2065,11.3,1.52471035701093,1.87006436806084,"m","14/07/2020","12:34","ACT",3,4,"C","ACT3_4C","C",24.928,37.88,91.755,0.628,32114,48,240,2.2725509214355,4.57889434871912,320.466666666667,159.9,95.1
"G55",2065,11.3,1.52471035701093,1.87006436806084,"m","30/06/2020","10:27","ACT",1,2,"E","ACT1_2E","C",38.991,67.07,104.953,0.57,47894,43,226,1.96791666666667,3.72441840277778,205.933333333333,95.7,36.1666666666667
"G45",2070,11,1.35236664162284,1.65493032369897,"f","30/06/2020","09:17","ACT",1,1,"B","ACT1_1B","C",24.925,44.991,89.595,0.504,32740,46,456,1.84085303495157,3.37154093725561,135.3,29.3,11.8666666666667
"G45",2070,11,1.35236664162284,1.65493032369897,"f","07/07/2020","09:52","ACT",2,1,"C","ACT2_1C","C",3.597,15.083,21.522,0.145,5476,8,1179,1.11344444444444,1.53411458333333,29.9,1.03333333333333,0.333333333333333
"G48",2084,9.8,1.16873071594319,1.4163666546188,"f","30/06/2020","09:17","ACT",1,1,"G","ACT1_1G","C",5.679,36.981,20.485,0.121,8170,29,1097,1.28025,1.95515625,14.1666666666667,5.2,3
"G48",2084,9.8,1.16873071594319,1.4163666546188,"f","07/07/2020","09:52","ACT",2,1,"G","ACT2_1G","C",6.911,37.119,27.914,0.158,9217,28,1124,1.73083333333333,3.08226909722222,47.7,15.2666666666667,3.43333333333333
"G31",2089,13.7,1.43893117747738,1.79370861638488,"m","07/07/2020","14:50","ACT",2,6,"A","ACT2_6A","D",40.597,48.449,154.977,0.829,50835,10,40,1.68487911106148,2.99018126361047,106.466666666667,29.4,18.4333333333333
"G31",2089,13.7,1.43893117747738,1.79370861638488,"m","30/06/2020","12:27","ACT",1,4,"E","ACT1_4E","D",37.212,48.59,126.856,0.754,46727,11,46,1.79967172981695,3.29097987258666,96.4,42.0666666666667,27.6333333333333
"G12",2099,13.4,1.24682889850148,1.55134747673848,"m","30/06/2020","13:34","ACT",1,5,"B","ACT1_5B","E",35.311,61.452,120.951,0.56,44146,25,391,1.66486111111111,2.93611805555556,86.8,29.3,15.8666666666667
"G12",2099,13.4,1.24682889850148,1.55134747673848,"m","07/07/2020","12:50","ACT",2,4,"D","ACT2_4D","E",25.163,42.504,97.607,0.566,32132,50,370,1.76150651100135,3.18682995621913,106.966666666667,51.1666666666667,21.6666666666667
"G12",2099,13.4,1.24682889850148,1.55134747673848,"m","14/07/2020","10:40","ACT",3,2,"E","ACT3_2E","E",19.616,44.409,71.557,0.415,25179,36,690,2.03627777777778,3.86088368055556,422.433333333333,34.2,13.3666666666667
"G40",2101,12.8,1.28746032714844,1.59573560233655,"m","30/06/2020","09:17","ACT",1,1,"E","ACT1_1E","C",31.545,44.586,111.336,0.686,40335,15,65,1.85647795548786,3.43649332882006,135.933333333333,50.1666666666667,29.5333333333333
"G40",2101,12.8,1.28746032714844,1.59573560233655,"m","14/07/2020","12:34","ACT",3,4,"G","ACT3_4G","C",2.248,6.68,12.554,0.071,4127,2,1200,2,3.75,0,0,0
"G40",2101,12.8,1.28746032714844,1.59573560233655,"m","07/07/2020","10:56","ACT",2,2,"B","ACT2_2B","C",11.552,35.12,46.433,0.295,15082,60,788,2.29169444444444,4.56653819444444,266.233333333333,106.266666666667,57.8
"G28",2110,14.9,1.26966890964764,1.59394293451395,"m","30/06/2020","12:27","ACT",1,4,"C","ACT1_4C","D",23.811,48.465,85.111,0.502,30368,28,507,2.53931296558796,5.14059248424164,548.8,112.733333333333,25.8
"G28",2110,14.9,1.26966890964764,1.59394293451395,"m","07/07/2020","13:45","ACT",2,5,"F","ACT2_5F","D",26.484,50.648,98.931,0.504,32962,40,548,2.99730098221987,6.413916636523,809,345.733333333333,112.8
"G28",2110,14.9,1.26966890964764,1.59394293451395,"m","14/07/2020","09:42","ACT",3,1,"D","ACT3_1D","D",34.858,46.422,127.438,0.735,44193,25,222,2.6869438692708,5.70603069561811,535.033333333333,306.066666666667,156.866666666667
"G39",2112,12.9,1.49066772131408,1.84881093443466,"m","07/07/2020","10:56","ACT",2,2,"A","ACT2_2A","C",35.719,49.726,119.012,0.701,45451,23,121,1.88675063820237,3.51401064605717,130.9,62.9666666666667,30.9
