"source","Meand15N","SDd15N","Meand13C","SDd13C"
"P01",3.4,0.98,0.39,1.3
"P02",3.4,0.98,0.39,1.3
"P03",3.4,0.98,0.39,1.3
"P04",3.4,0.98,0.39,1.3
"P05",3.4,0.98,0.39,1.3
