"source","Meand15N","SDd15N","Meand13C","SDd13C","n"
"P01",6.94494444466667,1.13871025798446,-15.98427778,0.924354997786584,6
"P02",5.41211111133333,0.876058582876646,-13.85927778,0.798756885086468,6
"P03",8.93261111133333,0.615762948951377,-14.55727778,0.874375988443357,3
"P04",4.926277778,0.972197320231428,-14.6909444466667,0.681936055597373,6
"P06",4.03894444466667,1.91648786362666,-16.39427778,2.34581919506519,3
"P07",7.405777778,1.43651817358569,-15.17677778,1.21246451348525,6
"P05",11.941083335,0.604458444427278,-18.978333335,0.821422379835395,2
