"source","Meand15N","SDd15N","Meand13C","SDd13C","n"
"V01",6.14494444466667,0.352987343521402,-15.29127778,0.748993125226324,3
"V03",7.74494444466667,1.09409897377308,-16.67727778,0.36652790234346,3
"V04",6.09294444466667,0.415204646054565,-14.0976111133333,0.367933768971576,3
"V05",4.731277778,0.596405583593047,-13.6209444466667,1.13545048857254,3
"V07",8.93261111133333,0.615762948951377,-14.55727778,0.874375988443357,3
"V08",4.73361111133333,0.871771286481894,-14.91127778,0.649842060285648,3
"V09",5.11894444466667,1.22129953917755,-14.4706111133333,0.771140015275844,3
"V18",11.941083335,0.604458444427278,-18.978333335,0.821422379835395,3
