"source","Meand15N","SDd15N","Meand13C","SDd13C"
"P01",4.04,2.56,-0.41,2.56
"P02",4.04,2.56,-0.41,2.56
"P03",4.04,2.56,-0.41,2.56
"P04",4.04,2.56,-0.41,2.56
"P05",4.04,2.56,-0.41,2.56
"P06",4.04,2.56,-0.41,2.56
"P07",4.04,2.56,-0.41,2.56
"P08",4.04,2.56,-0.41,2.56
