 ,Area,Mean,Min,Max,Angle,Length
1,257,152.715,149.000,166.000,-91.119,256.049
2,258,150.994,145.000,166.000,-90.000,257.000
3,257,148.136,143.000,165.000,-89.105,256.031
4,253,136.944,39.000,159.000,-88.863,252.050
5,265,146.525,129.000,157.000,-89.566,264.008
6,266,146.378,130.000,157.000,-88.703,265.068
7,263,146.009,131.333,159.000,-89.781,262.002
8,256,144.587,134.000,157.000,-90.449,255.008
9,163,151.033,137.074,163.000,-178.939,162.028
10,180,150.511,135.000,161.698,-179.040,179.025
11,174,146.008,136.000,152.333,179.669,173.003
12,160,143.272,86.333,156.000,0.360,159.003
13,168,141.131,73.164,158.000,178.285,167.075
14,181,137.198,55.400,153.000,179.363,180.011
15,176,145.086,131.000,154.333,1.309,175.046
16,157,142.956,130.000,156.000,3.302,156.259
