 ,Area,Mean,Min,Max,Angle,Length
1,256,152.420,149.553,166.000,-90.674,255.018
2,259,147.813,109.488,164.907,-89.112,258.031
3,259,146.776,141.333,162.333,-88.890,258.048
4,252,144.719,140.290,160.000,-86.808,251.390
5,263,146.970,137.000,157.000,-88.470,262.093
6,263,139.440,67.186,157.000,-89.563,262.008
7,262,145.599,135.000,156.333,-89.561,261.008
8,258,143.404,126.333,157.000,-90.446,257.008
9,163,151.219,103.000,165.000,-179.293,162.012
10,177,151.172,139.000,160.000,1.953,176.102
11,174,145.708,138.333,151.333,1.325,173.046
12,161,143.513,88.333,157.000,0.358,160.003
13,168,145.706,130.892,158.000,178.971,167.027
14,182,145.934,130.000,153.000,0.317,181.003
15,173,144.706,136.000,152.333,1.332,172.047
16,155,141.438,127.000,154.333,1.116,154.029
