,PITID,FishID,TL,InfectionScore,Sex,Date,TimeLoaded,TrialType,TrialDay,TrialRound,ArenaID,TankID,Weight,avespeed_tot,avespeed_mob,aveacceler,propmoving,dist,timefrozen_tot,timefrozen_ave,centretime,Notes,UniqueID
34,2028,G17,14.9,2,m,07-07-2020,14:50,ACT,2,6,G,D,45,28.66424561,60.24682999,114.620079,0.445646405,36002.04688,449.5,11.8,27.1,,ACT2_6G
35,2030,G22,13.3,2,f,30-06-2020,11:28,ACT,1,3,E,D,31,24.21972847,54.62835693,86.71794128,0.409962207,30717.77148,42.6,6.5,55.9,,ACT1_3E
36,2030,G22,13.3,2,f,14-07-2020,09:42,ACT,3,1,H,D,32,4.256118298,20.82761955,25.62083626,0.07423047,7066.549805,899.9,12,232.1,moderate fin infection,ACT3_1H
37,2030,G22,13.3,2,f,07-07-2020,13:45,ACT,2,5,D,D,32,22.90641975,49.32164764,89.71540833,0.415410995,29633.74023,368.3,6.2,139.7,,ACT2_5D
38,2034,G30,13,2,m,30-06-2020,12:27,ACT,1,4,B,D,27,40.45141602,61.55904388,144.4046326,0.610486031,51136.94922,67.1,4.1,57.8,,ACT1_4B
39,2034,G30,13,2,m,07-07-2020,13:45,ACT,2,5,H,D,26,34.27407074,47.03160477,153.2724457,0.704798996,45060.10156,128,5.8,37.6,,ACT2_5H
40,2038,G21,17.3,3,m,30-06-2020,11:28,ACT,1,3,C,D,70,51.64512253,66.32027435,183.0036011,0.749348283,65978.78125,33.2,4.7,78,tracking failed to reach >90% detection,ACT1_3C
41,2038,G21,17.3,3,m,07-07-2020,13:45,ACT,2,5,A,D,66,1.341196299,11.03258801,7.4690938,2.78E-05,2433.510742,1200,1200,0,wound on underside EXCLUDED,ACT2_5A
42,2040,G49,13.2,2,m,30-06-2020,10:27,ACT,1,2,C,C,35,54.8841629,70.04046631,147.2184906,0.737959683,69119.28125,33.2,4.2,68.4,tracking failed to reach >90% detection,ACT1_2C
43,2040,G49,13.2,2,m,07-07-2020,10:56,ACT,2,2,F,C,35,50.88685226,67.19674683,168.4738617,0.737402737,64063.67578,54.4,4.9,67.1,,ACT2_2F
44,2040,G49,13.2,2,m,14-07-2020,12:34,ACT,3,4,H,C,36,43.86082077,58.68994141,154.0198975,0.718587756,54948.60938,82.9,6.9,32.3,moderate fin infection,ACT3_4H
45,2044,G51,14,2,m,30-06-2020,09:17,ACT,1,1,F,C,35,27.23720741,67.98152161,82.09333801,0.374902755,34586.71875,488.8,16.9,0.9,,ACT1_1F
46,2044,G51,14,2,m,14-07-2020,12:34,ACT,3,4,F,C,35,1.619325161,19.0460186,8.718090057,0.00352817,2927.288818,1195.4,597.7,0,moderate fin infection,ACT3_4F
47,2044,G51,14,2,m,07-07-2020,10:56,ACT,2,2,C,C,35,23.67273712,46.72647858,97.59044647,0.467106402,32139.01172,409.9,12.1,1,,ACT2_2C
48,2045,G14,16.3,2,m,07-07-2020,12:50,ACT,2,4,B,E,58,38.32255173,54.58703232,147.1784668,0.660522223,50824.63672,156.7,12.1,125,tracking failed to reach >90% detection,ACT2_4B
49,2045,G14,16.3,2,m,30-06-2020,14:40,ACT,1,6,F,E,58,31.05964088,58.23539734,113.2615356,0.492878139,40758.18359,228.2,8.8,26.3,,ACT1_6F
50,2045,G14,16.3,2,m,14-07-2020,11:36,ACT,3,3,D,E,59,26.96879768,53.76424408,117.776535,0.461205423,36461.58984,484.4,32.3,37,moderate fin infection,ACT3_3D
51,2060,G04,15.4,1,m,07-07-2020,11:51,ACT,2,3,E,E,52,39.67568207,58.80266571,135.9953156,0.646796405,50397.68359,93.4,6.2,14.3,,ACT2_3E
52,2060,G04,15.4,1,m,30-06-2020,13:34,ACT,1,5,G,E,52,47.70784378,73.29097748,166.8454437,0.627853632,59720.80859,162.3,9.5,12,,ACT1_5G
53,2060,G04,15.4,1,m,14-07-2020,10:40,ACT,3,2,H,E,52,34.72232819,52.92420578,134.7354431,0.622300029,45930.3125,99.5,10,13.6,,ACT3_2H
54,2065,G55,11.3,3,m,07-07-2020,10:56,ACT,2,2,E,C,24,28.64924431,61.99375534,100.5987549,0.433742642,35838.72266,198.4,6.4,110.2,,ACT2_2E
55,2065,G55,11.3,3,m,14-07-2020,12:34,ACT,3,4,C,C,24,25.62870789,47.88957977,94.86397552,0.485676944,33017.13672,158.7,4.8,140.2,,ACT3_4C
56,2065,G55,11.3,3,m,30-06-2020,10:27,ACT,1,2,E,C,23,40.4336853,80.41731262,108.9354401,0.48516503,49684.91797,206.3,4.9,54.7,,ACT1_2E
57,2070,G45,11,3,f,30-06-2020,09:17,ACT,1,1,B,C,18,27.43066406,56.53570557,97.45061493,0.428502411,36302.03906,399.9,9.3,23,,ACT1_1B
58,2070,G45,11,3,f,07-07-2020,09:52,ACT,2,1,C,C,18,3.723870754,37.54680634,22.28316879,0.040587842,5668.289551,1167,41.7,0.5,heavy skin infections,ACT2_1C
59,2084,G48,9.8,3,f,30-06-2020,09:17,ACT,1,1,G,C,12,7.048670769,52.91149139,28.56866837,0.086426273,10702.05371,639.3,8.6,3.7,,ACT1_1G
60,2084,G48,9.8,3,f,07-07-2020,09:52,ACT,2,1,G,C,11,7.177793026,81.7110672,29.01316452,0.066312924,9578.140625,1119,36.1,14.1,heavy skin infections,ACT2_1G
61,2089,G31,13.7,1,m,30-06-2020,12:27,ACT,1,4,E,D,39,39.09820557,58.62684631,133.9951782,0.641833425,49132.30078,18,4.5,32,,ACT1_4E
62,2089,G31,13.7,1,m,07-07-2020,14:50,ACT,2,6,A,D,39,42.17656326,56.17679596,164.0066376,0.729414403,52801.19531,17.7,4.4,23.1,,ACT2_6A
63,2099,G12,13.4,2,m,14-07-2020,10:40,ACT,3,2,E,E,32,20.3107338,58.79472351,74.04272461,0.313840419,26023.45117,635.9,21.2,24.5,,ACT3_2E
64,2099,G12,13.4,2,m,30-06-2020,13:34,ACT,1,5,B,E,30,36.90002823,76.80284119,127.0428085,0.456312031,46231.17969,234.2,11.7,24.1,,ACT1_5B
65,2099,G12,13.4,2,m,07-07-2020,12:50,ACT,2,4,D,E,30,25.7948494,56.14007187,100.2844238,0.417452574,32937.01172,266.4,7.4,31.4,,ACT2_4D
66,2101,G40,12.8,1,m,30-06-2020,09:17,ACT,1,1,E,C,28,32.94677734,55.33686066,116.3058548,0.560580134,42090.96094,45.7,4.2,36.6,,ACT1_1E
67,2101,G40,12.8,1,m,14-07-2020,12:34,ACT,3,4,G,C,28,2.308203459,11.62896729,12.74443436,0.004028225,4267.463379,1196.7,99.7,0,,ACT3_4G
68,2101,G40,12.8,1,m,07-07-2020,10:56,ACT,2,2,B,C,27,12.09745121,50.99975967,48.68787003,0.198966548,15800.65234,727.6,12.5,79.8,,ACT2_2B
69,2110,G28,14.9,1,m,14-07-2020,09:42,ACT,3,1,D,D,45,35.23678207,55.53258896,128.8289795,0.60304445,44635.66797,156.7,8.7,224.5,,ACT3_1D
70,2110,G28,14.9,1,m,07-07-2020,13:45,ACT,2,5,F,D,44,27.6168251,62.41623688,103.3243179,0.417351931,34374.39063,514.2,13.2,169.9,,ACT2_5F
71,2112,G39,12.9,1,m,07-07-2020,10:56,ACT,2,2,A,C,32,36.86471176,60.9798851,123.1084137,0.57379663,46989.29297,55.5,5.5,40.3,,ACT2_2A
72,2112,G39,12.9,1,m,30-06-2020,09:17,ACT,1,1,D,C,32,45.77867508,65.9125824,156.6507263,0.670799017,58592.18359,42.7,4.7,50.4,,ACT1_1D
73,2112,G39,12.9,1,m,14-07-2020,13:26,ACT,3,5,B,C,33,21.20429993,54.10448837,73.09890747,0.354606181,27153.66992,463.8,7.5,56.7,,ACT3_5B
74,2116,G27,13.4,1,m,14-07-2020,09:42,ACT,3,1,G,D,27,22.4446888,52.49478531,84.50549316,0.370197207,30368.54883,415.7,7.3,45,possible cataract,ACT3_1G
75,2116,G27,13.4,1,m,30-06-2020,11:28,ACT,1,3,D,D,28,53.27090454,69.88514709,205.3202667,0.748676658,71356.05469,87.8,5.5,24.2,,ACT1_3D
