"","PITID","FishID","TL","InfectionScore","Sex","Date","TimeLoaded","TimeInitiated","TrialType","TrialDay","TrialRound","ArenaID","TankID","emergetime","emergelat","endpointtime","endpointlat","refugereturntime","refugereturnlat","Notes","UniqueID"
"40",2030,"G22",13.3,2,"f","09-07-2020","13:56","14:06","EXPL",2,6,"B","D",NA,2700,NA,NA,NA,NA,"","EXPL2_6B"
"41",2030,"G22",13.3,2,"f","16-07-2020","12:20","12:30","EXPL",3,3,"E","D",NA,2700,NA,NA,NA,NA,"","EXPL3_3E"
"42",2034,"G30",13,2,"m","09-07-2020","13:56","14:06","EXPL",2,6,"C","D","00:07",7,"01:16",69,"02:27",140,"","EXPL2_6C"
"43",2034,"G30",13,2,"m","02-07-2020","09:58","10:08","EXPL",1,2,"E","D","00:01",1,"00:23",22,"00:53",52,"","EXPL1_2E"
"44",2038,"G21",17.3,3,"m","02-07-2020","11:07","11:17","EXPL",1,3,"D","D","00:35",35,"01:01",26,"01:32",57,"","EXPL1_3D"
"45",2040,"G49",13.2,2,"m","16-07-2020","16:40","16:50","EXPL",3,7,"D","C","00:01",1,"00:28",27,"03:40",219,"","EXPL3_7D"
"46",2040,"G49",13.2,2,"m","02-07-2020","12:13","12:23","EXPL",1,4,"D","C","00:01",1,"00:54",53,"01:23",82,"","EXPL1_4D"
"47",2040,"G49",13.2,2,"m","09-07-2020","12:52","13:02","EXPL",2,5,"C","C","00:11",11,"00:31",20,"01:39",88,"","EXPL2_5C"
"48",2044,"G51",14,2,"m","02-07-2020","14:20","14:30","EXPL",1,6,"E","C",NA,2700,NA,NA,NA,NA,"","EXPL1_6E"
"49",2044,"G51",14,2,"m","09-07-2020","11:48","11:58","EXPL",2,4,"D","C",NA,2700,NA,NA,NA,NA,"","EXPL2_4D"
"50",2044,"G51",14,2,"m","16-07-2020","16:40","16:50","EXPL",3,7,"A","C",NA,2700,NA,NA,NA,NA,"","EXPL3_7A"
"51",2045,"G14",16.3,2,"m","16-07-2020","10:11","10:21","EXPL",3,1,"E","E",NA,2700,NA,NA,NA,NA,"","EXPL3_1E"
"52",2045,"G14",16.3,2,"m","09-07-2020","08:34","08:44","EXPL",2,1,"B","E",NA,2700,NA,NA,NA,NA,"","EXPL2_1B"
